haMcixanu haMcu(V23)+ixa_u_PAST+anu_a_3SM   
haMcuvavalYigiMwale haMcu(V23)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_DECL
haMcuvavalYigiMwale haMcu(V23)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_RIS
haMcuvavalYaMweV haMcu(V23)+va_#_PRP+vavalYu_va_SIM+lYaMweV_lYu_3SF
haMcuvavalYaMweVyA haMcu(V23)+va_#_PRP+vavalYu_va_SIM+lYaMweVyA_lYu_INTR
haMcuvavalYaMweVyU haMcu(V23)+va_#_PRP+vavalYu_va_SIM+lYaMweVyU_lYu_INCL
haMcuvavalYaMweVyo haMcu(V23)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_DUB
haMcuvavalYaMweVyo haMcu(V23)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_INDF
haMcuvavalYaMweVyo haMcu(V23)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_PRES
haMcuvavalYaMweVye haMcu(V23)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_IMPH
haMcuvavalYaMweVye haMcu(V23)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_DECL
haMcuvavalYaMweVye haMcu(V23)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_RIS
haMcuvavalYoVdaneV haMcu(V23)+va_#_PRP+vavalYu_va_SOC+lYoVdaneV_lYu_3SF
haMcuvavalYoVdaneVyA haMcu(V23)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyA_lYu_INTR
haMcuvavalYoVdaneVyU haMcu(V23)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyU_lYu_INCL
haMcuvavalYoVdaneVyo haMcu(V23)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_DUB
haMcuvavalYoVdaneVyo haMcu(V23)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_INDF
haMcuvavalYoVdaneVyo haMcu(V23)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_PRES
haMcuvavalYoVdaneVye haMcu(V23)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_IMPH
haMcuvavalYoVdaneVye haMcu(V23)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_DECL
haMcuvavalYoVdaneVye haMcu(V23)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_RIS
haMcuvavalYoVMxigeV  haMcu(V23)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeV_lYu_3SF
haMcuvavalYoVMxigeVyA haMcu(V23)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyA_lYu_INTR
haMcuvavalYoVMxigeVyU haMcu(V23)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyU_lYu_INCL
haMcuvavalYoVMxigeVyo haMcu(V23)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_DUB
haMcuvavalYoVMxigeVyo haMcu(V23)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_INDF
haMcuvavalYoVMxigeVyo haMcu(V23)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_PRES
haMcuvavalYoVMxigeVye haMcu(V23)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_IMPH
haMcuvavalYoVMxigeVye haMcu(V23)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_DECL
haMcuvavalYoVMxigeVye haMcu(V23)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_RIS
haMcuvavarannu haMcu(V23)+va_#_PRP+vavaru_va_ACC+rannu_ru_3P
haMcuvavarannA haMcu(V23)+va_#_PRP+vavaru_va_ACC+rannA_ru_INTR
haMcuvavarannU haMcu(V23)+va_#_PRP+vavaru_va_ACC+rannU_ru_INCL
haMcuvavaranno haMcu(V23)+va_#_PRP+vavaru_va_ACC+ranno_ru_DUB
haMcuvavaranno haMcu(V23)+va_#_PRP+vavaru_va_ACC+ranno_ru_INDF
haMcuvavaranno haMcu(V23)+va_#_PRP+vavaru_va_ACC+ranno_ru_PRES
haMcuvavaranne haMcu(V23)+va_#_PRP+vavaru_va_ACC+ranne_ru_IMPH
haMcuvavaranne haMcu(V23)+va_#_PRP+vavaru_va_ACC+ranne_ru_DECL
haMcuvavaranne haMcu(V23)+va_#_PRP+vavaru_va_ACC+ranne_ru_RIS
haMcuvavariMxa haMcu(V23)+va_#_PRP+vavaru_va_INS+riMxa_ru_3P
haMcuvavariMxalA haMcu(V23)+va_#_PRP+vavaru_va_INS+riMxalA_ru_INTR
haMcuvavariMxalU haMcu(V23)+va_#_PRP+vavaru_va_INS+riMxalU_ru_INCL
haMcuvavariMxalo haMcu(V23)+va_#_PRP+vavaru_va_INS+riMxalo_ru_DUB
haMcuvavariMxalo haMcu(V23)+va_#_PRP+vavaru_va_INS+riMxalo_ru_INDF
haMcuvavariMxalo haMcu(V23)+va_#_PRP+vavaru_va_INS+riMxalo_ru_PRES
haMcuvavariMxale haMcu(V23)+va_#_PRP+vavaru_va_INS+riMxale_ru_IMPH
haMcuvavariMxale haMcu(V23)+va_#_PRP+vavaru_va_INS+riMxale_ru_DECL
haMcuvavariMxale haMcu(V23)+va_#_PRP+vavaru_va_INS+riMxale_ru_RIS
haMcuvavarigeV haMcu(V23)+va_#_PRP+vavaru_va_DAT+rigeV_ru_3P
haMcuvavarigeVyA haMcu(V23)+va_#_PRP+vavaru_va_DAT+rigeVyA_ru_INTR
haMcuvavarigeVyU haMcu(V23)+va_#_PRP+vavaru_va_DAT+rigeVyU_ru_INCL
haMcuvavarigeVyo haMcu(V23)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_DUB
haMcuvavarigeVyo haMcu(V23)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_INDF
haMcuvavarigeVyo haMcu(V23)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_PRES
haMcuvavarigeVye haMcu(V23)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_IMPH
haMcuvavarigeVye haMcu(V23)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_DECL
haMcuvavarigeVye haMcu(V23)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_RIS
haMcuvavariMxa  haMcu(V23)+va_#_PRP+vavaru_va_ABL+riMxa_ru_3P
haMcuvavariMxalA haMcu(V23)+va_#_PRP+vavaru_va_ABL+riMxalA_ru_INTR
haMcuvavariMxalU haMcu(V23)+va_#_PRP+vavaru_va_ABL+riMxalU_ru_INCL
haMcuvavariMxalo haMcu(V23)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_DUB
haMcuvavariMxalo haMcu(V23)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_INDF
haMcuvavariMxalo haMcu(V23)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_PRES
haMcuvavariMxale haMcu(V23)+va_#_PRP+vavaru_va_ABL+riMxale_ru_IMPH
haMcuvavariMxale haMcu(V23)+va_#_PRP+vavaru_va_ABL+riMxale_ru_DECL
haMcuvavariMxale haMcu(V23)+va_#_PRP+vavaru_va_ABL+riMxale_ru_RIS
haMcuvavara haMcu(V23)+va_#_PRP+vavaru_va_GEN+ra_ru_3P
haMcuvavaralli haMcu(V23)+va_#_PRP+vavaru_va_LOC+ralli_ru_3P
haMcuvavaralliyA haMcu(V23)+va_#_PRP+vavaru_va_LOC+ralliyA_ru_INTR
haMcuvavaralliyU haMcu(V23)+va_#_PRP+vavaru_va_LOC+ralliyU_ru_INCL
haMcuvavaralliyo haMcu(V23)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_DUB
haMcuvavaralliyo haMcu(V23)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_INDF
haMcuvavaralliyo haMcu(V23)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_PRES
haMcuvavaralliye haMcu(V23)+va_#_PRP+vavaru_va_LOC+ralliye_ru_IMPH
haMcuvavaralliye haMcu(V23)+va_#_PRP+vavaru_va_LOC+ralliye_ru_DECL
haMcuvavaralliye haMcu(V23)+va_#_PRP+vavaru_va_LOC+ralliye_ru_RIS
haMcuvavarigoskara haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigoskara_ru_3P
haMcuvavarigoskaravA haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigoskaravA_ru_INTR
haMcuvavarigoskaravU haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigoskaravU_ru_INCL
haMcuvavarigoskaravo haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_DUB
haMcuvavarigoskaravo haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_INDF
haMcuvavarigoskaravo haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_PRES
haMcuvavarigoskarave haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_IMPH
haMcuvavarigoskarave haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_DECL
haMcuvavarigoskarave haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_RIS
haMcuvavarigoskara haMcu(V23)+va_#_PRP+vavaru_va_PUR+rigoskara_ru_3P
haMcuvavarigoskaravA haMcu(V23)+va_#_PRP+vavaru_va_PUR+rigoskaravA_ru_INTR
haMcuvavarigoskaravU haMcu(V23)+va_#_PRP+vavaru_va_PUR+rigoskaravU_ru_INCL
haMcuvavarigoskaravo haMcu(V23)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_DUB
haMcuvavarigoskaravo haMcu(V23)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_INDF
haMcuvavarigoskaravo haMcu(V23)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_PRES
haMcuvavarigoskarave haMcu(V23)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_IMPH
haMcuvavarigoskarave haMcu(V23)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_DECL
haMcuvavarigoskarave haMcu(V23)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_RIS
haMcuvavarigAgi haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigAgi_ru_3P
haMcuvavarigAgiyA haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
haMcuvavarigAgiyU haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
haMcuvavarigAgiyo haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
haMcuvavarigAgiyo haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
haMcuvavarigAgiyo haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
haMcuvavarigAgiye haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
haMcuvavarigAgiye haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
haMcuvavarigAgiye haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
haMcuvavarigAgi haMcu(V23)+va_#_PRP+vavaru_va_PUR+rigAgi_ru_3P
haMcuvavarigAgiyA haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
haMcuvavarigAgiyU haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
haMcuvavarigAgiyo haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
haMcuvavarigAgiyo haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
haMcuvavarigAgiyo haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
haMcuvavarigAgiye haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
haMcuvavarigAgiye haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
haMcuvavarigAgiye haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
haMcuvavarigosuga haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigosuga_ru_3P
haMcuvavarigosugavA haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigosugavA_ru_INTR
haMcuvavarigosugavU haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigosugavU_ru_INCL
haMcuvavarigosugavo haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_DUB
haMcuvavarigosugavo haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_INDF
haMcuvavarigosugavo haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_PRES
haMcuvavarigosugave haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_IMPH
haMcuvavarigosugave haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_DECL
haMcuvavarigosugave haMcu(V23)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_RIS
haMcuvavarigosuga haMcu(V23)+va_#_PRP+vavaru_va_PUR+rigosuga_ru_3P
haMcuvavarigosugavA haMcu(V23)+va_#_PRP+vavaru_va_PUR+rigosugavA_ru_INTR
haMcuvavarigosugavU haMcu(V23)+va_#_PRP+vavaru_va_PUR+rigosugavU_ru_INCL
haMcuvavarigosugavo haMcu(V23)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_DUB
haMcuvavarigosugavo haMcu(V23)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_INDF
haMcuvavarigosugavo haMcu(V23)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_PRES
haMcuvavarigosugave haMcu(V23)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_IMPH
haMcuvavarigosugave haMcu(V23)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_DECL
haMcuvavarigosugave haMcu(V23)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_RIS
haMcuvavarigiMwa haMcu(V23)+va_#_PRP+vavaru_va_COMP+rigiMwa_ru_3P
haMcuvavarigiMwalA haMcu(V23)+va_#_PRP+vavaru_va_COMP+rigiMwalA_ru_INTR
haMcuvavarigiMwalU haMcu(V23)+va_#_PRP+vavaru_va_COMP+rigiMwalU_ru_INCL
haMcuvavarigiMwalo haMcu(V23)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_DUB
haMcuvavarigiMwalo haMcu(V23)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_INDF
haMcuvavarigiMwalo haMcu(V23)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_PRES
haMcuvavarigiMwale haMcu(V23)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_IMPH
haMcuvavarigiMwale haMcu(V23)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_DECL
haMcuvavarigiMwale haMcu(V23)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_RIS
haMcuvavaraMweV haMcu(V23)+va_#_PRP+vavaru_va_SIM+raMweV_ru_3P
haMcuvavaraMweVyA haMcu(V23)+va_#_PRP+vavaru_va_SIM+raMweVyA_ru_INTR
haMcuvavaraMweVyU haMcu(V23)+va_#_PRP+vavaru_va_SIM+raMweVyU_ru_INCL
haMcuvavaraMweVyo haMcu(V23)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_DUB
haMcuvavaraMweVyo haMcu(V23)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_INDF
haMcuvavaraMweVyo haMcu(V23)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_PRES
haMcuvavaraMweVye haMcu(V23)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_IMPH
haMcuvavaraMweVye haMcu(V23)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_DECL
haMcuvavaraMweVye haMcu(V23)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_RIS
haMcuvavaroVdaneV haMcu(V23)+va_#_PRP+vavaru_va_SOC+roVdaneV_ru_3P
haMcuvavaroVdaneVyA haMcu(V23)+va_#_PRP+vavaru_va_SOC+roVdaneVyA_ru_INTR
haMcuvavaroVdaneVyU haMcu(V23)+va_#_PRP+vavaru_va_SOC+roVdaneVyU_ru_INCL
haMcuvavaroVdaneVyo haMcu(V23)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_DUB
haMcuvavaroVdaneVyo haMcu(V23)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_INDF
haMcuvavaroVdaneVyo haMcu(V23)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_PRES
haMcuvavaroVdaneVye haMcu(V23)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_IMPH
haMcuvavaroVdaneVye haMcu(V23)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_DECL
haMcuvavaroVdaneVye haMcu(V23)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_RIS
haMcuvavaroVMxigeV  haMcu(V23)+va_#_PRP+vavaru_va_SOC+roVMxigeV_ru_3P
haMcuvavaroVMxigeVyA haMcu(V23)+va_#_PRP+vavaru_va_SOC+roVMxigeVyA_ru_INTR
haMcuvavaroVMxigeVyU haMcu(V23)+va_#_PRP+vavaru_va_SOC+roVMxigeVyU_ru_INCL
haMcuvavaroVMxigeVyo haMcu(V23)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_DUB
haMcuvavaroVMxigeVyo haMcu(V23)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_INDF
haMcuvavaroVMxigeVyo haMcu(V23)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_PRES
haMcuvavaroVMxigeVye haMcu(V23)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_IMPH
haMcuvavaroVMxigeVye haMcu(V23)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_DECL
haMcuvavaroVMxigeVye haMcu(V23)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_RIS
haMcuvuxannA haMcu(V23)+vuxu_#_ACC+xannA_xu_INTR
haMcuvuxannU haMcu(V23)+vuxu_#_ACC+xannU_xu_INCL
haMcuvuxanno haMcu(V23)+vuxu_#_ACC+xanno_xu_DUB
haMcuvuxanno haMcu(V23)+vuxu_#_ACC+xanno_xu_INDF
haMcuvuxanno haMcu(V23)+vuxu_#_ACC+xanno_xu_PRES
haMcuvuxanne haMcu(V23)+vuxu_#_ACC+xanne_xu_IMPH
haMcuvuxanne haMcu(V23)+vuxu_#_ACC+xanne_xu_DECL
haMcuvuxanne haMcu(V23)+vuxu_#_ACC+xanne_xu_RIS
haMcuvuxariMxalA haMcu(V23)+vuxu_#_INS+xariMxalA_xu_INTR
haMcuvuxariMxalU haMcu(V23)+vuxu_#_INS+xariMxalU_xu_INCL
haMcuvuxariMxalo haMcu(V23)+vuxu_#_INS+xariMxalo_xu_DUB
haMcuvuxariMxalo haMcu(V23)+vuxu_#_INS+xariMxalo_xu_INDF
haMcuvuxariMxalo haMcu(V23)+vuxu_#_INS+xariMxalo_xu_PRES
haMcuvuxariMxale haMcu(V23)+vuxu_#_INS+xariMxale_xu_IMPH
haMcuvuxariMxale haMcu(V23)+vuxu_#_INS+xariMxale_xu_DECL
haMcuvuxariMxale haMcu(V23)+vuxu_#_INS+xariMxale_xu_RIS
haMcuvuxakkeVyA haMcu(V23)+vuxu_#_DAT+xakkeVyA_xu_INTR
haMcuvuxakkeVyU haMcu(V23)+vuxu_#_DAT+xakkeVyU_xu_INCL
haMcuvuxakkeVyo haMcu(V23)+vuxu_#_DAT+xakkeVyo_xu_DUB
haMcuvuxakkeVyo haMcu(V23)+vuxu_#_DAT+xakkeVyo_xu_INDF
haMcuvuxakkeVyo haMcu(V23)+vuxu_#_DAT+xakkeVyo_xu_PRES
haMcuvuxakkeVye haMcu(V23)+vuxu_#_DAT+xakkeVye_xu_IMPH
haMcuvuxakkeVye haMcu(V23)+vuxu_#_DAT+xakkeVye_xu_DECL
haMcuvuxakkeVye haMcu(V23)+vuxu_#_DAT+xakkeVye_xu_RIS
haMcuvuxariMxalA haMcu(V23)+vuxu_#_ABL+xariMxalA_xu_INTR
haMcuvuxariMxalU haMcu(V23)+vuxu_#_ABL+xariMxalU_xu_INCL
haMcuvuxariMxalo haMcu(V23)+vuxu_#_ABL+xariMxalo_xu_DUB
haMcuvuxariMxalo haMcu(V23)+vuxu_#_ABL+xariMxalo_xu_INDF
haMcuvuxariMxalo haMcu(V23)+vuxu_#_ABL+xariMxalo_xu_PRES
haMcuvuxariMxale haMcu(V23)+vuxu_#_ABL+xariMxale_xu_IMPH
haMcuvuxariMxale haMcu(V23)+vuxu_#_ABL+xariMxale_xu_DECL
haMcuvuxariMxale haMcu(V23)+vuxu_#_ABL+xariMxale_xu_RIS
haMcuvuxaralliyA haMcu(V23)+vuxu_#_LOC+xaralliyA_xu_INTR
haMcuvuxaralliyU haMcu(V23)+vuxu_#_LOC+xaralliyU_xu_INCL
haMcuvuxaralliyo haMcu(V23)+vuxu_#_LOC+xaralliyo_xu_DUB
haMcuvuxaralliyo haMcu(V23)+vuxu_#_LOC+xaralliyo_xu_INDF
haMcuvuxaralliyo haMcu(V23)+vuxu_#_LOC+xaralliyo_xu_PRES
haMcuvuxaralliye haMcu(V23)+vuxu_#_LOC+xaralliye_xu_IMPH
haMcuvuxaralliye haMcu(V23)+vuxu_#_LOC+xaralliye_xu_DECL
haMcuvuxaralliye haMcu(V23)+vuxu_#_LOC+xaralliye_xu_RIS
haMcuvuxakkoskaravA haMcu(V23)+vuxu_#_BEN+xakkoskaravA_xu_INTR
haMcuvuxakkoskaravU haMcu(V23)+vuxu_#_BEN+xakkoskaravU_xu_INCL
haMcuvuxakkoskaravo haMcu(V23)+vuxu_#_BEN+xakkoskaravo_xu_DUB
haMcuvuxakkoskaravo haMcu(V23)+vuxu_#_BEN+xakkoskaravo_xu_INDF
haMcuvuxakkoskaravo haMcu(V23)+vuxu_#_BEN+xakkoskaravo_xu_PRES
haMcuvuxakkoskarave haMcu(V23)+vuxu_#_BEN+xakkoskarave_xu_IMPH
haMcuvuxakkoskarave haMcu(V23)+vuxu_#_BEN+xakkoskarave_xu_DECL
haMcuvuxakkoskarave haMcu(V23)+vuxu_#_BEN+xakkoskarave_xu_RIS
haMcuvuxakkoskaravA haMcu(V23)+vuxu_#_PUR+xakkoskaravA_xu_INTR
haMcuvuxakkoskaravU haMcu(V23)+vuxu_#_PUR+xakkoskaravU_xu_INCL
haMcuvuxakkoskaravo haMcu(V23)+vuxu_#_PUR+xakkoskaravo_xu_DUB
haMcuvuxakkoskaravo haMcu(V23)+vuxu_#_PUR+xakkoskaravo_xu_INDF
haMcuvuxakkoskaravo haMcu(V23)+vuxu_#_PUR+xakkoskaravo_xu_PRES
haMcuvuxakkoskarave haMcu(V23)+vuxu_#_PUR+xakkoskarave_xu_IMPH
haMcuvuxakkoskarave haMcu(V23)+vuxu_#_PUR+xakkoskarave_xu_DECL
haMcuvuxakkoskarave haMcu(V23)+vuxu_#_PUR+xakkoskarave_xu_RIS
haMcuvuxaixagiyA haMcu(V23)+vuxu_#_BEN+xaixagiyA_xu_INTR
haMcuvuxaixagiyU haMcu(V23)+vuxu_#_BEN+xaixagiyU_xu_INCL
haMcuvuxaixagiyo haMcu(V23)+vuxu_#_BEN+xaixagiyo_xu_DUB
haMcuvuxaixagiyo haMcu(V23)+vuxu_#_BEN+xaixagiyo_xu_INDF
haMcuvuxaixagiyo haMcu(V23)+vuxu_#_BEN+xaixagiyo_xu_PRES
haMcuvuxaixagiye haMcu(V23)+vuxu_#_BEN+xaixagiye_xu_IMPH
haMcuvuxaixagiye haMcu(V23)+vuxu_#_BEN+xaixagiye_xu_DECL
haMcuvuxaixagiye haMcu(V23)+vuxu_#_BEN+xaixagiye_xu_RIS
haMcuvuxaixagiyA haMcu(V23)+vuxu_#_PUR+xaixagiyA_xu_INTR
haMcuvuxaixagiyU haMcu(V23)+vuxu_#_PUR+xaixagiyU_xu_INCL
haMcuvuxaixagiyo haMcu(V23)+vuxu_#_PUR+xaixagiyo_xu_DUB
haMcuvuxaixagiyo haMcu(V23)+vuxu_#_PUR+xaixagiyo_xu_INDF
haMcuvuxaixagiyo haMcu(V23)+vuxu_#_PUR+xaixagiyo_xu_PRES
haMcuvuxaixagiye haMcu(V23)+vuxu_#_PUR+xaixagiye_xu_IMPH
haMcuvuxaixagiye haMcu(V23)+vuxu_#_PUR+xaixagiye_xu_DECL
haMcuvuxaixagiye haMcu(V23)+vuxu_#_PUR+xaixagiye_xu_RIS
haMcuvuxakkosugavA haMcu(V23)+vuxu_#_BEN+xakkosugavA_xu_INTR
haMcuvuxakkosugavU haMcu(V23)+vuxu_#_BEN+xakkosugavU_xu_INCL
haMcuvuxakkosugavo haMcu(V23)+vuxu_#_BEN+xakkosugavo_xu_DUB
haMcuvuxakkosugavo haMcu(V23)+vuxu_#_BEN+xakkosugavo_xu_INDF
haMcuvuxakkosugavo haMcu(V23)+vuxu_#_BEN+xakkosugavo_xu_PRES
haMcuvuxakkosugave haMcu(V23)+vuxu_#_BEN+xakkosugave_xu_IMPH
haMcuvuxakkosugave haMcu(V23)+vuxu_#_BEN+xakkosugave_xu_DECL
haMcuvuxakkosugave haMcu(V23)+vuxu_#_BEN+xakkosugave_xu_RIS
haMcuvuxakkosugavA haMcu(V23)+vuxu_#_PUR+xakkosugavA_xu_INTR
haMcuvuxakkosugavU haMcu(V23)+vuxu_#_PUR+xakkosugavU_xu_INCL
haMcuvuxakkosugavo haMcu(V23)+vuxu_#_PUR+xakkosugavo_xu_DUB
haMcuvuxakkosugavo haMcu(V23)+vuxu_#_PUR+xakkosugavo_xu_PRES
haMcuvuxakkosugave haMcu(V23)+vuxu_#_PUR+xakkosugave_xu_IMPH
haMcuvuxakkosugave haMcu(V23)+vuxu_#_PUR+xakkosugave_xu_DECL
haMcuvuxakkosugave haMcu(V23)+vuxu_#_PUR+xakkosugave_xu_RIS
haMcuvuxakkiMwalA haMcu(V23)+vuxu_#_COMP+xakkiMwalA_xu_INTR
haMcuvuxakkiMwalU haMcu(V23)+vuxu_#_COMP+xakkiMwalU_xu_INCL
haMcuvuxakkiMwalo haMcu(V23)+vuxu_#_COMP+xakkiMwalo_xu_DUB
haMcuvuxakkiMwalo haMcu(V23)+vuxu_#_COMP+xakkiMwalo_xu_INDF
haMcuvuxakkiMwalo haMcu(V23)+vuxu_#_COMP+xakkiMwalo_xu_PRES
haMcuvuxakkiMwale haMcu(V23)+vuxu_#_COMP+xakkiMwale_xu_IMPH
haMcuvuxakkiMwale haMcu(V23)+vuxu_#_COMP+xakkiMwale_xu_DECL
haMcuvuxakkiMwale haMcu(V23)+vuxu_#_COMP+xakkiMwale_xu_RIS
haMcuvaMweVyA haMcu(V23)+va_#_SIM+vaMweVyA_va_INTR
haMcuvaMweVyU haMcu(V23)+va_#_SIM+vaMweVyU_va_INCL
haMcuvaMweVyo haMcu(V23)+va_#_SIM+vaMweVyo_va_DUB
haMcuvaMweVyo haMcu(V23)+va_#_SIM+vaMweVyo_va_INDF
haMcuvaMweVyo haMcu(V23)+va_#_SIM+vaMweVyo_va_PRES
haMcuvaMweVye haMcu(V23)+va_#_SIM+vaMweVye_va_IMPH
haMcuvaMweVye haMcu(V23)+va_#_SIM+vaMweVye_va_DECL
haMcuvaMweVye haMcu(V23)+va_#_SIM+vaMweVye_va_RIS
haMcuvuxaroVMxigeVyA haMcu(V23)+vuxu_#_SOC+xaroVMxigeVyA_xu_INTR
