appixanu appu(V24)+ixa_u_PAST+anu_a_3SM   
appuvavarigeVyo appu(V24)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_PRES
appuvavarigeVye appu(V24)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_IMPH
appuvavarigeVye appu(V24)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_DECL
appuvavarigeVye appu(V24)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_RIS
appuvavariMxa  appu(V24)+va_#_PRP+vavaru_va_ABL+riMxa_ru_3P
appuvavariMxalA appu(V24)+va_#_PRP+vavaru_va_ABL+riMxalA_ru_INTR
appuvavariMxalU appu(V24)+va_#_PRP+vavaru_va_ABL+riMxalU_ru_INCL
appuvavariMxalo appu(V24)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_DUB
appuvavariMxalo appu(V24)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_INDF
appuvavariMxalo appu(V24)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_PRES
appuvavariMxale appu(V24)+va_#_PRP+vavaru_va_ABL+riMxale_ru_IMPH
appuvavariMxale appu(V24)+va_#_PRP+vavaru_va_ABL+riMxale_ru_DECL
appuvavariMxale appu(V24)+va_#_PRP+vavaru_va_ABL+riMxale_ru_RIS
appuvavara appu(V24)+va_#_PRP+vavaru_va_GEN+ra_ru_3P
appuvavaralli appu(V24)+va_#_PRP+vavaru_va_LOC+ralli_ru_3P
appuvavaralliyA appu(V24)+va_#_PRP+vavaru_va_LOC+ralliyA_ru_INTR
appuvavaralliyU appu(V24)+va_#_PRP+vavaru_va_LOC+ralliyU_ru_INCL
appuvavaralliyo appu(V24)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_DUB
appuvavaralliyo appu(V24)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_INDF
appuvavaralliyo appu(V24)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_PRES
appuvavaralliye appu(V24)+va_#_PRP+vavaru_va_LOC+ralliye_ru_IMPH
appuvavaralliye appu(V24)+va_#_PRP+vavaru_va_LOC+ralliye_ru_DECL
appuvavaralliye appu(V24)+va_#_PRP+vavaru_va_LOC+ralliye_ru_RIS
appuvavarigoskara appu(V24)+va_#_PRP+vavaru_va_BEN+rigoskara_ru_3P
appuvavarigoskaravA appu(V24)+va_#_PRP+vavaru_va_BEN+rigoskaravA_ru_INTR
appuvavarigoskaravU appu(V24)+va_#_PRP+vavaru_va_BEN+rigoskaravU_ru_INCL
appuvavarigoskaravo appu(V24)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_DUB
appuvavarigoskaravo appu(V24)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_INDF
appuvavarigoskaravo appu(V24)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_PRES
appuvavarigoskarave appu(V24)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_IMPH
appuvavarigoskarave appu(V24)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_DECL
appuvavarigoskarave appu(V24)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_RIS
appuvavarigoskara appu(V24)+va_#_PRP+vavaru_va_PUR+rigoskara_ru_3P
appuvavarigoskaravA appu(V24)+va_#_PRP+vavaru_va_PUR+rigoskaravA_ru_INTR
appuvavarigoskaravU appu(V24)+va_#_PRP+vavaru_va_PUR+rigoskaravU_ru_INCL
appuvavarigoskaravo appu(V24)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_DUB
appuvavarigoskaravo appu(V24)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_INDF
appuvavarigoskaravo appu(V24)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_PRES
appuvavarigoskarave appu(V24)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_IMPH
appuvavarigoskarave appu(V24)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_DECL
appuvavarigoskarave appu(V24)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_RIS
appuvavarigAgi appu(V24)+va_#_PRP+vavaru_va_BEN+rigAgi_ru_3P
appuvavarigAgiyA appu(V24)+va_#_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
appuvavarigAgiyU appu(V24)+va_#_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
appuvavarigAgiyo appu(V24)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
appuvavarigAgiyo appu(V24)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
appuvavarigAgiyo appu(V24)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
appuvavarigAgiye appu(V24)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
appuvavarigAgiye appu(V24)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
appuvavarigAgiye appu(V24)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
appuvavarigAgi appu(V24)+va_#_PRP+vavaru_va_PUR+rigAgi_ru_3P
appuvavarigAgiyA appu(V24)+va_#_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
appuvavarigAgiyU appu(V24)+va_#_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
appuvavarigAgiyo appu(V24)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
appuvavarigAgiyo appu(V24)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
appuvavarigAgiyo appu(V24)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
appuvavarigAgiye appu(V24)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
appuvavarigAgiye appu(V24)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
appuvavarigAgiye appu(V24)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
appuvavarigosuga appu(V24)+va_#_PRP+vavaru_va_BEN+rigosuga_ru_3P
appuvavarigosugavA appu(V24)+va_#_PRP+vavaru_va_BEN+rigosugavA_ru_INTR
appuvavarigosugavU appu(V24)+va_#_PRP+vavaru_va_BEN+rigosugavU_ru_INCL
appuvavarigosugavo appu(V24)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_DUB
appuvavarigosugavo appu(V24)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_INDF
appuvavarigosugavo appu(V24)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_PRES
appuvavarigosugave appu(V24)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_IMPH
appuvavarigosugave appu(V24)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_DECL
appuvavarigosugave appu(V24)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_RIS
appuvavarigosuga appu(V24)+va_#_PRP+vavaru_va_PUR+rigosuga_ru_3P
appuvavarigosugavA appu(V24)+va_#_PRP+vavaru_va_PUR+rigosugavA_ru_INTR
appuvavarigosugavU appu(V24)+va_#_PRP+vavaru_va_PUR+rigosugavU_ru_INCL
appuvavarigosugavo appu(V24)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_DUB
appuvavarigosugavo appu(V24)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_INDF
appuvavarigosugavo appu(V24)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_PRES
appuvavarigosugave appu(V24)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_IMPH
appuvavarigosugave appu(V24)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_DECL
appuvavarigosugave appu(V24)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_RIS
appuvavarigiMwa appu(V24)+va_#_PRP+vavaru_va_COMP+rigiMwa_ru_3P
appuvavarigiMwalA appu(V24)+va_#_PRP+vavaru_va_COMP+rigiMwalA_ru_INTR
appuvavarigiMwalU appu(V24)+va_#_PRP+vavaru_va_COMP+rigiMwalU_ru_INCL
appuvavarigiMwalo appu(V24)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_DUB
appuvavarigiMwalo appu(V24)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_INDF
appuvavarigiMwalo appu(V24)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_PRES
appuvavarigiMwale appu(V24)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_IMPH
appuvavarigiMwale appu(V24)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_DECL
appuvavarigiMwale appu(V24)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_RIS
appuvavaraMweV appu(V24)+va_#_PRP+vavaru_va_SIM+raMweV_ru_3P
appuvavaraMweVyA appu(V24)+va_#_PRP+vavaru_va_SIM+raMweVyA_ru_INTR
appuvavaraMweVyU appu(V24)+va_#_PRP+vavaru_va_SIM+raMweVyU_ru_INCL
appuvavaraMweVyo appu(V24)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_DUB
appuvavaraMweVyo appu(V24)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_INDF
appuvavaraMweVyo appu(V24)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_PRES
appuvavaraMweVye appu(V24)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_IMPH
appuvavaraMweVye appu(V24)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_DECL
appuvavaraMweVye appu(V24)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_RIS
appuvavaroVdaneV appu(V24)+va_#_PRP+vavaru_va_SOC+roVdaneV_ru_3P
appuvavaroVdaneVyA appu(V24)+va_#_PRP+vavaru_va_SOC+roVdaneVyA_ru_INTR
appuvavaroVdaneVyU appu(V24)+va_#_PRP+vavaru_va_SOC+roVdaneVyU_ru_INCL
appuvavaroVdaneVyo appu(V24)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_DUB
appuvavaroVdaneVyo appu(V24)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_INDF
appuvavaroVdaneVyo appu(V24)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_PRES
appuvavaroVdaneVye appu(V24)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_IMPH
appuvavaroVdaneVye appu(V24)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_DECL
appuvavaroVdaneVye appu(V24)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_RIS
appuvavaroVMxigeV  appu(V24)+va_#_PRP+vavaru_va_SOC+roVMxigeV_ru_3P
appuvavaroVMxigeVyA appu(V24)+va_#_PRP+vavaru_va_SOC+roVMxigeVyA_ru_INTR
appuvavaroVMxigeVyU appu(V24)+va_#_PRP+vavaru_va_SOC+roVMxigeVyU_ru_INCL
appuvavaroVMxigeVyo appu(V24)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_DUB
appuvavaroVMxigeVyo appu(V24)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_INDF
appuvavaroVMxigeVyo appu(V24)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_PRES
appuvavaroVMxigeVye appu(V24)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_IMPH
appuvavaroVMxigeVye appu(V24)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_DECL
appuvavaroVMxigeVye appu(V24)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_RIS
appuvuxannA appu(V24)+vuxu_#_ACC+xannA_xu_INTR
appuvuxannU appu(V24)+vuxu_#_ACC+xannU_xu_INCL
appuvuxanno appu(V24)+vuxu_#_ACC+xanno_xu_DUB
appuvuxanno appu(V24)+vuxu_#_ACC+xanno_xu_INDF
appuvuxanno appu(V24)+vuxu_#_ACC+xanno_xu_PRES
appuvuxanne appu(V24)+vuxu_#_ACC+xanne_xu_IMPH
appuvuxanne appu(V24)+vuxu_#_ACC+xanne_xu_DECL
appuvuxanne appu(V24)+vuxu_#_ACC+xanne_xu_RIS
appuvuxariMxalA appu(V24)+vuxu_#_INS+xariMxalA_xu_INTR
appuvuxariMxalU appu(V24)+vuxu_#_INS+xariMxalU_xu_INCL
appuvuxariMxalo appu(V24)+vuxu_#_INS+xariMxalo_xu_DUB
appuvuxariMxalo appu(V24)+vuxu_#_INS+xariMxalo_xu_INDF
appuvuxariMxalo appu(V24)+vuxu_#_INS+xariMxalo_xu_PRES
appuvuxariMxale appu(V24)+vuxu_#_INS+xariMxale_xu_IMPH
appuvuxariMxale appu(V24)+vuxu_#_INS+xariMxale_xu_DECL
appuvuxariMxale appu(V24)+vuxu_#_INS+xariMxale_xu_RIS
appuvuxakkeVyA appu(V24)+vuxu_#_DAT+xakkeVyA_xu_INTR
appuvuxakkeVyU appu(V24)+vuxu_#_DAT+xakkeVyU_xu_INCL
appuvuxakkeVyo appu(V24)+vuxu_#_DAT+xakkeVyo_xu_DUB
appuvuxakkeVyo appu(V24)+vuxu_#_DAT+xakkeVyo_xu_INDF
appuvuxakkeVyo appu(V24)+vuxu_#_DAT+xakkeVyo_xu_PRES
appuvuxakkeVye appu(V24)+vuxu_#_DAT+xakkeVye_xu_IMPH
appuvuxakkeVye appu(V24)+vuxu_#_DAT+xakkeVye_xu_DECL
appuvuxakkeVye appu(V24)+vuxu_#_DAT+xakkeVye_xu_RIS
appuvuxariMxalA appu(V24)+vuxu_#_ABL+xariMxalA_xu_INTR
appuvuxariMxalU appu(V24)+vuxu_#_ABL+xariMxalU_xu_INCL
appuvuxariMxalo appu(V24)+vuxu_#_ABL+xariMxalo_xu_DUB
appuvuxariMxalo appu(V24)+vuxu_#_ABL+xariMxalo_xu_INDF
appuvuxariMxalo appu(V24)+vuxu_#_ABL+xariMxalo_xu_PRES
appuvuxariMxale appu(V24)+vuxu_#_ABL+xariMxale_xu_IMPH
appuvuxariMxale appu(V24)+vuxu_#_ABL+xariMxale_xu_DECL
appuvuxariMxale appu(V24)+vuxu_#_ABL+xariMxale_xu_RIS
appuvuxaralliyA appu(V24)+vuxu_#_LOC+xaralliyA_xu_INTR
appuvuxaralliyU appu(V24)+vuxu_#_LOC+xaralliyU_xu_INCL
appuvuxaralliyo appu(V24)+vuxu_#_LOC+xaralliyo_xu_DUB
appuvuxaralliyo appu(V24)+vuxu_#_LOC+xaralliyo_xu_INDF
appuvuxaralliyo appu(V24)+vuxu_#_LOC+xaralliyo_xu_PRES
appuvuxaralliye appu(V24)+vuxu_#_LOC+xaralliye_xu_IMPH
appuvuxaralliye appu(V24)+vuxu_#_LOC+xaralliye_xu_DECL
appuvuxaralliye appu(V24)+vuxu_#_LOC+xaralliye_xu_RIS
appuvuxakkoskaravA appu(V24)+vuxu_#_BEN+xakkoskaravA_xu_INTR
appuvuxakkoskaravU appu(V24)+vuxu_#_BEN+xakkoskaravU_xu_INCL
appuvuxakkoskaravo appu(V24)+vuxu_#_BEN+xakkoskaravo_xu_DUB
appuvuxakkoskaravo appu(V24)+vuxu_#_BEN+xakkoskaravo_xu_INDF
appuvuxakkoskaravo appu(V24)+vuxu_#_BEN+xakkoskaravo_xu_PRES
appuvuxakkoskarave appu(V24)+vuxu_#_BEN+xakkoskarave_xu_IMPH
appuvuxakkoskarave appu(V24)+vuxu_#_BEN+xakkoskarave_xu_DECL
appuvuxakkoskarave appu(V24)+vuxu_#_BEN+xakkoskarave_xu_RIS
appuvuxakkoskaravA appu(V24)+vuxu_#_PUR+xakkoskaravA_xu_INTR
appuvuxakkoskaravU appu(V24)+vuxu_#_PUR+xakkoskaravU_xu_INCL
appuvuxakkoskaravo appu(V24)+vuxu_#_PUR+xakkoskaravo_xu_DUB
appuvuxakkoskaravo appu(V24)+vuxu_#_PUR+xakkoskaravo_xu_INDF
appuvuxakkoskaravo appu(V24)+vuxu_#_PUR+xakkoskaravo_xu_PRES
appuvuxakkoskarave appu(V24)+vuxu_#_PUR+xakkoskarave_xu_IMPH
appuvuxakkoskarave appu(V24)+vuxu_#_PUR+xakkoskarave_xu_DECL
appuvuxakkoskarave appu(V24)+vuxu_#_PUR+xakkoskarave_xu_RIS
appuvuxaixagiyA appu(V24)+vuxu_#_BEN+xaixagiyA_xu_INTR
appuvuxaixagiyU appu(V24)+vuxu_#_BEN+xaixagiyU_xu_INCL
appuvuxaixagiyo appu(V24)+vuxu_#_BEN+xaixagiyo_xu_DUB
appuvuxaixagiyo appu(V24)+vuxu_#_BEN+xaixagiyo_xu_INDF
appuvuxaixagiyo appu(V24)+vuxu_#_BEN+xaixagiyo_xu_PRES
appuvuxaixagiye appu(V24)+vuxu_#_BEN+xaixagiye_xu_IMPH
appuvuxaixagiye appu(V24)+vuxu_#_BEN+xaixagiye_xu_DECL
appuvuxaixagiye appu(V24)+vuxu_#_BEN+xaixagiye_xu_RIS
appuvuxaixagiyA appu(V24)+vuxu_#_PUR+xaixagiyA_xu_INTR
appuvuxaixagiyU appu(V24)+vuxu_#_PUR+xaixagiyU_xu_INCL
appuvuxaixagiyo appu(V24)+vuxu_#_PUR+xaixagiyo_xu_DUB
appuvuxaixagiyo appu(V24)+vuxu_#_PUR+xaixagiyo_xu_INDF
appuvuxaixagiyo appu(V24)+vuxu_#_PUR+xaixagiyo_xu_PRES
appuvuxaixagiye appu(V24)+vuxu_#_PUR+xaixagiye_xu_IMPH
appuvuxaixagiye appu(V24)+vuxu_#_PUR+xaixagiye_xu_DECL
appuvuxaixagiye appu(V24)+vuxu_#_PUR+xaixagiye_xu_RIS
appuvuxakkosugavA appu(V24)+vuxu_#_BEN+xakkosugavA_xu_INTR
appuvuxakkosugavU appu(V24)+vuxu_#_BEN+xakkosugavU_xu_INCL
appuvuxakkosugavo appu(V24)+vuxu_#_BEN+xakkosugavo_xu_DUB
appuvuxakkosugavo appu(V24)+vuxu_#_BEN+xakkosugavo_xu_INDF
appuvuxakkosugavo appu(V24)+vuxu_#_BEN+xakkosugavo_xu_PRES
appuvuxakkosugave appu(V24)+vuxu_#_BEN+xakkosugave_xu_IMPH
appuvuxakkosugave appu(V24)+vuxu_#_BEN+xakkosugave_xu_DECL
appuvuxakkosugave appu(V24)+vuxu_#_BEN+xakkosugave_xu_RIS
appuvuxakkosugavA appu(V24)+vuxu_#_PUR+xakkosugavA_xu_INTR
appuvuxakkosugavU appu(V24)+vuxu_#_PUR+xakkosugavU_xu_INCL
appuvuxakkosugavo appu(V24)+vuxu_#_PUR+xakkosugavo_xu_DUB
appuvuxakkosugavo appu(V24)+vuxu_#_PUR+xakkosugavo_xu_PRES
appuvuxakkosugave appu(V24)+vuxu_#_PUR+xakkosugave_xu_IMPH
appuvuxakkosugave appu(V24)+vuxu_#_PUR+xakkosugave_xu_DECL
appuvuxakkosugave appu(V24)+vuxu_#_PUR+xakkosugave_xu_RIS
appuvuxakkiMwalA appu(V24)+vuxu_#_COMP+xakkiMwalA_xu_INTR
appuvuxakkiMwalU appu(V24)+vuxu_#_COMP+xakkiMwalU_xu_INCL
appuvuxakkiMwalo appu(V24)+vuxu_#_COMP+xakkiMwalo_xu_DUB
appuvuxakkiMwalo appu(V24)+vuxu_#_COMP+xakkiMwalo_xu_INDF
appuvuxakkiMwalo appu(V24)+vuxu_#_COMP+xakkiMwalo_xu_PRES
appuvuxakkiMwale appu(V24)+vuxu_#_COMP+xakkiMwale_xu_IMPH
appuvuxakkiMwale appu(V24)+vuxu_#_COMP+xakkiMwale_xu_DECL
appuvuxakkiMwale appu(V24)+vuxu_#_COMP+xakkiMwale_xu_RIS
appuvaMweVyA appu(V24)+va_#_SIM+vaMweVyA_va_INTR
appuvaMweVyU appu(V24)+va_#_SIM+vaMweVyU_va_INCL
appuvaMweVyo appu(V24)+va_#_SIM+vaMweVyo_va_DUB
appuvaMweVyo appu(V24)+va_#_SIM+vaMweVyo_va_INDF
appuvaMweVyo appu(V24)+va_#_SIM+vaMweVyo_va_PRES
appuvaMweVye appu(V24)+va_#_SIM+vaMweVye_va_IMPH
appuvaMweVye appu(V24)+va_#_SIM+vaMweVye_va_DECL
appuvaMweVye appu(V24)+va_#_SIM+vaMweVye_va_RIS
appuvuxaroVMxigeVyA appu(V24)+vuxu_#_SOC+xaroVMxigeVyA_xu_INTR
appuvuxaroVMxigeVyU appu(V24)+vuxu_#_SOC+xaroVMxigeVyU_xu_INCL
appuvuxaroVMxigeVyo appu(V24)+vuxu_#_SOC+xaroVMxigeVyo_xu_DUB
appuvuxaroVMxigeVyo appu(V24)+vuxu_#_SOC+xaroVMxigeVyo_xu_INDF
appuvuxaroVMxigeVyo appu(V24)+vuxu_#_SOC+xaroVMxigeVyo_xu_PRES
appuvuxaroVMxigeVye appu(V24)+vuxu_#_SOC+xaroVMxigeVye_xu_IMPH
appuvuxaroVMxigeVye appu(V24)+vuxu_#_SOC+xaroVMxigeVye_xu_DECL
appuvuxaroVMxigeVye appu(V24)+vuxu_#_SOC+xaroVMxigeVye_xu_RIS
appuvuxaroVdaneVyA appu(V24)+vuxu_#_SOC+xaroVdaneVyA_xu_INTR
appuvuxaroVdaneVyU appu(V24)+vuxu_#_SOC+xaroVdaneVyU_xu_INCL
appuvuxaroVdaneVyo appu(V24)+vuxu_#_SOC+xaroVdaneVyo_xu_DUB
appuvuxaroVdaneVyo appu(V24)+vuxu_#_SOC+xaroVdaneVyo_xu_INDF
appuvuxaroVdaneVyo appu(V24)+vuxu_#_SOC+xaroVdaneVyo_xu_PRES
appuvuxaroVdaneVye appu(V24)+vuxu_#_SOC+xaroVdaneVye_xu_IMPH
appuvuxaroVdaneVye appu(V24)+vuxu_#_SOC+xaroVdaneVye_xu_DECL
appuvuxaroVdaneVye appu(V24)+vuxu_#_SOC+xaroVdaneVye_xu_RIS


appixavanannu appu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nannu_nu_3SM
appixavanannA appu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nannA_nu_INTR
appixavanannU appu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nannU_nu_INCL
appixavananno appu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanno_nu_DUB
appixavananno appu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanno_nu_INDF
appixavananno appu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanno_nu_PRES
appixavananne appu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanne_nu_IMPH
appixavananne appu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanne_nu_DECL
appixavananne appu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanne_nu_RIS
appixavaniMxa appu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxa_nu_3SM
appixavaniMxalA appu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalA_nu_INTR
appixavaniMxalU appu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalU_nu_INCL
appixavaniMxalo appu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalo_nu_DUB
appixavaniMxalo appu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalo_nu_INDF
appixavaniMxalo appu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalo_nu_PRES
appixavaniMxale appu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxale_nu_IMPH
appixavaniMxale appu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxale_nu_DECL
appixavaniMxale appu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxale_nu_RIS
appixavanalligeV appu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeV_nu_3SM
appixavanalligeVyA appu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyA_nu_INTR
appixavanalligeVyU appu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyU_nu_INCL
appixavanalligeVyo appu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyo_nu_DUB
appixavanalligeVyo appu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyo_nu_INDF
appixavanalligeVyo appu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyo_nu_PRES
appixavanalligeVye appu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVye_nu_IMPH
appixavanalligeVye appu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVye_nu_DECL
appixavanalligeVye appu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVye_nu_RIS
appixavaniMxa  appu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxa_nu_3SM
appixavaniMxalA appu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalA_nu_INTR
appixavaniMxalU appu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalU_nu_INCL
appixavaniMxalo appu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalo_nu_DUB
appixavaniMxalo appu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalo_nu_INDF
appixavaniMxalo appu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalo_nu_PRES
appixavaniMxale appu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxale_nu_IMPH
appixavaniMxale appu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxale_nu_DECL
appixavaniMxale appu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxale_nu_RIS
appixavana appu(V4)+ixa_u_PRP+ixavanu_ixa_GEN+na_nu_3SM
appixavanalli appu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalli_nu_3SM
appixavanalliyA appu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyA_nu_INTR
appixavanalliyU appu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyU_nu_INCL
appixavanalliyo appu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyo_nu_DUB
appixavanalliyo appu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyo_nu_INDF
appixavanalliyo appu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyo_nu_PRES
appixavanalliye appu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliye_nu_IMPH
appixavanalliye appu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliye_nu_DECL
appixavanalliye appu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliye_nu_RIS
appixavanigoskara appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskara_nu_3SM
appixavanigoskaravA appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravA_nu_INTR
appixavanigoskaravU appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravU_nu_INCL
appixavanigoskaravo appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravo_nu_DUB
appixavanigoskaravo appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravo_nu_INDF
appixavanigoskaravo appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravo_nu_PRES
appixavanigoskarave appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskarave_nu_IMPH
appixavanigoskarave appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskarave_nu_DECL
appixavanigoskarave appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskarave_nu_RIS
appixavanigoskara appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskara_nu_3SM
appixavanigoskaravA appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravA_nu_INTR
appixavanigoskaravU appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravU_nu_INCL
appixavanigoskaravo appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravo_nu_DUB
