noVMxanu noyu(V17)+noVMxa_noyu_PAST+anu_a_3SM   
noyuvavalYoVdaneVyo noyu(V17)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_INDF
noyuvavalYoVdaneVyo noyu(V17)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_PRES
noyuvavalYoVdaneVye noyu(V17)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_IMPH
noyuvavalYoVdaneVye noyu(V17)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_DECL
noyuvavalYoVdaneVye noyu(V17)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_RIS
noyuvavalYoVMxigeV  noyu(V17)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeV_lYu_3SF
noyuvavalYoVMxigeVyA noyu(V17)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyA_lYu_INTR
noyuvavalYoVMxigeVyU noyu(V17)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyU_lYu_INCL
noyuvavalYoVMxigeVyo noyu(V17)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_DUB
noyuvavalYoVMxigeVyo noyu(V17)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_INDF
noyuvavalYoVMxigeVyo noyu(V17)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_PRES
noyuvavalYoVMxigeVye noyu(V17)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_IMPH
noyuvavalYoVMxigeVye noyu(V17)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_DECL
noyuvavalYoVMxigeVye noyu(V17)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_RIS
noyuvavarannu noyu(V17)+va_#_PRP+vavaru_va_ACC+rannu_ru_3P
noyuvavarannA noyu(V17)+va_#_PRP+vavaru_va_ACC+rannA_ru_INTR
noyuvavarannU noyu(V17)+va_#_PRP+vavaru_va_ACC+rannU_ru_INCL
noyuvavaranno noyu(V17)+va_#_PRP+vavaru_va_ACC+ranno_ru_DUB
noyuvavaranno noyu(V17)+va_#_PRP+vavaru_va_ACC+ranno_ru_INDF
noyuvavaranno noyu(V17)+va_#_PRP+vavaru_va_ACC+ranno_ru_PRES
noyuvavaranne noyu(V17)+va_#_PRP+vavaru_va_ACC+ranne_ru_IMPH
noyuvavaranne noyu(V17)+va_#_PRP+vavaru_va_ACC+ranne_ru_DECL
noyuvavaranne noyu(V17)+va_#_PRP+vavaru_va_ACC+ranne_ru_RIS
noyuvavariMnoVMxa noyu(V17)+va_#_PRP+vavaru_va_INS+riMnoVMxa_ru_3P
noyuvavarinoVMxalA noyu(V17)+va_#_PRP+vavaru_va_INS+rinoVMxalA_ru_INTR
noyuvavarinoVMxalU noyu(V17)+va_#_PRP+vavaru_va_INS+rinoVMxalU_ru_INCL
noyuvavarinoVMxalo noyu(V17)+va_#_PRP+vavaru_va_INS+rinoVMxalo_ru_DUB
noyuvavarinoVMxalo noyu(V17)+va_#_PRP+vavaru_va_INS+rinoVMxalo_ru_INDF
noyuvavarinoVMxalo noyu(V17)+va_#_PRP+vavaru_va_INS+rinoVMxalo_ru_PRES
noyuvavarinoVMxale noyu(V17)+va_#_PRP+vavaru_va_INS+rinoVMxale_ru_IMPH
noyuvavarinoVMxale noyu(V17)+va_#_PRP+vavaru_va_INS+rinoVMxale_ru_DECL
noyuvavarinoVMxale noyu(V17)+va_#_PRP+vavaru_va_INS+rinoVMxale_ru_RIS
noyuvavarigeV noyu(V17)+va_#_PRP+vavaru_va_DAT+rigeV_ru_3P
noyuvavarigeVyA noyu(V17)+va_#_PRP+vavaru_va_DAT+rigeVyA_ru_INTR
noyuvavarigeVyU noyu(V17)+va_#_PRP+vavaru_va_DAT+rigeVyU_ru_INCL
noyuvavarigeVyo noyu(V17)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_DUB
noyuvavarigeVyo noyu(V17)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_INDF
noyuvavarigeVyo noyu(V17)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_PRES
noyuvavarigeVye noyu(V17)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_IMPH
noyuvavarigeVye noyu(V17)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_DECL
noyuvavarigeVye noyu(V17)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_RIS
noyuvavarinoVMxa  noyu(V17)+va_#_PRP+vavaru_va_ABL+rinoVMxa_ru_3P
noyuvavarinoVMxalA noyu(V17)+va_#_PRP+vavaru_va_ABL+rinoVMxalA_ru_INTR
noyuvavarinoVMxalU noyu(V17)+va_#_PRP+vavaru_va_ABL+rinoVMxalU_ru_INCL
noyuvavarinoVMxalo noyu(V17)+va_#_PRP+vavaru_va_ABL+rinoVMxalo_ru_DUB
noyuvavarinoVMxalo noyu(V17)+va_#_PRP+vavaru_va_ABL+rinoVMxalo_ru_INDF
noyuvavarinoVMxalo noyu(V17)+va_#_PRP+vavaru_va_ABL+rinoVMxalo_ru_PRES
noyuvavarinoVMxale noyu(V17)+va_#_PRP+vavaru_va_ABL+rinoVMxale_ru_IMPH
noyuvavarinoVMxale noyu(V17)+va_#_PRP+vavaru_va_ABL+rinoVMxale_ru_DECL
noyuvavarinoVMxale noyu(V17)+va_#_PRP+vavaru_va_ABL+rinoVMxale_ru_RIS
noyuvavara noyu(V17)+va_#_PRP+vavaru_va_GEN+ra_ru_3P
noyuvavaralli noyu(V17)+va_#_PRP+vavaru_va_LOC+ralli_ru_3P
noyuvavaralliyA noyu(V17)+va_#_PRP+vavaru_va_LOC+ralliyA_ru_INTR
noyuvavaralliyU noyu(V17)+va_#_PRP+vavaru_va_LOC+ralliyU_ru_INCL
noyuvavaralliyo noyu(V17)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_DUB
noyuvavaralliyo noyu(V17)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_INDF
noyuvavaralliyo noyu(V17)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_PRES
noyuvavaralliye noyu(V17)+va_#_PRP+vavaru_va_LOC+ralliye_ru_IMPH
noyuvavaralliye noyu(V17)+va_#_PRP+vavaru_va_LOC+ralliye_ru_DECL
noyuvavaralliye noyu(V17)+va_#_PRP+vavaru_va_LOC+ralliye_ru_RIS
noyuvavarigoskara noyu(V17)+va_#_PRP+vavaru_va_BEN+rigoskara_ru_3P
noyuvavarigoskaravA noyu(V17)+va_#_PRP+vavaru_va_BEN+rigoskaravA_ru_INTR
noyuvavarigoskaravU noyu(V17)+va_#_PRP+vavaru_va_BEN+rigoskaravU_ru_INCL
noyuvavarigoskaravo noyu(V17)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_DUB
noyuvavarigoskaravo noyu(V17)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_INDF
noyuvavarigoskaravo noyu(V17)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_PRES
noyuvavarigoskarave noyu(V17)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_IMPH
noyuvavarigoskarave noyu(V17)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_DECL
noyuvavarigoskarave noyu(V17)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_RIS
noyuvavarigoskara noyu(V17)+va_#_PRP+vavaru_va_PUR+rigoskara_ru_3P
noyuvavarigoskaravA noyu(V17)+va_#_PRP+vavaru_va_PUR+rigoskaravA_ru_INTR
noyuvavarigoskaravU noyu(V17)+va_#_PRP+vavaru_va_PUR+rigoskaravU_ru_INCL
noyuvavarigoskaravo noyu(V17)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_DUB
noyuvavarigoskaravo noyu(V17)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_INDF
noyuvavarigoskaravo noyu(V17)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_PRES
noyuvavarigoskarave noyu(V17)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_IMPH
noyuvavarigoskarave noyu(V17)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_DECL
noyuvavarigoskarave noyu(V17)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_RIS
noyuvavarigAgi noyu(V17)+va_#_PRP+vavaru_va_BEN+rigAgi_ru_3P
noyuvavarigAgiyA noyu(V17)+va_#_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
noyuvavarigAgiyU noyu(V17)+va_#_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
noyuvavarigAgiyo noyu(V17)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
noyuvavarigAgiyo noyu(V17)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
noyuvavarigAgiyo noyu(V17)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
noyuvavarigAgiye noyu(V17)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
noyuvavarigAgiye noyu(V17)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
noyuvavarigAgiye noyu(V17)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
noyuvavarigAgi noyu(V17)+va_#_PRP+vavaru_va_PUR+rigAgi_ru_3P
noyuvavarigAgiyA noyu(V17)+va_#_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
noyuvavarigAgiyU noyu(V17)+va_#_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
noyuvavarigAgiyo noyu(V17)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
noyuvavarigAgiyo noyu(V17)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
noyuvavarigAgiyo noyu(V17)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
noyuvavarigAgiye noyu(V17)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
noyuvavarigAgiye noyu(V17)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
noyuvavarigAgiye noyu(V17)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
noyuvavarigosuga noyu(V17)+va_#_PRP+vavaru_va_BEN+rigosuga_ru_3P
noyuvavarigosugavA noyu(V17)+va_#_PRP+vavaru_va_BEN+rigosugavA_ru_INTR
noyuvavarigosugavU noyu(V17)+va_#_PRP+vavaru_va_BEN+rigosugavU_ru_INCL
noyuvavarigosugavo noyu(V17)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_DUB
noyuvavarigosugavo noyu(V17)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_INDF
noyuvavarigosugavo noyu(V17)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_PRES
noyuvavarigosugave noyu(V17)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_IMPH
noyuvavarigosugave noyu(V17)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_DECL
noyuvavarigosugave noyu(V17)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_RIS
noyuvavarigosuga noyu(V17)+va_#_PRP+vavaru_va_PUR+rigosuga_ru_3P
noyuvavarigosugavA noyu(V17)+va_#_PRP+vavaru_va_PUR+rigosugavA_ru_INTR
noyuvavarigosugavU noyu(V17)+va_#_PRP+vavaru_va_PUR+rigosugavU_ru_INCL
noyuvavarigosugavo noyu(V17)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_DUB
noyuvavarigosugavo noyu(V17)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_INDF
noyuvavarigosugavo noyu(V17)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_PRES
noyuvavarigosugave noyu(V17)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_IMPH
noyuvavarigosugave noyu(V17)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_DECL
noyuvavarigosugave noyu(V17)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_RIS
noyuvavarigiMwa noyu(V17)+va_#_PRP+vavaru_va_COMP+rigiMwa_ru_3P
noyuvavarigiMwalA noyu(V17)+va_#_PRP+vavaru_va_COMP+rigiMwalA_ru_INTR
noyuvavarigiMwalU noyu(V17)+va_#_PRP+vavaru_va_COMP+rigiMwalU_ru_INCL
noyuvavarigiMwalo noyu(V17)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_DUB
noyuvavarigiMwalo noyu(V17)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_INDF
noyuvavarigiMwalo noyu(V17)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_PRES
noyuvavarigiMwale noyu(V17)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_IMPH
noyuvavarigiMwale noyu(V17)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_DECL
noyuvavarigiMwale noyu(V17)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_RIS
noyuvavaraMweV noyu(V17)+va_#_PRP+vavaru_va_SIM+raMweV_ru_3P
noyuvavaraMweVyA noyu(V17)+va_#_PRP+vavaru_va_SIM+raMweVyA_ru_INTR
noyuvavaraMweVyU noyu(V17)+va_#_PRP+vavaru_va_SIM+raMweVyU_ru_INCL
noyuvavaraMweVyo noyu(V17)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_DUB
noyuvavaraMweVyo noyu(V17)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_INDF
noyuvavaraMweVyo noyu(V17)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_PRES
noyuvavaraMweVye noyu(V17)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_IMPH
noyuvavaraMweVye noyu(V17)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_DECL
noyuvavaraMweVye noyu(V17)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_RIS
noyuvavaroVdaneV noyu(V17)+va_#_PRP+vavaru_va_SOC+roVdaneV_ru_3P
noyuvavaroVdaneVyA noyu(V17)+va_#_PRP+vavaru_va_SOC+roVdaneVyA_ru_INTR
noyuvavaroVdaneVyU noyu(V17)+va_#_PRP+vavaru_va_SOC+roVdaneVyU_ru_INCL
noyuvavaroVdaneVyo noyu(V17)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_DUB
noyuvavaroVdaneVyo noyu(V17)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_INDF
noyuvavaroVdaneVyo noyu(V17)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_PRES
noyuvavaroVdaneVye noyu(V17)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_IMPH
noyuvavaroVdaneVye noyu(V17)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_DECL
noyuvavaroVdaneVye noyu(V17)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_RIS
noyuvavaroVMxigeV  noyu(V17)+va_#_PRP+vavaru_va_SOC+roVMxigeV_ru_3P
noyuvavaroVMxigeVyA noyu(V17)+va_#_PRP+vavaru_va_SOC+roVMxigeVyA_ru_INTR
noyuvavaroVMxigeVyU noyu(V17)+va_#_PRP+vavaru_va_SOC+roVMxigeVyU_ru_INCL
noyuvavaroVMxigeVyo noyu(V17)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_DUB
noyuvavaroVMxigeVyo noyu(V17)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_INDF
noyuvavaroVMxigeVyo noyu(V17)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_PRES
noyuvavaroVMxigeVye noyu(V17)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_IMPH
noyuvavaroVMxigeVye noyu(V17)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_DECL
noyuvavaroVMxigeVye noyu(V17)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_RIS
noyuvuxannA noyu(V17)+vuxu_#_ACC+xannA_xu_INTR
noyuvuxannU noyu(V17)+vuxu_#_ACC+xannU_xu_INCL
noyuvuxanno noyu(V17)+vuxu_#_ACC+xanno_xu_DUB
noyuvuxanno noyu(V17)+vuxu_#_ACC+xanno_xu_INDF
noyuvuxanno noyu(V17)+vuxu_#_ACC+xanno_xu_PRES
noyuvuxanne noyu(V17)+vuxu_#_ACC+xanne_xu_IMPH
noyuvuxanne noyu(V17)+vuxu_#_ACC+xanne_xu_DECL
noyuvuxanne noyu(V17)+vuxu_#_ACC+xanne_xu_RIS
noyuvunoVMxariMnoVMxalA noyu(V17)+vuxu_#_INS+noVMxariMnoVMxalA_xu_INTR
noyuvunoVMxariMnoVMxalU noyu(V17)+vuxu_#_INS+noVMxariMnoVMxalU_xu_INCL
noyuvunoVMxariMnoVMxalo noyu(V17)+vuxu_#_INS+noVMxariMnoVMxalo_xu_DUB
noyuvunoVMxariMnoVMxalo noyu(V17)+vuxu_#_INS+noVMxariMnoVMxalo_xu_INDF
noyuvunoVMxariMnoVMxalo noyu(V17)+vuxu_#_INS+noVMxariMnoVMxalo_xu_PRES
noyuvunoVMxariMnoVMxale noyu(V17)+vuxu_#_INS+noVMxariMnoVMxale_xu_IMPH
noyuvunoVMxariMnoVMxale noyu(V17)+vuxu_#_INS+noVMxariMnoVMxale_xu_DECL
noyuvunoVMxariMnoVMxale noyu(V17)+vuxu_#_INS+noVMxariMnoVMxale_xu_RIS
noyuvunoVMxakkeVyA noyu(V17)+vuxu_#_DAT+noVMxakkeVyA_xu_INTR
noyuvunoVMxakkeVyU noyu(V17)+vuxu_#_DAT+noVMxakkeVyU_xu_INCL
noyuvunoVMxakkeVyo noyu(V17)+vuxu_#_DAT+noVMxakkeVyo_xu_DUB
noyuvunoVMxakkeVyo noyu(V17)+vuxu_#_DAT+noVMxakkeVyo_xu_INDF
noyuvunoVMxakkeVyo noyu(V17)+vuxu_#_DAT+noVMxakkeVyo_xu_PRES
noyuvunoVMxakkeVye noyu(V17)+vuxu_#_DAT+noVMxakkeVye_xu_IMPH
noyuvunoVMxakkeVye noyu(V17)+vuxu_#_DAT+noVMxakkeVye_xu_DECL
noyuvunoVMxakkeVye noyu(V17)+vuxu_#_DAT+noVMxakkeVye_xu_RIS
noyuvunoVMxarinoVMxalA noyu(V17)+vuxu_#_ABL+noVMxarinoVMxalA_xu_INTR
noyuvunoVMxarinoVMxalU noyu(V17)+vuxu_#_ABL+noVMxarinoVMxalU_xu_INCL
noyuvunoVMxarinoVMxalo noyu(V17)+vuxu_#_ABL+noVMxarinoVMxalo_xu_DUB
noyuvunoVMxarinoVMxalo noyu(V17)+vuxu_#_ABL+noVMxarinoVMxalo_xu_INDF
noyuvunoVMxarinoVMxalo noyu(V17)+vuxu_#_ABL+noVMxarinoVMxalo_xu_PRES
noyuvunoVMxarinoVMxale noyu(V17)+vuxu_#_ABL+noVMxarinoVMxale_xu_IMPH
noyuvunoVMxarinoVMxale noyu(V17)+vuxu_#_ABL+noVMxarinoVMxale_xu_DECL
noyuvunoVMxarinoVMxale noyu(V17)+vuxu_#_ABL+noVMxarinoVMxale_xu_RIS
noyuvunoVMxaralliyA noyu(V17)+vuxu_#_LOC+noVMxaralliyA_xu_INTR
noyuvunoVMxaralliyU noyu(V17)+vuxu_#_LOC+noVMxaralliyU_xu_INCL
noyuvunoVMxaralliyo noyu(V17)+vuxu_#_LOC+noVMxaralliyo_xu_DUB
noyuvunoVMxaralliyo noyu(V17)+vuxu_#_LOC+noVMxaralliyo_xu_INDF
noyuvunoVMxaralliyo noyu(V17)+vuxu_#_LOC+noVMxaralliyo_xu_PRES
noyuvunoVMxaralliye noyu(V17)+vuxu_#_LOC+noVMxaralliye_xu_IMPH
noyuvunoVMxaralliye noyu(V17)+vuxu_#_LOC+noVMxaralliye_xu_DECL
noyuvunoVMxaralliye noyu(V17)+vuxu_#_LOC+noVMxaralliye_xu_RIS
noyuvunoVMxakkoskaravA noyu(V17)+vuxu_#_BEN+noVMxakkoskaravA_xu_INTR
noyuvunoVMxakkoskaravU noyu(V17)+vuxu_#_BEN+noVMxakkoskaravU_xu_INCL
noyuvunoVMxakkoskaravo noyu(V17)+vuxu_#_BEN+noVMxakkoskaravo_xu_DUB
noyuvunoVMxakkoskaravo noyu(V17)+vuxu_#_BEN+noVMxakkoskaravo_xu_INDF
noyuvunoVMxakkoskaravo noyu(V17)+vuxu_#_BEN+noVMxakkoskaravo_xu_PRES
noyuvunoVMxakkoskarave noyu(V17)+vuxu_#_BEN+noVMxakkoskarave_xu_IMPH
noyuvunoVMxakkoskarave noyu(V17)+vuxu_#_BEN+noVMxakkoskarave_xu_DECL
noyuvunoVMxakkoskarave noyu(V17)+vuxu_#_BEN+noVMxakkoskarave_xu_RIS
noyuvunoVMxakkoskaravA noyu(V17)+vuxu_#_PUR+noVMxakkoskaravA_xu_INTR
noyuvunoVMxakkoskaravU noyu(V17)+vuxu_#_PUR+noVMxakkoskaravU_xu_INCL
noyuvunoVMxakkoskaravo noyu(V17)+vuxu_#_PUR+noVMxakkoskaravo_xu_DUB
noyuvunoVMxakkoskaravo noyu(V17)+vuxu_#_PUR+noVMxakkoskaravo_xu_INDF
noyuvunoVMxakkoskaravo noyu(V17)+vuxu_#_PUR+noVMxakkoskaravo_xu_PRES
noyuvunoVMxakkoskarave noyu(V17)+vuxu_#_PUR+noVMxakkoskarave_xu_IMPH
noyuvunoVMxakkoskarave noyu(V17)+vuxu_#_PUR+noVMxakkoskarave_xu_DECL
noyuvunoVMxakkoskarave noyu(V17)+vuxu_#_PUR+noVMxakkoskarave_xu_RIS
noyuvunoVMxakknoyiyA noyu(V17)+vuxu_#_BEN+noVMxakknoyiyA_xu_INTR
noyuvunoVMxakknoyiyU noyu(V17)+vuxu_#_BEN+noVMxakknoyiyU_xu_INCL
noyuvunoVMxakknoyiyo noyu(V17)+vuxu_#_BEN+noVMxakknoyiyo_xu_DUB
noyuvunoVMxakknoyiyo noyu(V17)+vuxu_#_BEN+noVMxakknoyiyo_xu_INDF
noyuvunoVMxakknoyiyo noyu(V17)+vuxu_#_BEN+noVMxakknoyiyo_xu_PRES
noyuvunoVMxakknoyiye noyu(V17)+vuxu_#_BEN+noVMxakknoyiye_xu_IMPH
noyuvunoVMxakknoyiye noyu(V17)+vuxu_#_BEN+noVMxakknoyiye_xu_DECL
noyuvunoVMxakknoyiye noyu(V17)+vuxu_#_BEN+noVMxakknoyiye_xu_RIS
noyuvunoVMxakknoyiyA noyu(V17)+vuxu_#_PUR+noVMxakknoyiyA_xu_INTR
noyuvunoVMxakknoyiyU noyu(V17)+vuxu_#_PUR+noVMxakknoyiyU_xu_INCL
noyuvunoVMxakknoyiyo noyu(V17)+vuxu_#_PUR+noVMxakknoyiyo_xu_DUB
noyuvunoVMxakknoyiyo noyu(V17)+vuxu_#_PUR+noVMxakknoyiyo_xu_INDF
noyuvunoVMxakknoyiyo noyu(V17)+vuxu_#_PUR+noVMxakknoyiyo_xu_PRES
noyuvunoVMxakknoyiye noyu(V17)+vuxu_#_PUR+noVMxakknoyiye_xu_IMPH
noyuvunoVMxakknoyiye noyu(V17)+vuxu_#_PUR+noVMxakknoyiye_xu_DECL
noyuvunoVMxakknoyiye noyu(V17)+vuxu_#_PUR+noVMxakknoyiye_xu_RIS
noyuvunoVMxakkosugavA noyu(V17)+vuxu_#_BEN+noVMxakkosugavA_xu_INTR
noyuvunoVMxakkosugavU noyu(V17)+vuxu_#_BEN+noVMxakkosugavU_xu_INCL
noyuvunoVMxakkosugavo noyu(V17)+vuxu_#_BEN+noVMxakkosugavo_xu_DUB
noyuvunoVMxakkosugavo noyu(V17)+vuxu_#_BEN+noVMxakkosugavo_xu_INDF
noyuvunoVMxakkosugavo noyu(V17)+vuxu_#_BEN+noVMxakkosugavo_xu_PRES
noyuvunoVMxakkosugave noyu(V17)+vuxu_#_BEN+noVMxakkosugave_xu_IMPH
noyuvunoVMxakkosugave noyu(V17)+vuxu_#_BEN+noVMxakkosugave_xu_DECL
noyuvunoVMxakkosugave noyu(V17)+vuxu_#_BEN+noVMxakkosugave_xu_RIS
noyuvunoVMxakkosugavA noyu(V17)+vuxu_#_PUR+noVMxakkosugavA_xu_INTR
noyuvunoVMxakkosugavU noyu(V17)+vuxu_#_PUR+noVMxakkosugavU_xu_INCL
noyuvunoVMxakkosugavo noyu(V17)+vuxu_#_PUR+noVMxakkosugavo_xu_DUB
noyuvunoVMxakkosugavo noyu(V17)+vuxu_#_PUR+noVMxakkosugavo_xu_INDF
noyuvunoVMxakkosugavo noyu(V17)+vuxu_#_PUR+noVMxakkosugavo_xu_PRES
noyuvunoVMxakkosugave noyu(V17)+vuxu_#_PUR+noVMxakkosugave_xu_IMPH
noyuvunoVMxakkosugave noyu(V17)+vuxu_#_PUR+noVMxakkosugave_xu_DECL
noyuvunoVMxakkosugave noyu(V17)+vuxu_#_PUR+noVMxakkosugave_xu_RIS
noyuvunoVMxakkiMwalA noyu(V17)+vuxu_#_COMP+noVMxakkiMwalA_xu_INTR
noyuvunoVMxakkiMwalU noyu(V17)+vuxu_#_COMP+noVMxakkiMwalU_xu_INCL
noyuvunoVMxakkiMwalo noyu(V17)+vuxu_#_COMP+noVMxakkiMwalo_xu_DUB
noyuvunoVMxakkiMwalo noyu(V17)+vuxu_#_COMP+noVMxakkiMwalo_xu_INDF
noyuvunoVMxakkiMwalo noyu(V17)+vuxu_#_COMP+noVMxakkiMwalo_xu_PRES
noyuvunoVMxakkiMwale noyu(V17)+vuxu_#_COMP+noVMxakkiMwale_xu_IMPH
noyuvunoVMxakkiMwale noyu(V17)+vuxu_#_COMP+noVMxakkiMwale_xu_DECL
noyuvunoVMxakkiMwale noyu(V17)+vuxu_#_COMP+noVMxakkiMwale_xu_RIS
noyuvaMweVyA noyu(V17)+va_#_SIM+vaMweVyA_va_INTR
noyuvaMweVyU noyu(V17)+va_#_SIM+vaMweVyU_va_INCL
noyuvaMweVyo noyu(V17)+va_#_SIM+vaMweVyo_va_DUB
noyuvaMweVyo noyu(V17)+va_#_SIM+vaMweVyo_va_INDF
noyuvaMweVyo noyu(V17)+va_#_SIM+vaMweVyo_va_PRES
noyuvaMweVye noyu(V17)+va_#_SIM+vaMweVye_va_IMPH
noyuvaMweVye noyu(V17)+va_#_SIM+vaMweVye_va_DECL
noyuvaMweVye noyu(V17)+va_#_SIM+vaMweVye_va_RIS
noyuvuxaroVMxigeVyA noyu(V17)+vuxu_#_SOC+xaroVMxigeVyA_xu_INTR
noyuvuxaroVMxigeVyU noyu(V17)+vuxu_#_SOC+xaroVMxigeVyU_xu_INCL
noyuvuxaroVMxigeVyo noyu(V17)+vuxu_#_SOC+xaroVMxigeVyo_xu_DUB
noyuvuxaroVMxigeVyo noyu(V17)+vuxu_#_SOC+xaroVMxigeVyo_xu_INDF
noyuvuxaroVMxigeVyo noyu(V17)+vuxu_#_SOC+xaroVMxigeVyo_xu_PRES
noyuvuxaroVMxigeVye noyu(V17)+vuxu_#_SOC+xaroVMxigeVye_xu_IMPH
noyuvuxaroVMxigeVye noyu(V17)+vuxu_#_SOC+xaroVMxigeVye_xu_DECL
noyuvuxaroVMxigeVye noyu(V17)+vuxu_#_SOC+xaroVMxigeVye_xu_RIS
noyuvuxaroVdaneVyA noyu(V17)+vuxu_#_SOC+xaroVdaneVyA_xu_INTR
noyuvuxaroVdaneVyU noyu(V17)+vuxu_#_SOC+xaroVdaneVyU_xu_INCL
noyuvuxaroVdaneVyo noyu(V17)+vuxu_#_SOC+xaroVdaneVyo_xu_DUB
noyuvuxaroVdaneVyo noyu(V17)+vuxu_#_SOC+xaroVdaneVyo_xu_INDF
