agalixanu agalu(V26)+ixa_u_PAST+anu_a_3SM    
agaluvavalYoVMxigeVyo agalu(V26)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_DUB
agaluvavalYoVMxigeVyo agalu(V26)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_INDF
agaluvavalYoVMxigeVyo agalu(V26)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_PRES
agaluvavalYoVMxigeVye agalu(V26)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_IMPH
agaluvavalYoVMxigeVye agalu(V26)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_DECL
agaluvavalYoVMxigeVye agalu(V26)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_RIS
agaluvavarannu agalu(V26)+va_#_PRP+vavaru_va_ACC+rannu_ru_3P
agaluvavarannA agalu(V26)+va_#_PRP+vavaru_va_ACC+rannA_ru_INTR
agaluvavarannU agalu(V26)+va_#_PRP+vavaru_va_ACC+rannU_ru_INCL
agaluvavaranno agalu(V26)+va_#_PRP+vavaru_va_ACC+ranno_ru_DUB
agaluvavaranno agalu(V26)+va_#_PRP+vavaru_va_ACC+ranno_ru_INDF
agaluvavaranno agalu(V26)+va_#_PRP+vavaru_va_ACC+ranno_ru_PRES
agaluvavaranne agalu(V26)+va_#_PRP+vavaru_va_ACC+ranne_ru_IMPH
agaluvavaranne agalu(V26)+va_#_PRP+vavaru_va_ACC+ranne_ru_DECL
agaluvavaranne agalu(V26)+va_#_PRP+vavaru_va_ACC+ranne_ru_RIS
agaluvavariMxa agalu(V26)+va_#_PRP+vavaru_va_INS+riMxa_ru_3P
agaluvavariMxalA agalu(V26)+va_#_PRP+vavaru_va_INS+riMxalA_ru_INTR
agaluvavariMxalU agalu(V26)+va_#_PRP+vavaru_va_INS+riMxalU_ru_INCL
agaluvavariMxalo agalu(V26)+va_#_PRP+vavaru_va_INS+riMxalo_ru_DUB
agaluvavariMxalo agalu(V26)+va_#_PRP+vavaru_va_INS+riMxalo_ru_INDF
agaluvavariMxalo agalu(V26)+va_#_PRP+vavaru_va_INS+riMxalo_ru_PRES
agaluvavariMxale agalu(V26)+va_#_PRP+vavaru_va_INS+riMxale_ru_IMPH
agaluvavariMxale agalu(V26)+va_#_PRP+vavaru_va_INS+riMxale_ru_DECL
agaluvavariMxale agalu(V26)+va_#_PRP+vavaru_va_INS+riMxale_ru_RIS
agaluvavarigeV agalu(V26)+va_#_PRP+vavaru_va_DAT+rigeV_ru_3P
agaluvavarigeVyA agalu(V26)+va_#_PRP+vavaru_va_DAT+rigeVyA_ru_INTR
agaluvavarigeVyU agalu(V26)+va_#_PRP+vavaru_va_DAT+rigeVyU_ru_INCL
agaluvavarigeVyo agalu(V26)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_DUB
agaluvavarigeVyo agalu(V26)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_INDF
agaluvavarigeVyo agalu(V26)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_PRES
agaluvavarigeVye agalu(V26)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_IMPH
agaluvavarigeVye agalu(V26)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_DECL
agaluvavarigeVye agalu(V26)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_RIS
agaluvavariMxa  agalu(V26)+va_#_PRP+vavaru_va_ABL+riMxa_ru_3P
agaluvavariMxalA agalu(V26)+va_#_PRP+vavaru_va_ABL+riMxalA_ru_INTR
agaluvavariMxalU agalu(V26)+va_#_PRP+vavaru_va_ABL+riMxalU_ru_INCL
agaluvavariMxalo agalu(V26)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_DUB
agaluvavariMxalo agalu(V26)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_INDF
agaluvavariMxalo agalu(V26)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_PRES
agaluvavariMxale agalu(V26)+va_#_PRP+vavaru_va_ABL+riMxale_ru_IMPH
agaluvavariMxale agalu(V26)+va_#_PRP+vavaru_va_ABL+riMxale_ru_DECL
agaluvavariMxale agalu(V26)+va_#_PRP+vavaru_va_ABL+riMxale_ru_RIS
agaluvavara agalu(V26)+va_#_PRP+vavaru_va_GEN+ra_ru_3P
agaluvavaralli agalu(V26)+va_#_PRP+vavaru_va_LOC+ralli_ru_3P
agaluvavaralliyA agalu(V26)+va_#_PRP+vavaru_va_LOC+ralliyA_ru_INTR
agaluvavaralliyU agalu(V26)+va_#_PRP+vavaru_va_LOC+ralliyU_ru_INCL
agaluvavaralliyo agalu(V26)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_DUB
agaluvavaralliyo agalu(V26)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_INDF
agaluvavaralliyo agalu(V26)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_PRES
agaluvavaralliye agalu(V26)+va_#_PRP+vavaru_va_LOC+ralliye_ru_IMPH
agaluvavaralliye agalu(V26)+va_#_PRP+vavaru_va_LOC+ralliye_ru_DECL
agaluvavaralliye agalu(V26)+va_#_PRP+vavaru_va_LOC+ralliye_ru_RIS
agaluvavarigoskara agalu(V26)+va_#_PRP+vavaru_va_BEN+rigoskara_ru_3P
agaluvavarigoskaravA agalu(V26)+va_#_PRP+vavaru_va_BEN+rigoskaravA_ru_INTR
agaluvavarigoskaravU agalu(V26)+va_#_PRP+vavaru_va_BEN+rigoskaravU_ru_INCL
agaluvavarigoskaravo agalu(V26)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_DUB
agaluvavarigoskaravo agalu(V26)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_INDF
agaluvavarigoskaravo agalu(V26)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_PRES
agaluvavarigoskarave agalu(V26)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_IMPH
agaluvavarigoskarave agalu(V26)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_DECL
agaluvavarigoskarave agalu(V26)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_RIS
agaluvavarigoskara agalu(V26)+va_#_PRP+vavaru_va_PUR+rigoskara_ru_3P
agaluvavarigoskaravA agalu(V26)+va_#_PRP+vavaru_va_PUR+rigoskaravA_ru_INTR
agaluvavarigoskaravU agalu(V26)+va_#_PRP+vavaru_va_PUR+rigoskaravU_ru_INCL
agaluvavarigoskaravo agalu(V26)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_DUB
agaluvavarigoskaravo agalu(V26)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_INDF
agaluvavarigoskaravo agalu(V26)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_PRES
agaluvavarigoskarave agalu(V26)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_IMPH
agaluvavarigoskarave agalu(V26)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_DECL
agaluvavarigoskarave agalu(V26)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_RIS
agaluvavarigAgi agalu(V26)+va_#_PRP+vavaru_va_BEN+rigAgi_ru_3P
agaluvavarigAgiyA agalu(V26)+va_#_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
agaluvavarigAgiyU agalu(V26)+va_#_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
agaluvavarigAgiyo agalu(V26)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
agaluvavarigAgiyo agalu(V26)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
agaluvavarigAgiyo agalu(V26)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
agaluvavarigAgiye agalu(V26)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
agaluvavarigAgiye agalu(V26)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
agaluvavarigAgiye agalu(V26)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
agaluvavarigAgi agalu(V26)+va_#_PRP+vavaru_va_PUR+rigAgi_ru_3P
agaluvavarigAgiyA agalu(V26)+va_#_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
agaluvavarigAgiyU agalu(V26)+va_#_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
agaluvavarigAgiyo agalu(V26)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
agaluvavarigAgiyo agalu(V26)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
agaluvavarigAgiyo agalu(V26)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
agaluvavarigAgiye agalu(V26)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
agaluvavarigAgiye agalu(V26)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
agaluvavarigAgiye agalu(V26)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
agaluvavarigosuga agalu(V26)+va_#_PRP+vavaru_va_BEN+rigosuga_ru_3P
agaluvavarigosugavA agalu(V26)+va_#_PRP+vavaru_va_BEN+rigosugavA_ru_INTR
agaluvavarigosugavU agalu(V26)+va_#_PRP+vavaru_va_BEN+rigosugavU_ru_INCL
agaluvavarigosugavo agalu(V26)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_DUB
agaluvavarigosugavo agalu(V26)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_INDF
agaluvavarigosugavo agalu(V26)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_PRES
agaluvavarigosugave agalu(V26)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_IMPH
agaluvavarigosugave agalu(V26)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_DECL
agaluvavarigosugave agalu(V26)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_RIS
agaluvavarigosuga agalu(V26)+va_#_PRP+vavaru_va_PUR+rigosuga_ru_3P
agaluvavarigosugavA agalu(V26)+va_#_PRP+vavaru_va_PUR+rigosugavA_ru_INTR
agaluvavarigosugavU agalu(V26)+va_#_PRP+vavaru_va_PUR+rigosugavU_ru_INCL
agaluvavarigosugavo agalu(V26)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_DUB
agaluvavarigosugavo agalu(V26)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_INDF
agaluvavarigosugavo agalu(V26)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_PRES
agaluvavarigosugave agalu(V26)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_IMPH
agaluvavarigosugave agalu(V26)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_DECL
agaluvavarigosugave agalu(V26)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_RIS
agaluvavarigiMwa agalu(V26)+va_#_PRP+vavaru_va_COMP+rigiMwa_ru_3P
agaluvavarigiMwalA agalu(V26)+va_#_PRP+vavaru_va_COMP+rigiMwalA_ru_INTR
agaluvavarigiMwalU agalu(V26)+va_#_PRP+vavaru_va_COMP+rigiMwalU_ru_INCL
agaluvavarigiMwalo agalu(V26)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_DUB
agaluvavarigiMwalo agalu(V26)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_INDF
agaluvavarigiMwalo agalu(V26)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_PRES
agaluvavarigiMwale agalu(V26)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_IMPH
agaluvavarigiMwale agalu(V26)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_DECL
agaluvavarigiMwale agalu(V26)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_RIS
agaluvavaraMweV agalu(V26)+va_#_PRP+vavaru_va_SIM+raMweV_ru_3P
agaluvavaraMweVyA agalu(V26)+va_#_PRP+vavaru_va_SIM+raMweVyA_ru_INTR
agaluvavaraMweVyU agalu(V26)+va_#_PRP+vavaru_va_SIM+raMweVyU_ru_INCL
agaluvavaraMweVyo agalu(V26)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_DUB
agaluvavaraMweVyo agalu(V26)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_INDF
agaluvavaraMweVyo agalu(V26)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_PRES
agaluvavaraMweVye agalu(V26)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_IMPH
agaluvavaraMweVye agalu(V26)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_DECL
agaluvavaraMweVye agalu(V26)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_RIS
agaluvavaroVdaneV agalu(V26)+va_#_PRP+vavaru_va_SOC+roVdaneV_ru_3P
agaluvavaroVdaneVyA agalu(V26)+va_#_PRP+vavaru_va_SOC+roVdaneVyA_ru_INTR
agaluvavaroVdaneVyU agalu(V26)+va_#_PRP+vavaru_va_SOC+roVdaneVyU_ru_INCL
agaluvavaroVdaneVyo agalu(V26)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_DUB
agaluvavaroVdaneVyo agalu(V26)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_INDF
agaluvavaroVdaneVyo agalu(V26)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_PRES
agaluvavaroVdaneVye agalu(V26)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_IMPH
agaluvavaroVdaneVye agalu(V26)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_DECL
agaluvavaroVdaneVye agalu(V26)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_RIS
agaluvavaroVMxigeV  agalu(V26)+va_#_PRP+vavaru_va_SOC+roVMxigeV_ru_3P
agaluvavaroVMxigeVyA agalu(V26)+va_#_PRP+vavaru_va_SOC+roVMxigeVyA_ru_INTR
agaluvavaroVMxigeVyU agalu(V26)+va_#_PRP+vavaru_va_SOC+roVMxigeVyU_ru_INCL
agaluvavaroVMxigeVyo agalu(V26)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_DUB
agaluvavaroVMxigeVyo agalu(V26)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_INDF
agaluvavaroVMxigeVyo agalu(V26)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_PRES
agaluvavaroVMxigeVye agalu(V26)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_IMPH
agaluvavaroVMxigeVye agalu(V26)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_DECL
agaluvavaroVMxigeVye agalu(V26)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_RIS
agaluvuxannA agalu(V26)+vuxu_#_ACC+xannA_xu_INTR
agaluvuxannU agalu(V26)+vuxu_#_ACC+xannU_xu_INCL
agaluvuxanno agalu(V26)+vuxu_#_ACC+xanno_xu_DUB
agaluvuxanno agalu(V26)+vuxu_#_ACC+xanno_xu_INDF
agaluvuxanno agalu(V26)+vuxu_#_ACC+xanno_xu_PRES
agaluvuxanne agalu(V26)+vuxu_#_ACC+xanne_xu_IMPH
agaluvuxanne agalu(V26)+vuxu_#_ACC+xanne_xu_DECL
agaluvuxanne agalu(V26)+vuxu_#_ACC+xanne_xu_RIS
agaluvuxariMxalA agalu(V26)+vuxu_#_INS+xariMxalA_xu_INTR
agaluvuxariMxalU agalu(V26)+vuxu_#_INS+xariMxalU_xu_INCL
agaluvuxariMxalo agalu(V26)+vuxu_#_INS+xariMxalo_xu_DUB
agaluvuxariMxalo agalu(V26)+vuxu_#_INS+xariMxalo_xu_INDF
agaluvuxariMxalo agalu(V26)+vuxu_#_INS+xariMxalo_xu_PRES
agaluvuxariMxale agalu(V26)+vuxu_#_INS+xariMxale_xu_IMPH
agaluvuxariMxale agalu(V26)+vuxu_#_INS+xariMxale_xu_DECL
agaluvuxariMxale agalu(V26)+vuxu_#_INS+xariMxale_xu_RIS
agaluvuxakkeVyA agalu(V26)+vuxu_#_DAT+xakkeVyA_xu_INTR
agaluvuxakkeVyU agalu(V26)+vuxu_#_DAT+xakkeVyU_xu_INCL
agaluvuxakkeVyo agalu(V26)+vuxu_#_DAT+xakkeVyo_xu_DUB
agaluvuxakkeVyo agalu(V26)+vuxu_#_DAT+xakkeVyo_xu_INDF
agaluvuxakkeVyo agalu(V26)+vuxu_#_DAT+xakkeVyo_xu_PRES
agaluvuxakkeVye agalu(V26)+vuxu_#_DAT+xakkeVye_xu_IMPH
agaluvuxakkeVye agalu(V26)+vuxu_#_DAT+xakkeVye_xu_DECL
agaluvuxakkeVye agalu(V26)+vuxu_#_DAT+xakkeVye_xu_RIS
agaluvuxariMxalA agalu(V26)+vuxu_#_ABL+xariMxalA_xu_INTR
agaluvuxariMxalU agalu(V26)+vuxu_#_ABL+xariMxalU_xu_INCL
agaluvuxariMxalo agalu(V26)+vuxu_#_ABL+xariMxalo_xu_DUB
agaluvuxariMxalo agalu(V26)+vuxu_#_ABL+xariMxalo_xu_INDF
agaluvuxariMxalo agalu(V26)+vuxu_#_ABL+xariMxalo_xu_PRES
agaluvuxariMxale agalu(V26)+vuxu_#_ABL+xariMxale_xu_IMPH
agaluvuxariMxale agalu(V26)+vuxu_#_ABL+xariMxale_xu_DECL
agaluvuxariMxale agalu(V26)+vuxu_#_ABL+xariMxale_xu_RIS
agaluvuxaralliyA agalu(V26)+vuxu_#_LOC+xaralliyA_xu_INTR
agaluvuxaralliyU agalu(V26)+vuxu_#_LOC+xaralliyU_xu_INCL
agaluvuxaralliyo agalu(V26)+vuxu_#_LOC+xaralliyo_xu_DUB
agaluvuxaralliyo agalu(V26)+vuxu_#_LOC+xaralliyo_xu_INDF
agaluvuxaralliyo agalu(V26)+vuxu_#_LOC+xaralliyo_xu_PRES
agaluvuxaralliye agalu(V26)+vuxu_#_LOC+xaralliye_xu_IMPH
agaluvuxaralliye agalu(V26)+vuxu_#_LOC+xaralliye_xu_DECL
agaluvuxaralliye agalu(V26)+vuxu_#_LOC+xaralliye_xu_RIS
agaluvuxakkoskaravA agalu(V26)+vuxu_#_BEN+xakkoskaravA_xu_INTR
agaluvuxakkoskaravU agalu(V26)+vuxu_#_BEN+xakkoskaravU_xu_INCL
agaluvuxakkoskaravo agalu(V26)+vuxu_#_BEN+xakkoskaravo_xu_DUB
agaluvuxakkoskaravo agalu(V26)+vuxu_#_BEN+xakkoskaravo_xu_INDF
agaluvuxakkoskaravo agalu(V26)+vuxu_#_BEN+xakkoskaravo_xu_PRES
agaluvuxakkoskarave agalu(V26)+vuxu_#_BEN+xakkoskarave_xu_IMPH
agaluvuxakkoskarave agalu(V26)+vuxu_#_BEN+xakkoskarave_xu_DECL
agaluvuxakkoskarave agalu(V26)+vuxu_#_BEN+xakkoskarave_xu_RIS
agaluvuxakkoskaravA agalu(V26)+vuxu_#_PUR+xakkoskaravA_xu_INTR
agaluvuxakkoskaravU agalu(V26)+vuxu_#_PUR+xakkoskaravU_xu_INCL
agaluvuxakkoskaravo agalu(V26)+vuxu_#_PUR+xakkoskaravo_xu_DUB
agaluvuxakkoskaravo agalu(V26)+vuxu_#_PUR+xakkoskaravo_xu_INDF
agaluvuxakkoskaravo agalu(V26)+vuxu_#_PUR+xakkoskaravo_xu_PRES
agaluvuxakkoskarave agalu(V26)+vuxu_#_PUR+xakkoskarave_xu_IMPH
agaluvuxakkoskarave agalu(V26)+vuxu_#_PUR+xakkoskarave_xu_DECL
agaluvuxakkoskarave agalu(V26)+vuxu_#_PUR+xakkoskarave_xu_RIS
agaluvuxaixagiyA agalu(V26)+vuxu_#_BEN+xaixagiyA_xu_INTR
agaluvuxaixagiyU agalu(V26)+vuxu_#_BEN+xaixagiyU_xu_INCL
agaluvuxaixagiyo agalu(V26)+vuxu_#_BEN+xaixagiyo_xu_DUB
agaluvuxaixagiyo agalu(V26)+vuxu_#_BEN+xaixagiyo_xu_INDF
agaluvuxaixagiyo agalu(V26)+vuxu_#_BEN+xaixagiyo_xu_PRES
agaluvuxaixagiye agalu(V26)+vuxu_#_BEN+xaixagiye_xu_IMPH
agaluvuxaixagiye agalu(V26)+vuxu_#_BEN+xaixagiye_xu_DECL
agaluvuxaixagiye agalu(V26)+vuxu_#_BEN+xaixagiye_xu_RIS
agaluvuxaixagiyA agalu(V26)+vuxu_#_PUR+xaixagiyA_xu_INTR
agaluvuxaixagiyU agalu(V26)+vuxu_#_PUR+xaixagiyU_xu_INCL
agaluvuxaixagiyo agalu(V26)+vuxu_#_PUR+xaixagiyo_xu_DUB
agaluvuxaixagiyo agalu(V26)+vuxu_#_PUR+xaixagiyo_xu_INDF
agaluvuxaixagiyo agalu(V26)+vuxu_#_PUR+xaixagiyo_xu_PRES
agaluvuxaixagiye agalu(V26)+vuxu_#_PUR+xaixagiye_xu_IMPH
agaluvuxaixagiye agalu(V26)+vuxu_#_PUR+xaixagiye_xu_DECL
agaluvuxaixagiye agalu(V26)+vuxu_#_PUR+xaixagiye_xu_RIS
agaluvuxakkosugavA agalu(V26)+vuxu_#_BEN+xakkosugavA_xu_INTR
agaluvuxakkosugavU agalu(V26)+vuxu_#_BEN+xakkosugavU_xu_INCL
agaluvuxakkosugavo agalu(V26)+vuxu_#_BEN+xakkosugavo_xu_DUB
agaluvuxakkosugavo agalu(V26)+vuxu_#_BEN+xakkosugavo_xu_INDF
agaluvuxakkosugavo agalu(V26)+vuxu_#_BEN+xakkosugavo_xu_PRES
agaluvuxakkosugave agalu(V26)+vuxu_#_BEN+xakkosugave_xu_IMPH
agaluvuxakkosugave agalu(V26)+vuxu_#_BEN+xakkosugave_xu_DECL
agaluvuxakkosugave agalu(V26)+vuxu_#_BEN+xakkosugave_xu_RIS
agaluvuxakkosugavA agalu(V26)+vuxu_#_PUR+xakkosugavA_xu_INTR
agaluvuxakkosugavU agalu(V26)+vuxu_#_PUR+xakkosugavU_xu_INCL
agaluvuxakkosugavo agalu(V26)+vuxu_#_PUR+xakkosugavo_xu_DUB
agaluvuxakkosugavo agalu(V26)+vuxu_#_PUR+xakkosugavo_xu_PRES
agaluvuxakkosugave agalu(V26)+vuxu_#_PUR+xakkosugave_xu_IMPH
agaluvuxakkosugave agalu(V26)+vuxu_#_PUR+xakkosugave_xu_DECL
agaluvuxakkosugave agalu(V26)+vuxu_#_PUR+xakkosugave_xu_RIS
agaluvuxakkiMwalA agalu(V26)+vuxu_#_COMP+xakkiMwalA_xu_INTR
agaluvuxakkiMwalU agalu(V26)+vuxu_#_COMP+xakkiMwalU_xu_INCL
agaluvuxakkiMwalo agalu(V26)+vuxu_#_COMP+xakkiMwalo_xu_DUB
agaluvuxakkiMwalo agalu(V26)+vuxu_#_COMP+xakkiMwalo_xu_INDF
agaluvuxakkiMwalo agalu(V26)+vuxu_#_COMP+xakkiMwalo_xu_PRES
agaluvuxakkiMwale agalu(V26)+vuxu_#_COMP+xakkiMwale_xu_IMPH
agaluvuxakkiMwale agalu(V26)+vuxu_#_COMP+xakkiMwale_xu_DECL
agaluvuxakkiMwale agalu(V26)+vuxu_#_COMP+xakkiMwale_xu_RIS
agaluvaMweVyA agalu(V26)+va_#_SIM+vaMweVyA_va_INTR
agaluvaMweVyU agalu(V26)+va_#_SIM+vaMweVyU_va_INCL
agaluvaMweVyo agalu(V26)+va_#_SIM+vaMweVyo_va_DUB
agaluvaMweVyo agalu(V26)+va_#_SIM+vaMweVyo_va_INDF
agaluvaMweVyo agalu(V26)+va_#_SIM+vaMweVyo_va_PRES
agaluvaMweVye agalu(V26)+va_#_SIM+vaMweVye_va_IMPH
agaluvaMweVye agalu(V26)+va_#_SIM+vaMweVye_va_DECL
agaluvaMweVye agalu(V26)+va_#_SIM+vaMweVye_va_RIS
agaluvuxaroVMxigeVyA agalu(V26)+vuxu_#_SOC+xaroVMxigeVyA_xu_INTR
agaluvuxaroVMxigeVyU agalu(V26)+vuxu_#_SOC+xaroVMxigeVyU_xu_INCL
agaluvuxaroVMxigeVyo agalu(V26)+vuxu_#_SOC+xaroVMxigeVyo_xu_DUB
agaluvuxaroVMxigeVyo agalu(V26)+vuxu_#_SOC+xaroVMxigeVyo_xu_INDF
agaluvuxaroVMxigeVyo agalu(V26)+vuxu_#_SOC+xaroVMxigeVyo_xu_PRES
agaluvuxaroVMxigeVye agalu(V26)+vuxu_#_SOC+xaroVMxigeVye_xu_IMPH
agaluvuxaroVMxigeVye agalu(V26)+vuxu_#_SOC+xaroVMxigeVye_xu_DECL
agaluvuxaroVMxigeVye agalu(V26)+vuxu_#_SOC+xaroVMxigeVye_xu_RIS
agaluvuxaroVdaneVyA agalu(V26)+vuxu_#_SOC+xaroVdaneVyA_xu_INTR
agaluvuxaroVdaneVyU agalu(V26)+vuxu_#_SOC+xaroVdaneVyU_xu_INCL
agaluvuxaroVdaneVyo agalu(V26)+vuxu_#_SOC+xaroVdaneVyo_xu_DUB
agaluvuxaroVdaneVyo agalu(V26)+vuxu_#_SOC+xaroVdaneVyo_xu_INDF
agaluvuxaroVdaneVyo agalu(V26)+vuxu_#_SOC+xaroVdaneVyo_xu_PRES
agaluvuxaroVdaneVye agalu(V26)+vuxu_#_SOC+xaroVdaneVye_xu_IMPH
agaluvuxaroVdaneVye agalu(V26)+vuxu_#_SOC+xaroVdaneVye_xu_DECL
agaluvuxaroVdaneVye agalu(V26)+vuxu_#_SOC+xaroVdaneVye_xu_RIS


agalixavanannu agalu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nannu_nu_3SM
agalixavanannA agalu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nannA_nu_INTR
agalixavanannU agalu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nannU_nu_INCL
agalixavananno agalu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanno_nu_DUB
agalixavananno agalu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanno_nu_INDF
agalixavananno agalu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanno_nu_PRES
agalixavananne agalu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanne_nu_IMPH
agalixavananne agalu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanne_nu_DECL
agalixavananne agalu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanne_nu_RIS
agalixavaniMxa agalu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxa_nu_3SM
agalixavaniMxalA agalu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalA_nu_INTR
agalixavaniMxalU agalu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalU_nu_INCL
agalixavaniMxalo agalu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalo_nu_DUB
agalixavaniMxalo agalu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalo_nu_INDF
agalixavaniMxalo agalu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalo_nu_PRES
agalixavaniMxale agalu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxale_nu_IMPH
agalixavaniMxale agalu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxale_nu_DECL
agalixavaniMxale agalu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxale_nu_RIS
agalixavanalligeV agalu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeV_nu_3SM
agalixavanalligeVyA agalu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyA_nu_INTR
agalixavanalligeVyU agalu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyU_nu_INCL
agalixavanalligeVyo agalu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyo_nu_DUB
