kadixanu kadi(V18)+xa_#_PAST+anu_a_3SM   
kadiyuvayuvalYigAgiye kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigAgiye_lYu_IMPH
kadiyuvayuvalYigAgiye kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigAgiye_lYu_DECL
kadiyuvayuvalYigAgiye kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigAgiye_lYu_RIS
kadiyuvayuvalYigAgi kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigAgi_lYu_3SF
kadiyuvayuvalYigAgiyA kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigAgiyA_lYu_INTR
kadiyuvayuvalYigAgiyU kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigAgiyU_lYu_INCL
kadiyuvayuvalYigAgiyo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigAgiyo_lYu_DUB
kadiyuvayuvalYigAgiyo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigAgiyo_lYu_INDF
kadiyuvayuvalYigAgiyo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigAgiyo_lYu_PRES
kadiyuvayuvalYigAgiye kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigAgiye_lYu_IMPH
kadiyuvayuvalYigAgiye kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigAgiye_lYu_DECL
kadiyuvayuvalYigAgiye kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigAgiye_lYu_RIS
kadiyuvayuvalYigosuga kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigosuga_lYu_3SF
kadiyuvayuvalYigosugayuva kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigosugayuva_lYu_INTR
kadiyuvayuvalYigosugavU kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigosugavU_lYu_INCL
kadiyuvayuvalYigosugavo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigosugavo_lYu_DUB
kadiyuvayuvalYigosugavo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigosugavo_lYu_INDF
kadiyuvayuvalYigosugavo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigosugavo_lYu_PRES
kadiyuvayuvalYigosugave kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigosugave_lYu_IMPH
kadiyuvayuvalYigosugave kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigosugave_lYu_DECL
kadiyuvayuvalYigosugave kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigosugave_lYu_RIS
kadiyuvayuvalYigosuga kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigosuga_lYu_3SF
kadiyuvayuvalYigosugayuva kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigosugayuva_lYu_INTR
kadiyuvayuvalYigosugavU kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigosugavU_lYu_INCL
kadiyuvayuvalYigosugavo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigosugavo_lYu_DUB
kadiyuvayuvalYigosugavo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigosugavo_lYu_INDF
kadiyuvayuvalYigosugavo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigosugavo_lYu_PRES
kadiyuvayuvalYigosugave kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigosugave_lYu_IMPH
kadiyuvayuvalYigosugave kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigosugave_lYu_DECL
kadiyuvayuvalYigosugave kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigosugave_lYu_RIS
kadiyuvayuvalYigiMwa kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_COMP+lYigiMwa_lYu_3SF
kadiyuvayuvalYigiMwalA kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_COMP+lYigiMwalA_lYu_INTR
kadiyuvayuvalYigiMwalU kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_COMP+lYigiMwalU_lYu_INCL
kadiyuvayuvalYigiMwalo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_COMP+lYigiMwalo_lYu_DUB
kadiyuvayuvalYigiMwalo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_COMP+lYigiMwalo_lYu_INDF
kadiyuvayuvalYigiMwalo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_COMP+lYigiMwalo_lYu_PRES
kadiyuvayuvalYigiMwale kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_COMP+lYigiMwale_lYu_IMPH
kadiyuvayuvalYigiMwale kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_COMP+lYigiMwale_lYu_DECL
kadiyuvayuvalYigiMwale kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_COMP+lYigiMwale_lYu_RIS
kadiyuvayuvalYaMweV kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SIM+lYaMweV_lYu_3SF
kadiyuvayuvalYaMweVyA kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SIM+lYaMweVyA_lYu_INTR
kadiyuvayuvalYaMweVyU kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SIM+lYaMweVyU_lYu_INCL
kadiyuvayuvalYaMweVyo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SIM+lYaMweVyo_lYu_DUB
kadiyuvayuvalYaMweVyo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SIM+lYaMweVyo_lYu_INDF
kadiyuvayuvalYaMweVyo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SIM+lYaMweVyo_lYu_PRES
kadiyuvayuvalYaMweVye kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SIM+lYaMweVye_lYu_IMPH
kadiyuvayuvalYaMweVye kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SIM+lYaMweVye_lYu_DECL
kadiyuvayuvalYaMweVye kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SIM+lYaMweVye_lYu_RIS
kadiyuvayuvalYoVdaneV kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SOC+lYoVdaneV_lYu_3SF
kadiyuvayuvalYoVdaneVyA kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SOC+lYoVdaneVyA_lYu_INTR
kadiyuvayuvalYoVdaneVyU kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SOC+lYoVdaneVyU_lYu_INCL
kadiyuvayuvalYoVdaneVyo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SOC+lYoVdaneVyo_lYu_DUB
kadiyuvayuvalYoVdaneVyo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SOC+lYoVdaneVyo_lYu_INDF
kadiyuvayuvalYoVdaneVyo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SOC+lYoVdaneVyo_lYu_PRES
kadiyuvayuvalYoVdaneVye kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SOC+lYoVdaneVye_lYu_IMPH
kadiyuvayuvalYoVdaneVye kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SOC+lYoVdaneVye_lYu_DECL
kadiyuvayuvalYoVdaneVye kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SOC+lYoVdaneVye_lYu_RIS
kadiyuvayuvalYoVMxigeV  kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SOC+lYoVMxigeV_lYu_3SF
kadiyuvayuvalYoVMxigeVyA kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SOC+lYoVMxigeVyA_lYu_INTR
kadiyuvayuvalYoVMxigeVyU kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SOC+lYoVMxigeVyU_lYu_INCL
kadiyuvayuvalYoVMxigeVyo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SOC+lYoVMxigeVyo_lYu_DUB
kadiyuvayuvalYoVMxigeVyo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SOC+lYoVMxigeVyo_lYu_INDF
kadiyuvayuvalYoVMxigeVyo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SOC+lYoVMxigeVyo_lYu_PRES
kadiyuvayuvalYoVMxigeVye kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SOC+lYoVMxigeVye_lYu_IMPH
kadiyuvayuvalYoVMxigeVye kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SOC+lYoVMxigeVye_lYu_DECL
kadiyuvayuvalYoVMxigeVye kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_SOC+lYoVMxigeVye_lYu_RIS
kadiyuvayuvarannu kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_ACC+rannu_ru_3P
kadiyuvayuvarannA kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_ACC+rannA_ru_INTR
kadiyuvayuvarannU kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_ACC+rannU_ru_INCL
kadiyuvayuvaranno kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_ACC+ranno_ru_DUB
kadiyuvayuvaranno kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_ACC+ranno_ru_INDF
kadiyuvayuvaranno kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_ACC+ranno_ru_PRES
kadiyuvayuvaranne kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_ACC+ranne_ru_IMPH
kadiyuvayuvaranne kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_ACC+ranne_ru_DECL
kadiyuvayuvaranne kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_ACC+ranne_ru_RIS
kadiyuvayuvariMxa kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_INS+riMxa_ru_3P
kadiyuvayuvarixalA kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_INS+rixalA_ru_INTR
kadiyuvayuvarixalU kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_INS+rixalU_ru_INCL
kadiyuvayuvarixalo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_INS+rixalo_ru_DUB
kadiyuvayuvarixalo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_INS+rixalo_ru_INDF
kadiyuvayuvarixalo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_INS+rixalo_ru_PRES
kadiyuvayuvarixale kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_INS+rixale_ru_IMPH
kadiyuvayuvarixale kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_INS+rixale_ru_DECL
kadiyuvayuvarixale kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_INS+rixale_ru_RIS
kadiyuvayuvarigeV kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_DAT+rigeV_ru_3P
kadiyuvayuvarigeVyA kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_DAT+rigeVyA_ru_INTR
kadiyuvayuvarigeVyU kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_DAT+rigeVyU_ru_INCL
kadiyuvayuvarigeVyo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_DAT+rigeVyo_ru_DUB
kadiyuvayuvarigeVyo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_DAT+rigeVyo_ru_INDF
kadiyuvayuvarigeVyo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_DAT+rigeVyo_ru_PRES
kadiyuvayuvarigeVye kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_DAT+rigeVye_ru_IMPH
kadiyuvayuvarigeVye kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_DAT+rigeVye_ru_DECL
kadiyuvayuvarigeVye kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_DAT+rigeVye_ru_RIS
kadiyuvayuvarixa  kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_ABL+rixa_ru_3P
kadiyuvayuvarixalA kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_ABL+rixalA_ru_INTR
kadiyuvayuvarixalU kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_ABL+rixalU_ru_INCL
kadiyuvayuvarixalo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_ABL+rixalo_ru_DUB
kadiyuvayuvarixalo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_ABL+rixalo_ru_INDF
kadiyuvayuvarixalo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_ABL+rixalo_ru_PRES
kadiyuvayuvarixale kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_ABL+rixale_ru_IMPH
kadiyuvayuvarixale kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_ABL+rixale_ru_DECL
kadiyuvayuvarixale kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_ABL+rixale_ru_RIS
kadiyuvayuvara kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_GEN+ra_ru_3P
kadiyuvayuvaralli kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_LOC+ralli_ru_3P
kadiyuvayuvaralliyA kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_LOC+ralliyA_ru_INTR
kadiyuvayuvaralliyU kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_LOC+ralliyU_ru_INCL
kadiyuvayuvaralliyo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_LOC+ralliyo_ru_DUB
kadiyuvayuvaralliyo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_LOC+ralliyo_ru_INDF
kadiyuvayuvaralliyo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_LOC+ralliyo_ru_PRES
kadiyuvayuvaralliye kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_LOC+ralliye_ru_IMPH
kadiyuvayuvaralliye kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_LOC+ralliye_ru_DECL
kadiyuvayuvaralliye kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_LOC+ralliye_ru_RIS
kadiyuvayuvarigoskara kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigoskara_ru_3P
kadiyuvayuvarigoskarayuva kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigoskarayuva_ru_INTR
kadiyuvayuvarigoskaravU kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigoskaravU_ru_INCL
kadiyuvayuvarigoskaravo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigoskaravo_ru_DUB
kadiyuvayuvarigoskaravo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigoskaravo_ru_INDF
kadiyuvayuvarigoskaravo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigoskaravo_ru_PRES
kadiyuvayuvarigoskarave kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigoskarave_ru_IMPH
kadiyuvayuvarigoskarave kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigoskarave_ru_DECL
kadiyuvayuvarigoskarave kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigoskarave_ru_RIS
kadiyuvayuvarigoskara kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_PUR+rigoskara_ru_3P
kadiyuvayuvarigoskarayuva kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_PUR+rigoskarayuva_ru_INTR
kadiyuvayuvarigoskaravU kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_PUR+rigoskaravU_ru_INCL
kadiyuvayuvarigoskaravo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_PUR+rigoskaravo_ru_DUB
kadiyuvayuvarigoskaravo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_PUR+rigoskaravo_ru_INDF
kadiyuvayuvarigoskaravo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_PUR+rigoskaravo_ru_PRES
kadiyuvayuvarigoskarave kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_PUR+rigoskarave_ru_IMPH
kadiyuvayuvarigoskarave kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_PUR+rigoskarave_ru_DECL
kadiyuvayuvarigoskarave kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_PUR+rigoskarave_ru_RIS
kadiyuvayuvarigAgi kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigAgi_ru_3P
kadiyuvayuvarigAgiyA kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigAgiyA_ru_INTR
kadiyuvayuvarigAgiyU kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigAgiyU_ru_INCL
kadiyuvayuvarigAgiyo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigAgiyo_ru_DUB
kadiyuvayuvarigAgiyo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigAgiyo_ru_INDF
kadiyuvayuvarigAgiyo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigAgiyo_ru_PRES
kadiyuvayuvarigAgiye kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigAgiye_ru_IMPH
kadiyuvayuvarigAgiye kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigAgiye_ru_DECL
kadiyuvayuvarigAgiye kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigAgiye_ru_RIS
kadiyuvayuvarigAgi kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_PUR+rigAgi_ru_3P
kadiyuvayuvarigAgiyA kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigAgiyA_ru_INTR
kadiyuvayuvarigAgiyU kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigAgiyU_ru_INCL
kadiyuvayuvarigAgiyo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigAgiyo_ru_DUB
kadiyuvayuvarigAgiyo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigAgiyo_ru_INDF
kadiyuvayuvarigAgiyo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigAgiyo_ru_PRES
kadiyuvayuvarigAgiye kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigAgiye_ru_IMPH
kadiyuvayuvarigAgiye kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigAgiye_ru_DECL
kadiyuvayuvarigAgiye kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigAgiye_ru_RIS
kadiyuvayuvarigosuga kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigosuga_ru_3P
kadiyuvayuvarigosugayuva kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigosugayuva_ru_INTR
kadiyuvayuvarigosugavU kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigosugavU_ru_INCL
kadiyuvayuvarigosugavo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigosugavo_ru_DUB
kadiyuvayuvarigosugavo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigosugavo_ru_INDF
kadiyuvayuvarigosugavo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigosugavo_ru_PRES
kadiyuvayuvarigosugave kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigosugave_ru_IMPH
kadiyuvayuvarigosugave kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigosugave_ru_DECL
kadiyuvayuvarigosugave kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_BEN+rigosugave_ru_RIS
kadiyuvayuvarigosuga kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_PUR+rigosuga_ru_3P
kadiyuvayuvarigosugayuva kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_PUR+rigosugayuva_ru_INTR
kadiyuvayuvarigosugavU kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_PUR+rigosugavU_ru_INCL
kadiyuvayuvarigosugavo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_PUR+rigosugavo_ru_DUB
kadiyuvayuvarigosugavo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_PUR+rigosugavo_ru_INDF
kadiyuvayuvarigosugavo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_PUR+rigosugavo_ru_PRES
kadiyuvayuvarigosugave kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_PUR+rigosugave_ru_IMPH
kadiyuvayuvarigosugave kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_PUR+rigosugave_ru_DECL
kadiyuvayuvarigosugave kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_PUR+rigosugave_ru_RIS
kadiyuvayuvarigiMwa kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_COMP+rigiMwa_ru_3P
kadiyuvayuvarigiMwalA kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_COMP+rigiMwalA_ru_INTR
kadiyuvayuvarigiMwalU kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_COMP+rigiMwalU_ru_INCL
kadiyuvayuvarigiMwalo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_COMP+rigiMwalo_ru_DUB
kadiyuvayuvarigiMwalo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_COMP+rigiMwalo_ru_INDF
kadiyuvayuvarigiMwalo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_COMP+rigiMwalo_ru_PRES
kadiyuvayuvarigiMwale kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_COMP+rigiMwale_ru_IMPH
kadiyuvayuvarigiMwale kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_COMP+rigiMwale_ru_DECL
kadiyuvayuvarigiMwale kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_COMP+rigiMwale_ru_RIS
kadiyuvayuvaraMweV kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SIM+raMweV_ru_3P
kadiyuvayuvaraMweVyA kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SIM+raMweVyA_ru_INTR
kadiyuvayuvaraMweVyU kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SIM+raMweVyU_ru_INCL
kadiyuvayuvaraMweVyo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SIM+raMweVyo_ru_DUB
kadiyuvayuvaraMweVyo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SIM+raMweVyo_ru_INDF
kadiyuvayuvaraMweVyo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SIM+raMweVyo_ru_PRES
kadiyuvayuvaraMweVye kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SIM+raMweVye_ru_IMPH
kadiyuvayuvaraMweVye kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SIM+raMweVye_ru_DECL
kadiyuvayuvaraMweVye kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SIM+raMweVye_ru_RIS
kadiyuvayuvaroVdaneV kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SOC+roVdaneV_ru_3P
kadiyuvayuvaroVdaneVyA kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SOC+roVdaneVyA_ru_INTR
kadiyuvayuvaroVdaneVyU kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SOC+roVdaneVyU_ru_INCL
kadiyuvayuvaroVdaneVyo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SOC+roVdaneVyo_ru_DUB
kadiyuvayuvaroVdaneVyo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SOC+roVdaneVyo_ru_INDF
kadiyuvayuvaroVdaneVyo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SOC+roVdaneVyo_ru_PRES
kadiyuvayuvaroVdaneVye kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SOC+roVdaneVye_ru_IMPH
kadiyuvayuvaroVdaneVye kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SOC+roVdaneVye_ru_DECL
kadiyuvayuvaroVdaneVye kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SOC+roVdaneVye_ru_RIS
kadiyuvayuvaroVMxigeV  kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SOC+roVMxigeV_ru_3P
kadiyuvayuvaroVMxigeVyA kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SOC+roVMxigeVyA_ru_INTR
kadiyuvayuvaroVMxigeVyU kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SOC+roVMxigeVyU_ru_INCL
kadiyuvayuvaroVMxigeVyo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SOC+roVMxigeVyo_ru_DUB
kadiyuvayuvaroVMxigeVyo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SOC+roVMxigeVyo_ru_INDF
kadiyuvayuvaroVMxigeVyo kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SOC+roVMxigeVyo_ru_PRES
kadiyuvayuvaroVMxigeVye kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SOC+roVMxigeVye_ru_IMPH
kadiyuvayuvaroVMxigeVye kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SOC+roVMxigeVye_ru_DECL
kadiyuvayuvaroVMxigeVye kadi(V18)+yuva_#_PRP+yuvayuvaru_yuva_SOC+roVMxigeVye_ru_RIS
kadivuxannA kadi(V18)+vuxu_#_ACC+xannA_xu_INTR
kadivuxannU kadi(V18)+vuxu_#_ACC+xannU_xu_INCL
kadivuxanno kadi(V18)+vuxu_#_ACC+xanno_xu_DUB
kadivuxanno kadi(V18)+vuxu_#_ACC+xanno_xu_INDF
kadivuxanno kadi(V18)+vuxu_#_ACC+xanno_xu_PRES
kadivuxanne kadi(V18)+vuxu_#_ACC+xanne_xu_IMPH
kadivuxanne kadi(V18)+vuxu_#_ACC+xanne_xu_DECL
kadivuxanne kadi(V18)+vuxu_#_ACC+xanne_xu_RIS
kadivuxariMxalA kadi(V18)+vuxu_#_INS+xariMxalA_xu_INTR
kadivuxariMxalU kadi(V18)+vuxu_#_INS+xariMxalU_xu_INCL
kadivuxariMxalo kadi(V18)+vuxu_#_INS+xariMxalo_xu_DUB
kadivuxariMxalo kadi(V18)+vuxu_#_INS+xariMxalo_xu_INDF
kadivuxariMxalo kadi(V18)+vuxu_#_INS+xariMxalo_xu_PRES
kadivuxariMxale kadi(V18)+vuxu_#_INS+xariMxale_xu_IMPH
kadivuxariMxale kadi(V18)+vuxu_#_INS+xariMxale_xu_DECL
kadivuxariMxale kadi(V18)+vuxu_#_INS+xariMxale_xu_RIS
kadivuxakkeVyA kadi(V18)+vuxu_#_DAT+xakkeVyA_xu_INTR
kadivuxakkeVyU kadi(V18)+vuxu_#_DAT+xakkeVyU_xu_INCL
