kiwwanu kIlYu(V33)+iwwa_IlYu_PAST+anu_a_3SM   
kIlYuvavalYigoskaravo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigoskaravo_IlYu_DUB
kIlYuvavalYigoskaravo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigoskaravo_IlYu_INDF
kIlYuvavalYigoskaravo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigoskaravo_IlYu_PRES
kIlYuvavalYigoskarave kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigoskarave_IlYu_IMPH
kIlYuvavalYigoskarave kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigoskarave_IlYu_DECL
kIlYuvavalYigoskarave kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigoskarave_IlYu_RIS
kIlYuvavalYigoskara kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigoskara_IlYu_3SF
kIlYuvavalYigoskaravA kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigoskaravA_IlYu_INTR
kIlYuvavalYigoskaravU kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigoskaravU_IlYu_INCL
kIlYuvavalYigoskaravo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigoskaravo_IlYu_DUB
kIlYuvavalYigoskaravo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigoskaravo_IlYu_INDF
kIlYuvavalYigoskaravo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigoskaravo_IlYu_PRES
kIlYuvavalYigoskarave kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigoskarave_IlYu_IMPH
kIlYuvavalYigoskarave kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigoskarave_IlYu_DECL
kIlYuvavalYigoskarave kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigoskarave_IlYu_RIS
kIlYuvavalYigAgi kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigAgi_IlYu_3SF
kIlYuvavalYigAgiyA kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigAgiyA_IlYu_INTR
kIlYuvavalYigAgiyU kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigAgiyU_IlYu_INCL
kIlYuvavalYigAgiyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigAgiyo_IlYu_DUB
kIlYuvavalYigAgiyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigAgiyo_IlYu_INDF
kIlYuvavalYigAgiyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigAgiyo_IlYu_PRES
kIlYuvavalYigAgiye kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigAgiye_IlYu_IMPH
kIlYuvavalYigAgiye kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigAgiye_IlYu_DECL
kIlYuvavalYigAgiye kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigAgiye_IlYu_RIS
kIlYuvavalYigAgi kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigAgi_IlYu_3SF
kIlYuvavalYigAgiyA kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigAgiyA_IlYu_INTR
kIlYuvavalYigAgiyU kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigAgiyU_IlYu_INCL
kIlYuvavalYigAgiyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigAgiyo_IlYu_DUB
kIlYuvavalYigAgiyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigAgiyo_IlYu_INDF
kIlYuvavalYigAgiyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigAgiyo_IlYu_PRES
kIlYuvavalYigAgiye kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigAgiye_IlYu_IMPH
kIlYuvavalYigAgiye kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigAgiye_IlYu_DECL
kIlYuvavalYigAgiye kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigAgiye_IlYu_RIS
kIlYuvavalYigosuga kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigosuga_IlYu_3SF
kIlYuvavalYigosugavA kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigosugavA_IlYu_INTR
kIlYuvavalYigosugavU kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigosugavU_IlYu_INCL
kIlYuvavalYigosugavo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigosugavo_IlYu_DUB
kIlYuvavalYigosugavo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigosugavo_IlYu_INDF
kIlYuvavalYigosugavo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigosugavo_IlYu_PRES
kIlYuvavalYigosugave kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigosugave_IlYu_IMPH
kIlYuvavalYigosugave kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigosugave_IlYu_DECL
kIlYuvavalYigosugave kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigosugave_IlYu_RIS
kIlYuvavalYigosuga kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigosuga_IlYu_3SF
kIlYuvavalYigosugavA kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigosugavA_IlYu_INTR
kIlYuvavalYigosugavU kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigosugavU_IlYu_INCL
kIlYuvavalYigosugavo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigosugavo_IlYu_DUB
kIlYuvavalYigosugavo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigosugavo_IlYu_INDF
kIlYuvavalYigosugavo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigosugavo_IlYu_PRES
kIlYuvavalYigosugave kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigosugave_IlYu_IMPH
kIlYuvavalYigosugave kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigosugave_IlYu_DECL
kIlYuvavalYigosugave kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_PUR+lYigosugave_IlYu_RIS
kIlYuvavalYigiMwa kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_COMP+lYigiMwa_IlYu_3SF
kIlYuvavalYigiMwalA kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_COMP+lYigiMwalA_IlYu_INTR
kIlYuvavalYigiMwalU kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_COMP+lYigiMwalU_IlYu_INCL
kIlYuvavalYigiMwalo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_COMP+lYigiMwalo_IlYu_DUB
kIlYuvavalYigiMwalo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_COMP+lYigiMwalo_IlYu_INDF
kIlYuvavalYigiMwalo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_COMP+lYigiMwalo_IlYu_PRES
kIlYuvavalYigiMwale kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_COMP+lYigiMwale_IlYu_IMPH
kIlYuvavalYigiMwale kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_COMP+lYigiMwale_IlYu_DECL
kIlYuvavalYigiMwale kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_COMP+lYigiMwale_IlYu_RIS
kIlYuvavalYaMweV kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SIM+lYaMweV_IlYu_3SF
kIlYuvavalYaMweVyA kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SIM+lYaMweVyA_IlYu_INTR
kIlYuvavalYaMweVyU kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SIM+lYaMweVyU_IlYu_INCL
kIlYuvavalYaMweVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SIM+lYaMweVyo_IlYu_DUB
kIlYuvavalYaMweVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SIM+lYaMweVyo_IlYu_INDF
kIlYuvavalYaMweVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SIM+lYaMweVyo_IlYu_PRES
kIlYuvavalYaMweVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SIM+lYaMweVye_IlYu_IMPH
kIlYuvavalYaMweVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SIM+lYaMweVye_IlYu_DECL
kIlYuvavalYaMweVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SIM+lYaMweVye_IlYu_RIS
kIlYuvavalYoVdaneV kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SOC+lYoVdaneV_IlYu_3SF
kIlYuvavalYoVdaneVyA kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SOC+lYoVdaneVyA_IlYu_INTR
kIlYuvavalYoVdaneVyU kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SOC+lYoVdaneVyU_IlYu_INCL
kIlYuvavalYoVdaneVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SOC+lYoVdaneVyo_IlYu_DUB
kIlYuvavalYoVdaneVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SOC+lYoVdaneVyo_IlYu_INDF
kIlYuvavalYoVdaneVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SOC+lYoVdaneVyo_IlYu_PRES
kIlYuvavalYoVdaneVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SOC+lYoVdaneVye_IlYu_IMPH
kIlYuvavalYoVdaneVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SOC+lYoVdaneVye_IlYu_DECL
kIlYuvavalYoVdaneVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SOC+lYoVdaneVye_IlYu_RIS
kIlYuvavalYoVMxigeV  kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SOC+lYoVMxigeV_IlYu_3SF
kIlYuvavalYoVMxigeVyA kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SOC+lYoVMxigeVyA_IlYu_INTR
kIlYuvavalYoVMxigeVyU kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SOC+lYoVMxigeVyU_IlYu_INCL
kIlYuvavalYoVMxigeVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SOC+lYoVMxigeVyo_IlYu_DUB
kIlYuvavalYoVMxigeVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SOC+lYoVMxigeVyo_IlYu_INDF
kIlYuvavalYoVMxigeVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SOC+lYoVMxigeVyo_IlYu_PRES
kIlYuvavalYoVMxigeVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SOC+lYoVMxigeVye_IlYu_IMPH
kIlYuvavalYoVMxigeVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SOC+lYoVMxigeVye_IlYu_DECL
kIlYuvavalYoVMxigeVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_SOC+lYoVMxigeVye_IlYu_RIS
kIlYuvavarannu kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_ACC+rannu_ru_3P
kIlYuvavarannA kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_ACC+rannA_ru_INTR
kIlYuvavarannU kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_ACC+rannU_ru_INCL
kIlYuvavaranno kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_ACC+ranno_ru_DUB
kIlYuvavaranno kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_ACC+ranno_ru_INDF
kIlYuvavaranno kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_ACC+ranno_ru_PRES
kIlYuvavaranne kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_ACC+ranne_ru_IMPH
kIlYuvavaranne kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_ACC+ranne_ru_DECL
kIlYuvavaranne kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_ACC+ranne_ru_RIS
kIlYuvavariMxa kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_INS+riMxa_ru_3P
kIlYuvavariMxalA kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_INS+riMxalA_ru_INTR
kIlYuvavariMxalU kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_INS+riMxalU_ru_INCL
kIlYuvavariMxalo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_INS+riMxalo_ru_DUB
kIlYuvavariMxalo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_INS+riMxalo_ru_INDF
kIlYuvavariMxalo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_INS+riMxalo_ru_PRES
kIlYuvavariMxale kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_INS+riMxale_ru_IMPH
kIlYuvavariMxale kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_INS+riMxale_ru_DECL
kIlYuvavariMxale kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_INS+riMxale_ru_RIS
kIlYuvavarigeV kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_DAT+rigeV_ru_3P
kIlYuvavarigeVyA kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_DAT+rigeVyA_ru_INTR
kIlYuvavarigeVyU kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_DAT+rigeVyU_ru_INCL
kIlYuvavarigeVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_DAT+rigeVyo_ru_DUB
kIlYuvavarigeVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_DAT+rigeVyo_ru_INDF
kIlYuvavarigeVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_DAT+rigeVyo_ru_PRES
kIlYuvavarigeVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_DAT+rigeVye_ru_IMPH
kIlYuvavarigeVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_DAT+rigeVye_ru_DECL
kIlYuvavarigeVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_DAT+rigeVye_ru_RIS
kIlYuvavariMxa  kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_ABL+riMxa_ru_3P
kIlYuvavariMxalA kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_ABL+riMxalA_ru_INTR
kIlYuvavariMxalU kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_ABL+riMxalU_ru_INCL
kIlYuvavariMxalo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_ABL+riMxalo_ru_DUB
kIlYuvavariMxalo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_ABL+riMxalo_ru_INDF
kIlYuvavariMxalo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_ABL+riMxalo_ru_PRES
kIlYuvavariMxale kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_ABL+riMxale_ru_IMPH
kIlYuvavariMxale kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_ABL+riMxale_ru_DECL
kIlYuvavariMxale kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_ABL+riMxale_ru_RIS
kIlYuvavara kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_GEN+ra_ru_3P
kIlYuvavaralli kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_LOC+ralli_ru_3P
kIlYuvavaralliyA kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_LOC+ralliyA_ru_INTR
kIlYuvavaralliyU kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_LOC+ralliyU_ru_INCL
kIlYuvavaralliyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_LOC+ralliyo_ru_DUB
kIlYuvavaralliyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_LOC+ralliyo_ru_INDF
kIlYuvavaralliyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_LOC+ralliyo_ru_PRES
kIlYuvavaralliye kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_LOC+ralliye_ru_IMPH
kIlYuvavaralliye kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_LOC+ralliye_ru_DECL
kIlYuvavaralliye kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_LOC+ralliye_ru_RIS
kIlYuvavarigoskara kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigoskara_ru_3P
kIlYuvavarigoskaravA kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigoskaravA_ru_INTR
kIlYuvavarigoskaravU kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigoskaravU_ru_INCL
kIlYuvavarigoskaravo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigoskaravo_ru_DUB
kIlYuvavarigoskaravo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigoskaravo_ru_INDF
kIlYuvavarigoskaravo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigoskaravo_ru_PRES
kIlYuvavarigoskarave kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigoskarave_ru_IMPH
kIlYuvavarigoskarave kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigoskarave_ru_DECL
kIlYuvavarigoskarave kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigoskarave_ru_RIS
kIlYuvavarigoskara kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_PUR+rigoskara_ru_3P
kIlYuvavarigoskaravA kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_PUR+rigoskaravA_ru_INTR
kIlYuvavarigoskaravU kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_PUR+rigoskaravU_ru_INCL
kIlYuvavarigoskaravo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_PUR+rigoskaravo_ru_DUB
kIlYuvavarigoskaravo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_PUR+rigoskaravo_ru_INDF
kIlYuvavarigoskaravo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_PUR+rigoskaravo_ru_PRES
kIlYuvavarigoskarave kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_PUR+rigoskarave_ru_IMPH
kIlYuvavarigoskarave kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_PUR+rigoskarave_ru_DECL
kIlYuvavarigoskarave kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_PUR+rigoskarave_ru_RIS
kIlYuvavarigAgi kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigAgi_ru_3P
kIlYuvavarigAgiyA kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
kIlYuvavarigAgiyU kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
kIlYuvavarigAgiyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
kIlYuvavarigAgiyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
kIlYuvavarigAgiyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
kIlYuvavarigAgiye kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
kIlYuvavarigAgiye kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
kIlYuvavarigAgiye kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
kIlYuvavarigAgi kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_PUR+rigAgi_ru_3P
kIlYuvavarigAgiyA kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
kIlYuvavarigAgiyU kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
kIlYuvavarigAgiyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
kIlYuvavarigAgiyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
kIlYuvavarigAgiyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
kIlYuvavarigAgiye kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
kIlYuvavarigAgiye kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
kIlYuvavarigAgiye kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
kIlYuvavarigosuga kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigosuga_ru_3P
kIlYuvavarigosugavA kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigosugavA_ru_INTR
kIlYuvavarigosugavU kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigosugavU_ru_INCL
kIlYuvavarigosugavo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigosugavo_ru_DUB
kIlYuvavarigosugavo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigosugavo_ru_INDF
kIlYuvavarigosugavo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigosugavo_ru_PRES
kIlYuvavarigosugave kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigosugave_ru_IMPH
kIlYuvavarigosugave kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigosugave_ru_DECL
kIlYuvavarigosugave kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_BEN+rigosugave_ru_RIS
kIlYuvavarigosuga kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_PUR+rigosuga_ru_3P
kIlYuvavarigosugavA kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_PUR+rigosugavA_ru_INTR
kIlYuvavarigosugavU kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_PUR+rigosugavU_ru_INCL
kIlYuvavarigosugavo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_PUR+rigosugavo_ru_DUB
kIlYuvavarigosugavo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_PUR+rigosugavo_ru_INDF
kIlYuvavarigosugavo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_PUR+rigosugavo_ru_PRES
kIlYuvavarigosugave kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_PUR+rigosugave_ru_IMPH
kIlYuvavarigosugave kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_PUR+rigosugave_ru_DECL
kIlYuvavarigosugave kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_PUR+rigosugave_ru_RIS
kIlYuvavarigiMwa kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_COMP+rigiMwa_ru_3P
kIlYuvavarigiMwalA kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_COMP+rigiMwalA_ru_INTR
kIlYuvavarigiMwalU kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_COMP+rigiMwalU_ru_INCL
kIlYuvavarigiMwalo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_COMP+rigiMwalo_ru_DUB
kIlYuvavarigiMwalo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_COMP+rigiMwalo_ru_INDF
kIlYuvavarigiMwalo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_COMP+rigiMwalo_ru_PRES
kIlYuvavarigiMwale kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_COMP+rigiMwale_ru_IMPH
kIlYuvavarigiMwale kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_COMP+rigiMwale_ru_DECL
kIlYuvavarigiMwale kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_COMP+rigiMwale_ru_RIS
kIlYuvavaraMweV kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SIM+raMweV_ru_3P
kIlYuvavaraMweVyA kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SIM+raMweVyA_ru_INTR
kIlYuvavaraMweVyU kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SIM+raMweVyU_ru_INCL
kIlYuvavaraMweVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SIM+raMweVyo_ru_DUB
kIlYuvavaraMweVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SIM+raMweVyo_ru_INDF
kIlYuvavaraMweVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SIM+raMweVyo_ru_PRES
kIlYuvavaraMweVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SIM+raMweVye_ru_IMPH
kIlYuvavaraMweVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SIM+raMweVye_ru_DECL
kIlYuvavaraMweVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SIM+raMweVye_ru_RIS
kIlYuvavaroVdaneV kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SOC+roVdaneV_ru_3P
kIlYuvavaroVdaneVyA kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SOC+roVdaneVyA_ru_INTR
kIlYuvavaroVdaneVyU kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SOC+roVdaneVyU_ru_INCL
kIlYuvavaroVdaneVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SOC+roVdaneVyo_ru_DUB
kIlYuvavaroVdaneVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SOC+roVdaneVyo_ru_INDF
kIlYuvavaroVdaneVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SOC+roVdaneVyo_ru_PRES
