koVMdanu koVlYlYu(V20)+Mda_lYlYu_PAST+anu_a_3SM   
koVlYlYuvavalYalliyo koVlYlYu(V20)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_PRES
koVlYlYuvavalYalliye koVlYlYu(V20)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_IMPH
koVlYlYuvavalYalliye koVlYlYu(V20)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_DECL
koVlYlYuvavalYalliye koVlYlYu(V20)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_RIS
koVlYlYuvavalYigoskara koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigoskara_lYu_3SF
koVlYlYuvavalYigoskaravA koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigoskaravA_lYu_INTR
koVlYlYuvavalYigoskaravU koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigoskaravU_lYu_INCL
koVlYlYuvavalYigoskaravo koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_DUB
koVlYlYuvavalYigoskaravo koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_INDF
koVlYlYuvavalYigoskaravo koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_PRES
koVlYlYuvavalYigoskarave koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_IMPH
koVlYlYuvavalYigoskarave koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_DECL
koVlYlYuvavalYigoskarave koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_RIS
koVlYlYuvavalYigoskara koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigoskara_lYu_3SF
koVlYlYuvavalYigoskaravA koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigoskaravA_lYu_INTR
koVlYlYuvavalYigoskaravU koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigoskaravU_lYu_INCL
koVlYlYuvavalYigoskaravo koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_DUB
koVlYlYuvavalYigoskaravo koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_INDF
koVlYlYuvavalYigoskaravo koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_PRES
koVlYlYuvavalYigoskarave koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_IMPH
koVlYlYuvavalYigoskarave koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_DECL
koVlYlYuvavalYigoskarave koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_RIS
koVlYlYuvavalYigAgi koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigAgi_lYu_3SF
koVlYlYuvavalYigAgiyA koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigAgiyA_lYu_INTR
koVlYlYuvavalYigAgiyU koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigAgiyU_lYu_INCL
koVlYlYuvavalYigAgiyo koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_DUB
koVlYlYuvavalYigAgiyo koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_INDF
koVlYlYuvavalYigAgiyo koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_PRES
koVlYlYuvavalYigAgiye koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_IMPH
koVlYlYuvavalYigAgiye koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_DECL
koVlYlYuvavalYigAgiye koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_RIS
koVlYlYuvavalYigAgi koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigAgi_lYu_3SF
koVlYlYuvavalYigAgiyA koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigAgiyA_lYu_INTR
koVlYlYuvavalYigAgiyU koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigAgiyU_lYu_INCL
koVlYlYuvavalYigAgiyo koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_DUB
koVlYlYuvavalYigAgiyo koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_INDF
koVlYlYuvavalYigAgiyo koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_PRES
koVlYlYuvavalYigAgiye koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_IMPH
koVlYlYuvavalYigAgiye koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_DECL
koVlYlYuvavalYigAgiye koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_RIS
koVlYlYuvavalYigosuga koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigosuga_lYu_3SF
koVlYlYuvavalYigosugavA koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigosugavA_lYu_INTR
koVlYlYuvavalYigosugavU koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigosugavU_lYu_INCL
koVlYlYuvavalYigosugavo koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_DUB
koVlYlYuvavalYigosugavo koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_INDF
koVlYlYuvavalYigosugavo koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_PRES
koVlYlYuvavalYigosugave koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_IMPH
koVlYlYuvavalYigosugave koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_DECL
koVlYlYuvavalYigosugave koVlYlYu(V20)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_RIS
koVlYlYuvavalYigosuga koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigosuga_lYu_3SF
koVlYlYuvavalYigosugavA koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigosugavA_lYu_INTR
koVlYlYuvavalYigosugavU koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigosugavU_lYu_INCL
koVlYlYuvavalYigosugavo koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_DUB
koVlYlYuvavalYigosugavo koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_INDF
koVlYlYuvavalYigosugavo koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_PRES
koVlYlYuvavalYigosugave koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_IMPH
koVlYlYuvavalYigosugave koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_DECL
koVlYlYuvavalYigosugave koVlYlYu(V20)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_RIS
koVlYlYuvavalYigiMwa koVlYlYu(V20)+va_#_PRP+vavalYu_va_COMP+lYigiMwa_lYu_3SF
koVlYlYuvavalYigiMwalA koVlYlYu(V20)+va_#_PRP+vavalYu_va_COMP+lYigiMwalA_lYu_INTR
koVlYlYuvavalYigiMwalU koVlYlYu(V20)+va_#_PRP+vavalYu_va_COMP+lYigiMwalU_lYu_INCL
koVlYlYuvavalYigiMwalo koVlYlYu(V20)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_DUB
koVlYlYuvavalYigiMwalo koVlYlYu(V20)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_INDF
koVlYlYuvavalYigiMwalo koVlYlYu(V20)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_PRES
koVlYlYuvavalYigiMwale koVlYlYu(V20)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_IMPH
koVlYlYuvavalYigiMwale koVlYlYu(V20)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_DECL
koVlYlYuvavalYigiMwale koVlYlYu(V20)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_RIS
koVlYlYuvavalYaMweV koVlYlYu(V20)+va_#_PRP+vavalYu_va_SIM+lYaMweV_lYu_3SF
koVlYlYuvavalYaMweVyA koVlYlYu(V20)+va_#_PRP+vavalYu_va_SIM+lYaMweVyA_lYu_INTR
koVlYlYuvavalYaMweVyU koVlYlYu(V20)+va_#_PRP+vavalYu_va_SIM+lYaMweVyU_lYu_INCL
koVlYlYuvavalYaMweVyo koVlYlYu(V20)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_DUB
koVlYlYuvavalYaMweVyo koVlYlYu(V20)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_INDF
koVlYlYuvavalYaMweVyo koVlYlYu(V20)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_PRES
koVlYlYuvavalYaMweVye koVlYlYu(V20)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_IMPH
koVlYlYuvavalYaMweVye koVlYlYu(V20)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_DECL
koVlYlYuvavalYaMweVye koVlYlYu(V20)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_RIS
koVlYlYuvavalYoVdaneV koVlYlYu(V20)+va_#_PRP+vavalYu_va_SOC+lYoVdaneV_lYu_3SF
koVlYlYuvavalYoVdaneVyA koVlYlYu(V20)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyA_lYu_INTR
koVlYlYuvavalYoVdaneVyU koVlYlYu(V20)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyU_lYu_INCL
koVlYlYuvavalYoVdaneVyo koVlYlYu(V20)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_DUB
koVlYlYuvavalYoVdaneVyo koVlYlYu(V20)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_INDF
koVlYlYuvavalYoVdaneVyo koVlYlYu(V20)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_PRES
koVlYlYuvavalYoVdaneVye koVlYlYu(V20)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_IMPH
koVlYlYuvavalYoVdaneVye koVlYlYu(V20)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_DECL
koVlYlYuvavalYoVdaneVye koVlYlYu(V20)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_RIS
koVlYlYuvavalYoVMxigeV  koVlYlYu(V20)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeV_lYu_3SF
koVlYlYuvavalYoVMxigeVyA koVlYlYu(V20)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyA_lYu_INTR
koVlYlYuvavalYoVMxigeVyU koVlYlYu(V20)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyU_lYu_INCL
koVlYlYuvavalYoVMxigeVyo koVlYlYu(V20)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_DUB
koVlYlYuvavalYoVMxigeVyo koVlYlYu(V20)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_INDF
koVlYlYuvavalYoVMxigeVyo koVlYlYu(V20)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_PRES
koVlYlYuvavalYoVMxigeVye koVlYlYu(V20)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_IMPH
koVlYlYuvavalYoVMxigeVye koVlYlYu(V20)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_DECL
koVlYlYuvavalYoVMxigeVye koVlYlYu(V20)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_RIS
koVlYlYuvavarannu koVlYlYu(V20)+va_#_PRP+vavaru_va_ACC+rannu_ru_3P
koVlYlYuvavarannA koVlYlYu(V20)+va_#_PRP+vavaru_va_ACC+rannA_ru_INTR
koVlYlYuvavarannU koVlYlYu(V20)+va_#_PRP+vavaru_va_ACC+rannU_ru_INCL
koVlYlYuvavaranno koVlYlYu(V20)+va_#_PRP+vavaru_va_ACC+ranno_ru_DUB
koVlYlYuvavaranno koVlYlYu(V20)+va_#_PRP+vavaru_va_ACC+ranno_ru_INDF
koVlYlYuvavaranno koVlYlYu(V20)+va_#_PRP+vavaru_va_ACC+ranno_ru_PRES
koVlYlYuvavaranne koVlYlYu(V20)+va_#_PRP+vavaru_va_ACC+ranne_ru_IMPH
koVlYlYuvavaranne koVlYlYu(V20)+va_#_PRP+vavaru_va_ACC+ranne_ru_DECL
koVlYlYuvavaranne koVlYlYu(V20)+va_#_PRP+vavaru_va_ACC+ranne_ru_RIS
koVlYlYuvavariMxa koVlYlYu(V20)+va_#_PRP+vavaru_va_INS+riMxa_ru_3P
koVlYlYuvavariMxalA koVlYlYu(V20)+va_#_PRP+vavaru_va_INS+riMxalA_ru_INTR
koVlYlYuvavariMxalU koVlYlYu(V20)+va_#_PRP+vavaru_va_INS+riMxalU_ru_INCL
koVlYlYuvavariMxalo koVlYlYu(V20)+va_#_PRP+vavaru_va_INS+riMxalo_ru_DUB
koVlYlYuvavariMxalo koVlYlYu(V20)+va_#_PRP+vavaru_va_INS+riMxalo_ru_INDF
koVlYlYuvavariMxalo koVlYlYu(V20)+va_#_PRP+vavaru_va_INS+riMxalo_ru_PRES
koVlYlYuvavariMxale koVlYlYu(V20)+va_#_PRP+vavaru_va_INS+riMxale_ru_IMPH
koVlYlYuvavariMxale koVlYlYu(V20)+va_#_PRP+vavaru_va_INS+riMxale_ru_DECL
koVlYlYuvavariMxale koVlYlYu(V20)+va_#_PRP+vavaru_va_INS+riMxale_ru_RIS
koVlYlYuvavarigeV koVlYlYu(V20)+va_#_PRP+vavaru_va_DAT+rigeV_ru_3P
koVlYlYuvavarigeVyA koVlYlYu(V20)+va_#_PRP+vavaru_va_DAT+rigeVyA_ru_INTR
koVlYlYuvavarigeVyU koVlYlYu(V20)+va_#_PRP+vavaru_va_DAT+rigeVyU_ru_INCL
koVlYlYuvavarigeVyo koVlYlYu(V20)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_DUB
koVlYlYuvavarigeVyo koVlYlYu(V20)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_INDF
koVlYlYuvavarigeVyo koVlYlYu(V20)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_PRES
koVlYlYuvavarigeVye koVlYlYu(V20)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_IMPH
koVlYlYuvavarigeVye koVlYlYu(V20)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_DECL
koVlYlYuvavarigeVye koVlYlYu(V20)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_RIS
koVlYlYuvavariMxa  koVlYlYu(V20)+va_#_PRP+vavaru_va_ABL+riMxa_ru_3P
koVlYlYuvavariMxalA koVlYlYu(V20)+va_#_PRP+vavaru_va_ABL+riMxalA_ru_INTR
koVlYlYuvavariMxalU koVlYlYu(V20)+va_#_PRP+vavaru_va_ABL+riMxalU_ru_INCL
koVlYlYuvavariMxalo koVlYlYu(V20)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_DUB
koVlYlYuvavariMxalo koVlYlYu(V20)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_INDF
koVlYlYuvavariMxalo koVlYlYu(V20)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_PRES
koVlYlYuvavariMxale koVlYlYu(V20)+va_#_PRP+vavaru_va_ABL+riMxale_ru_IMPH
koVlYlYuvavariMxale koVlYlYu(V20)+va_#_PRP+vavaru_va_ABL+riMxale_ru_DECL
koVlYlYuvavariMxale koVlYlYu(V20)+va_#_PRP+vavaru_va_ABL+riMxale_ru_RIS
koVlYlYuvavara koVlYlYu(V20)+va_#_PRP+vavaru_va_GEN+ra_ru_3P
koVlYlYuvavaralli koVlYlYu(V20)+va_#_PRP+vavaru_va_LOC+ralli_ru_3P
koVlYlYuvavaralliyA koVlYlYu(V20)+va_#_PRP+vavaru_va_LOC+ralliyA_ru_INTR
koVlYlYuvavaralliyU koVlYlYu(V20)+va_#_PRP+vavaru_va_LOC+ralliyU_ru_INCL
koVlYlYuvavaralliyo koVlYlYu(V20)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_DUB
koVlYlYuvavaralliyo koVlYlYu(V20)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_INDF
koVlYlYuvavaralliyo koVlYlYu(V20)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_PRES
koVlYlYuvavaralliye koVlYlYu(V20)+va_#_PRP+vavaru_va_LOC+ralliye_ru_IMPH
koVlYlYuvavaralliye koVlYlYu(V20)+va_#_PRP+vavaru_va_LOC+ralliye_ru_DECL
koVlYlYuvavaralliye koVlYlYu(V20)+va_#_PRP+vavaru_va_LOC+ralliye_ru_RIS
koVlYlYuvavarigoskara koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigoskara_ru_3P
koVlYlYuvavarigoskaravA koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigoskaravA_ru_INTR
koVlYlYuvavarigoskaravU koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigoskaravU_ru_INCL
koVlYlYuvavarigoskaravo koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_DUB
koVlYlYuvavarigoskaravo koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_INDF
koVlYlYuvavarigoskaravo koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_PRES
koVlYlYuvavarigoskarave koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_IMPH
koVlYlYuvavarigoskarave koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_DECL
koVlYlYuvavarigoskarave koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_RIS
koVlYlYuvavarigoskara koVlYlYu(V20)+va_#_PRP+vavaru_va_PUR+rigoskara_ru_3P
koVlYlYuvavarigoskaravA koVlYlYu(V20)+va_#_PRP+vavaru_va_PUR+rigoskaravA_ru_INTR
koVlYlYuvavarigoskaravU koVlYlYu(V20)+va_#_PRP+vavaru_va_PUR+rigoskaravU_ru_INCL
koVlYlYuvavarigoskaravo koVlYlYu(V20)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_DUB
koVlYlYuvavarigoskaravo koVlYlYu(V20)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_INDF
koVlYlYuvavarigoskaravo koVlYlYu(V20)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_PRES
koVlYlYuvavarigoskarave koVlYlYu(V20)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_IMPH
koVlYlYuvavarigoskarave koVlYlYu(V20)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_DECL
koVlYlYuvavarigoskarave koVlYlYu(V20)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_RIS
koVlYlYuvavarigAgi koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigAgi_ru_3P
koVlYlYuvavarigAgiyA koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
koVlYlYuvavarigAgiyU koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
koVlYlYuvavarigAgiyo koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
koVlYlYuvavarigAgiyo koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
koVlYlYuvavarigAgiyo koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
koVlYlYuvavarigAgiye koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
koVlYlYuvavarigAgiye koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
koVlYlYuvavarigAgiye koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
koVlYlYuvavarigAgi koVlYlYu(V20)+va_#_PRP+vavaru_va_PUR+rigAgi_ru_3P
koVlYlYuvavarigAgiyA koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
koVlYlYuvavarigAgiyU koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
koVlYlYuvavarigAgiyo koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
koVlYlYuvavarigAgiyo koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
koVlYlYuvavarigAgiyo koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
koVlYlYuvavarigAgiye koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
koVlYlYuvavarigAgiye koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
koVlYlYuvavarigAgiye koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
koVlYlYuvavarigosuga koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigosuga_ru_3P
koVlYlYuvavarigosugavA koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigosugavA_ru_INTR
koVlYlYuvavarigosugavU koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigosugavU_ru_INCL
koVlYlYuvavarigosugavo koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_DUB
koVlYlYuvavarigosugavo koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_INDF
koVlYlYuvavarigosugavo koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_PRES
koVlYlYuvavarigosugave koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_IMPH
koVlYlYuvavarigosugave koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_DECL
koVlYlYuvavarigosugave koVlYlYu(V20)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_RIS
koVlYlYuvavarigosuga koVlYlYu(V20)+va_#_PRP+vavaru_va_PUR+rigosuga_ru_3P
koVlYlYuvavarigosugavA koVlYlYu(V20)+va_#_PRP+vavaru_va_PUR+rigosugavA_ru_INTR
koVlYlYuvavarigosugavU koVlYlYu(V20)+va_#_PRP+vavaru_va_PUR+rigosugavU_ru_INCL
koVlYlYuvavarigosugavo koVlYlYu(V20)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_DUB
koVlYlYuvavarigosugavo koVlYlYu(V20)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_INDF
koVlYlYuvavarigosugavo koVlYlYu(V20)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_PRES
koVlYlYuvavarigosugave koVlYlYu(V20)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_IMPH
koVlYlYuvavarigosugave koVlYlYu(V20)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_DECL
koVlYlYuvavarigosugave koVlYlYu(V20)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_RIS
koVlYlYuvavarigiMwa koVlYlYu(V20)+va_#_PRP+vavaru_va_COMP+rigiMwa_ru_3P
koVlYlYuvavarigiMwalA koVlYlYu(V20)+va_#_PRP+vavaru_va_COMP+rigiMwalA_ru_INTR
koVlYlYuvavarigiMwalU koVlYlYu(V20)+va_#_PRP+vavaru_va_COMP+rigiMwalU_ru_INCL
koVlYlYuvavarigiMwalo koVlYlYu(V20)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_DUB
koVlYlYuvavarigiMwalo koVlYlYu(V20)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_INDF
koVlYlYuvavarigiMwalo koVlYlYu(V20)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_PRES
koVlYlYuvavarigiMwale koVlYlYu(V20)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_IMPH
koVlYlYuvavarigiMwale koVlYlYu(V20)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_DECL
koVlYlYuvavarigiMwale koVlYlYu(V20)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_RIS
koVlYlYuvavaraMweV koVlYlYu(V20)+va_#_PRP+vavaru_va_SIM+raMweV_ru_3P
koVlYlYuvavaraMweVyA koVlYlYu(V20)+va_#_PRP+vavaru_va_SIM+raMweVyA_ru_INTR
koVlYlYuvavaraMweVyU koVlYlYu(V20)+va_#_PRP+vavaru_va_SIM+raMweVyU_ru_INCL
koVlYlYuvavaraMweVyo koVlYlYu(V20)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_DUB
koVlYlYuvavaraMweVyo koVlYlYu(V20)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_INDF
koVlYlYuvavaraMweVyo koVlYlYu(V20)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_PRES
koVlYlYuvavaraMweVye koVlYlYu(V20)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_IMPH
koVlYlYuvavaraMweVye koVlYlYu(V20)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_DECL
koVlYlYuvavaraMweVye koVlYlYu(V20)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_RIS
koVlYlYuvavaroVdaneV koVlYlYu(V20)+va_#_PRP+vavaru_va_SOC+roVdaneV_ru_3P
koVlYlYuvavaroVdaneVyA koVlYlYu(V20)+va_#_PRP+vavaru_va_SOC+roVdaneVyA_ru_INTR
koVlYlYuvavaroVdaneVyU koVlYlYu(V20)+va_#_PRP+vavaru_va_SOC+roVdaneVyU_ru_INCL
koVlYlYuvavaroVdaneVyo koVlYlYu(V20)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_DUB
koVlYlYuvavaroVdaneVyo koVlYlYu(V20)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_INDF
koVlYlYuvavaroVdaneVyo koVlYlYu(V20)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_PRES
koVlYlYuvavaroVdaneVye koVlYlYu(V20)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_IMPH
koVlYlYuvavaroVdaneVye koVlYlYu(V20)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_DECL
koVlYlYuvavaroVdaneVye koVlYlYu(V20)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_RIS
koVlYlYuvavaroVMxigeV  koVlYlYu(V20)+va_#_PRP+vavaru_va_SOC+roVMxigeV_ru_3P
koVlYlYuvavaroVMxigeVyA koVlYlYu(V20)+va_#_PRP+vavaru_va_SOC+roVMxigeVyA_ru_INTR
koVlYlYuvavaroVMxigeVyU koVlYlYu(V20)+va_#_PRP+vavaru_va_SOC+roVMxigeVyU_ru_INCL
koVlYlYuvavaroVMxigeVyo koVlYlYu(V20)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_DUB
