uwwanu ulYu(V1)+wwa_lYu_PAST+anu_a_3SM     
ulYuvavalYigAgiyU ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigAgiyU_lYu_INCL
ulYuvavalYigAgiyo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_DUB
ulYuvavalYigAgiyo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_INDF
ulYuvavalYigAgiyo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_PRES
ulYuvavalYigAgiye ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigAgiye_lYu_IMPH
ulYuvavalYigAgiye ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigAgiye_lYu_DECL
ulYuvavalYigAgiye ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigAgiye_lYu_RIS
ulYuvavalYigosuga ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigosuga_lYu_3SF
ulYuvavalYigosugavA ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigosugavA_lYu_INTR
ulYuvavalYigosugavU ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigosugavU_lYu_INCL
ulYuvavalYigosugavo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigosugavo_lYu_DUB
ulYuvavalYigosugavo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigosugavo_lYu_INDF
ulYuvavalYigosugavo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigosugavo_lYu_PRES
ulYuvavalYigosugave ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigosugave_lYu_IMPH
ulYuvavalYigosugave ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigosugave_lYu_DECL
ulYuvavalYigosugave ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigosugave_lYu_RIS
ulYuvavalYigosuga ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigosuga_lYu_3SF
ulYuvavalYigosugavA ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigosugavA_lYu_INTR
ulYuvavalYigosugavU ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigosugavU_lYu_INCL
ulYuvavalYigosugavo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigosugavo_lYu_DUB
ulYuvavalYigosugavo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigosugavo_lYu_INDF
ulYuvavalYigosugavo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigosugavo_lYu_PRES
ulYuvavalYigosugave ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigosugave_lYu_IMPH
ulYuvavalYigosugave ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigosugave_lYu_DECL
ulYuvavalYigosugave ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigosugave_lYu_RIS
ulYuvavalYigiMwa ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_COMP+lYigiMwa_lYu_3SF
ulYuvavalYigiMwalA ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_COMP+lYigiMwalA_lYu_INTR
ulYuvavalYigiMwalU ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_COMP+lYigiMwalU_lYu_INCL
ulYuvavalYigiMwalo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_DUB
ulYuvavalYigiMwalo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_INDF
ulYuvavalYigiMwalo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_PRES
ulYuvavalYigiMwale ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_COMP+lYigiMwale_lYu_IMPH
ulYuvavalYigiMwale ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_COMP+lYigiMwale_lYu_DECL
ulYuvavalYigiMwale ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_COMP+lYigiMwale_lYu_RIS
ulYuvavalYaMweV ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SIM+lYaMweV_lYu_3SF
ulYuvavalYaMweVyA ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SIM+lYaMweVyA_lYu_INTR
ulYuvavalYaMweVyU ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SIM+lYaMweVyU_lYu_INCL
ulYuvavalYaMweVyo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_DUB
ulYuvavalYaMweVyo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_INDF
ulYuvavalYaMweVyo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_PRES
ulYuvavalYaMweVye ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SIM+lYaMweVye_lYu_IMPH
ulYuvavalYaMweVye ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SIM+lYaMweVye_lYu_DECL
ulYuvavalYaMweVye ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SIM+lYaMweVye_lYu_RIS
ulYuvavalYoVdaneV ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SOC+lYoVdaneV_lYu_3SF
ulYuvavalYoVdaneVyA ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SOC+lYoVdaneVyA_lYu_INTR
ulYuvavalYoVdaneVyU ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SOC+lYoVdaneVyU_lYu_INCL
ulYuvavalYoVdaneVyo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_DUB
ulYuvavalYoVdaneVyo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_INDF
ulYuvavalYoVdaneVyo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_PRES
ulYuvavalYoVdaneVye ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_IMPH
ulYuvavalYoVdaneVye ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_DECL
ulYuvavalYoVdaneVye ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_RIS
ulYuvavalYoVMxigeV  ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SOC+lYoVMxigeV_lYu_3SF
ulYuvavalYoVMxigeVyA ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SOC+lYoVMxigeVyA_lYu_INTR
ulYuvavalYoVMxigeVyU ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SOC+lYoVMxigeVyU_lYu_INCL
ulYuvavalYoVMxigeVyo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_DUB
ulYuvavalYoVMxigeVyo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_INDF
ulYuvavalYoVMxigeVyo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_PRES
ulYuvavalYoVMxigeVye ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_IMPH
ulYuvavalYoVMxigeVye ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_DECL
ulYuvavalYoVMxigeVye ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_RIS
ulYuvavarannu ulYu(V1)+lYuva_lYu_PRP+vavaru_va_ACC+rannu_ru_3P
ulYuvavarannA ulYu(V1)+lYuva_lYu_PRP+vavaru_va_ACC+rannA_ru_INTR
ulYuvavarannU ulYu(V1)+lYuva_lYu_PRP+vavaru_va_ACC+rannU_ru_INCL
ulYuvavaranno ulYu(V1)+lYuva_lYu_PRP+vavaru_va_ACC+ranno_ru_DUB
ulYuvavaranno ulYu(V1)+lYuva_lYu_PRP+vavaru_va_ACC+ranno_ru_INDF
ulYuvavaranno ulYu(V1)+lYuva_lYu_PRP+vavaru_va_ACC+ranno_ru_PRES
ulYuvavaranne ulYu(V1)+lYuva_lYu_PRP+vavaru_va_ACC+ranne_ru_IMPH
ulYuvavaranne ulYu(V1)+lYuva_lYu_PRP+vavaru_va_ACC+ranne_ru_DECL
ulYuvavaranne ulYu(V1)+lYuva_lYu_PRP+vavaru_va_ACC+ranne_ru_RIS
ulYuvavariMxa ulYu(V1)+lYuva_lYu_PRP+vavaru_va_INS+riMxa_ru_3P
ulYuvavariMxalA ulYu(V1)+lYuva_lYu_PRP+vavaru_va_INS+riMxalA_ru_INTR
ulYuvavariMxalU ulYu(V1)+lYuva_lYu_PRP+vavaru_va_INS+riMxalU_ru_INCL
ulYuvavariMxalo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_INS+riMxalo_ru_DUB
ulYuvavariMxalo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_INS+riMxalo_ru_INDF
ulYuvavariMxalo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_INS+riMxalo_ru_PRES
ulYuvavariMxale ulYu(V1)+lYuva_lYu_PRP+vavaru_va_INS+riMxale_ru_IMPH
ulYuvavariMxale ulYu(V1)+lYuva_lYu_PRP+vavaru_va_INS+riMxale_ru_DECL
ulYuvavariMxale ulYu(V1)+lYuva_lYu_PRP+vavaru_va_INS+riMxale_ru_RIS
ulYuvavarigeV ulYu(V1)+lYuva_lYu_PRP+vavaru_va_DAT+rigeV_ru_3P
ulYuvavarigeVyA ulYu(V1)+lYuva_lYu_PRP+vavaru_va_DAT+rigeVyA_ru_INTR
ulYuvavarigeVyU ulYu(V1)+lYuva_lYu_PRP+vavaru_va_DAT+rigeVyU_ru_INCL
ulYuvavarigeVyo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_DAT+rigeVyo_ru_DUB
ulYuvavarigeVyo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_DAT+rigeVyo_ru_INDF
ulYuvavarigeVyo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_DAT+rigeVyo_ru_PRES
ulYuvavarigeVye ulYu(V1)+lYuva_lYu_PRP+vavaru_va_DAT+rigeVye_ru_IMPH
ulYuvavarigeVye ulYu(V1)+lYuva_lYu_PRP+vavaru_va_DAT+rigeVye_ru_DECL
ulYuvavarigeVye ulYu(V1)+lYuva_lYu_PRP+vavaru_va_DAT+rigeVye_ru_RIS
ulYuvavariMxa  ulYu(V1)+lYuva_lYu_PRP+vavaru_va_ABL+riMxa_ru_3P
ulYuvavariMxalA ulYu(V1)+lYuva_lYu_PRP+vavaru_va_ABL+riMxalA_ru_INTR
ulYuvavariMxalU ulYu(V1)+lYuva_lYu_PRP+vavaru_va_ABL+riMxalU_ru_INCL
ulYuvavariMxalo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_ABL+riMxalo_ru_DUB
ulYuvavariMxalo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_ABL+riMxalo_ru_INDF
ulYuvavariMxalo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_ABL+riMxalo_ru_PRES
ulYuvavariMxale ulYu(V1)+lYuva_lYu_PRP+vavaru_va_ABL+riMxale_ru_IMPH
ulYuvavariMxale ulYu(V1)+lYuva_lYu_PRP+vavaru_va_ABL+riMxale_ru_DECL
ulYuvavariMxale ulYu(V1)+lYuva_lYu_PRP+vavaru_va_ABL+riMxale_ru_RIS
ulYuvavara ulYu(V1)+lYuva_lYu_PRP+vavaru_va_GEN+ra_ru_3P
ulYuvavaralli ulYu(V1)+lYuva_lYu_PRP+vavaru_va_LOC+ralli_ru_3P
ulYuvavaralliyA ulYu(V1)+lYuva_lYu_PRP+vavaru_va_LOC+ralliyA_ru_INTR
ulYuvavaralliyU ulYu(V1)+lYuva_lYu_PRP+vavaru_va_LOC+ralliyU_ru_INCL
ulYuvavaralliyo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_LOC+ralliyo_ru_DUB
ulYuvavaralliyo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_LOC+ralliyo_ru_INDF
ulYuvavaralliyo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_LOC+ralliyo_ru_PRES
ulYuvavaralliye ulYu(V1)+lYuva_lYu_PRP+vavaru_va_LOC+ralliye_ru_IMPH
ulYuvavaralliye ulYu(V1)+lYuva_lYu_PRP+vavaru_va_LOC+ralliye_ru_DECL
ulYuvavaralliye ulYu(V1)+lYuva_lYu_PRP+vavaru_va_LOC+ralliye_ru_RIS
ulYuvavarigoskara ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigoskara_ru_3P
ulYuvavarigoskaravA ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigoskaravA_ru_INTR
ulYuvavarigoskaravU ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigoskaravU_ru_INCL
ulYuvavarigoskaravo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigoskaravo_ru_DUB
ulYuvavarigoskaravo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigoskaravo_ru_INDF
ulYuvavarigoskaravo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigoskaravo_ru_PRES
ulYuvavarigoskarave ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigoskarave_ru_IMPH
ulYuvavarigoskarave ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigoskarave_ru_DECL
ulYuvavarigoskarave ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigoskarave_ru_RIS
ulYuvavarigoskara ulYu(V1)+lYuva_lYu_PRP+vavaru_va_PUR+rigoskara_ru_3P
ulYuvavarigoskaravA ulYu(V1)+lYuva_lYu_PRP+vavaru_va_PUR+rigoskaravA_ru_INTR
ulYuvavarigoskaravU ulYu(V1)+lYuva_lYu_PRP+vavaru_va_PUR+rigoskaravU_ru_INCL
ulYuvavarigoskaravo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_PUR+rigoskaravo_ru_DUB
ulYuvavarigoskaravo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_PUR+rigoskaravo_ru_INDF
ulYuvavarigoskaravo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_PUR+rigoskaravo_ru_PRES
ulYuvavarigoskarave ulYu(V1)+lYuva_lYu_PRP+vavaru_va_PUR+rigoskarave_ru_IMPH
ulYuvavarigoskarave ulYu(V1)+lYuva_lYu_PRP+vavaru_va_PUR+rigoskarave_ru_DECL
ulYuvavarigoskarave ulYu(V1)+lYuva_lYu_PRP+vavaru_va_PUR+rigoskarave_ru_RIS
ulYuvavarigAgi ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigAgi_ru_3P
ulYuvavarigAgiyA ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
ulYuvavarigAgiyU ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
ulYuvavarigAgiyo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
ulYuvavarigAgiyo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
ulYuvavarigAgiyo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
ulYuvavarigAgiye ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
ulYuvavarigAgiye ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
ulYuvavarigAgiye ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
ulYuvavarigAgi ulYu(V1)+lYuva_lYu_PRP+vavaru_va_PUR+rigAgi_ru_3P
ulYuvavarigAgiyA ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
ulYuvavarigAgiyU ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
ulYuvavarigAgiyo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
ulYuvavarigAgiyo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
ulYuvavarigAgiyo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
ulYuvavarigAgiye ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
ulYuvavarigAgiye ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
ulYuvavarigAgiye ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
ulYuvavarigosuga ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigosuga_ru_3P
ulYuvavarigosugavA ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigosugavA_ru_INTR
ulYuvavarigosugavU ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigosugavU_ru_INCL
ulYuvavarigosugavo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigosugavo_ru_DUB
ulYuvavarigosugavo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigosugavo_ru_INDF
ulYuvavarigosugavo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigosugavo_ru_PRES
ulYuvavarigosugave ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigosugave_ru_IMPH
ulYuvavarigosugave ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigosugave_ru_DECL
ulYuvavarigosugave ulYu(V1)+lYuva_lYu_PRP+vavaru_va_BEN+rigosugave_ru_RIS
ulYuvavarigosuga ulYu(V1)+lYuva_lYu_PRP+vavaru_va_PUR+rigosuga_ru_3P
ulYuvavarigosugavA ulYu(V1)+lYuva_lYu_PRP+vavaru_va_PUR+rigosugavA_ru_INTR
ulYuvavarigosugavU ulYu(V1)+lYuva_lYu_PRP+vavaru_va_PUR+rigosugavU_ru_INCL
ulYuvavarigosugavo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_PUR+rigosugavo_ru_DUB
ulYuvavarigosugavo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_PUR+rigosugavo_ru_INDF
ulYuvavarigosugavo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_PUR+rigosugavo_ru_PRES
ulYuvavarigosugave ulYu(V1)+lYuva_lYu_PRP+vavaru_va_PUR+rigosugave_ru_IMPH
ulYuvavarigosugave ulYu(V1)+lYuva_lYu_PRP+vavaru_va_PUR+rigosugave_ru_DECL
ulYuvavarigosugave ulYu(V1)+lYuva_lYu_PRP+vavaru_va_PUR+rigosugave_ru_RIS
ulYuvavarigiMwa ulYu(V1)+lYuva_lYu_PRP+vavaru_va_COMP+rigiMwa_ru_3P
ulYuvavarigiMwalA ulYu(V1)+lYuva_lYu_PRP+vavaru_va_COMP+rigiMwalA_ru_INTR
ulYuvavarigiMwalU ulYu(V1)+lYuva_lYu_PRP+vavaru_va_COMP+rigiMwalU_ru_INCL
ulYuvavarigiMwalo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_COMP+rigiMwalo_ru_DUB
ulYuvavarigiMwalo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_COMP+rigiMwalo_ru_INDF
ulYuvavarigiMwalo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_COMP+rigiMwalo_ru_PRES
ulYuvavarigiMwale ulYu(V1)+lYuva_lYu_PRP+vavaru_va_COMP+rigiMwale_ru_IMPH
ulYuvavarigiMwale ulYu(V1)+lYuva_lYu_PRP+vavaru_va_COMP+rigiMwale_ru_DECL
ulYuvavarigiMwale ulYu(V1)+lYuva_lYu_PRP+vavaru_va_COMP+rigiMwale_ru_RIS
ulYuvavaraMweV ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SIM+raMweV_ru_3P
ulYuvavaraMweVyA ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SIM+raMweVyA_ru_INTR
ulYuvavaraMweVyU ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SIM+raMweVyU_ru_INCL
ulYuvavaraMweVyo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SIM+raMweVyo_ru_DUB
ulYuvavaraMweVyo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SIM+raMweVyo_ru_INDF
ulYuvavaraMweVyo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SIM+raMweVyo_ru_PRES
ulYuvavaraMweVye ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SIM+raMweVye_ru_IMPH
ulYuvavaraMweVye ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SIM+raMweVye_ru_DECL
ulYuvavaraMweVye ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SIM+raMweVye_ru_RIS
ulYuvavaroVdaneV ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SOC+roVdaneV_ru_3P
ulYuvavaroVdaneVyA ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SOC+roVdaneVyA_ru_INTR
ulYuvavaroVdaneVyU ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SOC+roVdaneVyU_ru_INCL
ulYuvavaroVdaneVyo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SOC+roVdaneVyo_ru_DUB
ulYuvavaroVdaneVyo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SOC+roVdaneVyo_ru_INDF
ulYuvavaroVdaneVyo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SOC+roVdaneVyo_ru_PRES
ulYuvavaroVdaneVye ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SOC+roVdaneVye_ru_IMPH
ulYuvavaroVdaneVye ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SOC+roVdaneVye_ru_DECL
ulYuvavaroVdaneVye ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SOC+roVdaneVye_ru_RIS
ulYuvavaroVMxigeV  ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SOC+roVMxigeV_ru_3P
ulYuvavaroVMxigeVyA ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SOC+roVMxigeVyA_ru_INTR
ulYuvavaroVMxigeVyU ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SOC+roVMxigeVyU_ru_INCL
ulYuvavaroVMxigeVyo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SOC+roVMxigeVyo_ru_DUB
ulYuvavaroVMxigeVyo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SOC+roVMxigeVyo_ru_INDF
ulYuvavaroVMxigeVyo ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SOC+roVMxigeVyo_ru_PRES
ulYuvavaroVMxigeVye ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SOC+roVMxigeVye_ru_IMPH
ulYuvavaroVMxigeVye ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SOC+roVMxigeVye_ru_DECL
ulYuvavaroVMxigeVye ulYu(V1)+lYuva_lYu_PRP+vavaru_va_SOC+roVMxigeVye_ru_RIS
ulYuvuxannA ulYu(V1)+lYuvuxu_lYu_ACC+xannA_xu_INTR
ulYuvuxannU ulYu(V1)+lYuvuxu_lYu_ACC+xannU_xu_INCL
ulYuvuxanno ulYu(V1)+lYuvuxu_lYu_ACC+xanno_xu_DUB
ulYuvuxanno ulYu(V1)+lYuvuxu_lYu_ACC+xanno_xu_INDF
ulYuvuxanno ulYu(V1)+lYuvuxu_lYu_ACC+xanno_xu_PRES
ulYuvuxanne ulYu(V1)+lYuvuxu_lYu_ACC+xanne_xu_IMPH
ulYuvuxanne ulYu(V1)+lYuvuxu_lYu_ACC+xanne_xu_DECL
ulYuvuxanne ulYu(V1)+lYuvuxu_lYu_ACC+xanne_xu_RIS
ulYuvuxariMxalA ulYu(V1)+lYuvuxu_lYu_INS+xariMxalA_xu_INTR
ulYuvuxariMxalU ulYu(V1)+lYuvuxu_lYu_INS+xariMxalU_xu_INCL
ulYuvuxariMxalo ulYu(V1)+lYuvuxu_lYu_INS+xariMxalo_xu_DUB
ulYuvuxariMxalo ulYu(V1)+lYuvuxu_lYu_INS+xariMxalo_xu_INDF
ulYuvuxariMxalo ulYu(V1)+lYuvuxu_lYu_INS+xariMxalo_xu_PRES
ulYuvuxariMxale ulYu(V1)+lYuvuxu_lYu_INS+xariMxale_xu_IMPH
ulYuvuxariMxale ulYu(V1)+lYuvuxu_lYu_INS+xariMxale_xu_DECL
ulYuvuxariMxale ulYu(V1)+lYuvuxu_lYu_INS+xariMxale_xu_RIS
ulYuvuxakkeVyA ulYu(V1)+lYuvuxu_lYu_DAT+xakkeVyA_xu_INTR
ulYuvuxakkeVyU ulYu(V1)+lYuvuxu_lYu_DAT+xakkeVyU_xu_INCL
ulYuvuxakkeVyo ulYu(V1)+lYuvuxu_lYu_DAT+xakkeVyo_xu_DUB
ulYuvuxakkeVyo ulYu(V1)+lYuvuxu_lYu_DAT+xakkeVyo_xu_INDF
ulYuvuxakkeVyo ulYu(V1)+lYuvuxu_lYu_DAT+xakkeVyo_xu_PRES
ulYuvuxakkeVye ulYu(V1)+lYuvuxu_lYu_DAT+xakkeVye_xu_IMPH
ulYuvuxakkeVye ulYu(V1)+lYuvuxu_lYu_DAT+xakkeVye_xu_DECL
ulYuvuxakkeVye ulYu(V1)+lYuvuxu_lYu_DAT+xakkeVye_xu_RIS
ulYuvuxariMxalA ulYu(V1)+lYuvuxu_lYu_ABL+xariMxalA_xu_INTR
ulYuvuxariMxalU ulYu(V1)+lYuvuxu_lYu_ABL+xariMxalU_xu_INCL
ulYuvuxariMxalo ulYu(V1)+lYuvuxu_lYu_ABL+xariMxalo_xu_DUB
ulYuvuxariMxalo ulYu(V1)+lYuvuxu_lYu_ABL+xariMxalo_xu_INDF
ulYuvuxariMxalo ulYu(V1)+lYuvuxu_lYu_ABL+xariMxalo_xu_PRES
ulYuvuxariMxale ulYu(V1)+lYuvuxu_lYu_ABL+xariMxale_xu_IMPH
ulYuvuxariMxale ulYu(V1)+lYuvuxu_lYu_ABL+xariMxale_xu_DECL
ulYuvuxariMxale ulYu(V1)+lYuvuxu_lYu_ABL+xariMxale_xu_RIS
ulYuvuxaralliyA ulYu(V1)+lYuvuxu_lYu_LOC+xaralliyA_xu_INTR
ulYuvuxaralliyU ulYu(V1)+lYuvuxu_lYu_LOC+xaralliyU_xu_INCL
ulYuvuxaralliyo ulYu(V1)+lYuvuxu_lYu_LOC+xaralliyo_xu_DUB
ulYuvuxaralliyo ulYu(V1)+lYuvuxu_lYu_LOC+xaralliyo_xu_INDF
ulYuvuxaralliyo ulYu(V1)+lYuvuxu_lYu_LOC+xaralliyo_xu_PRES
ulYuvuxaralliye ulYu(V1)+lYuvuxu_lYu_LOC+xaralliye_xu_IMPH
ulYuvuxaralliye ulYu(V1)+lYuvuxu_lYu_LOC+xaralliye_xu_DECL
ulYuvuxaralliye ulYu(V1)+lYuvuxu_lYu_LOC+xaralliye_xu_RIS
