oVNagisixanu oVNagisu(V34)+ixa_u_PAST+anu_a_3SM   
oVNagisuvavalYigAgiyA oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigAgiyA_lYu_INTR
oVNagisuvavalYigAgiyU oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigAgiyU_lYu_INCL
oVNagisuvavalYigAgiyo oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_DUB
oVNagisuvavalYigAgiyo oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_INDF
oVNagisuvavalYigAgiyo oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_PRES
oVNagisuvavalYigAgiye oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_IMPH
oVNagisuvavalYigAgiye oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_DECL
oVNagisuvavalYigAgiye oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_RIS
oVNagisuvavalYigAgi oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigAgi_lYu_3SF
oVNagisuvavalYigAgiyA oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigAgiyA_lYu_INTR
oVNagisuvavalYigAgiyU oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigAgiyU_lYu_INCL
oVNagisuvavalYigAgiyo oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_DUB
oVNagisuvavalYigAgiyo oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_INDF
oVNagisuvavalYigAgiyo oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_PRES
oVNagisuvavalYigAgiye oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_IMPH
oVNagisuvavalYigAgiye oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_DECL
oVNagisuvavalYigAgiye oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_RIS
oVNagisuvavalYigosuga oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigosuga_lYu_3SF
oVNagisuvavalYigosugavA oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigosugavA_lYu_INTR
oVNagisuvavalYigosugavU oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigosugavU_lYu_INCL
oVNagisuvavalYigosugavo oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_DUB
oVNagisuvavalYigosugavo oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_INDF
oVNagisuvavalYigosugavo oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_PRES
oVNagisuvavalYigosugave oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_IMPH
oVNagisuvavalYigosugave oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_DECL
oVNagisuvavalYigosugave oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_RIS
oVNagisuvavalYigosuga oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigosuga_lYu_3SF
oVNagisuvavalYigosugavA oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigosugavA_lYu_INTR
oVNagisuvavalYigosugavU oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigosugavU_lYu_INCL
oVNagisuvavalYigosugavo oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_DUB
oVNagisuvavalYigosugavo oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_INDF
oVNagisuvavalYigosugavo oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_PRES
oVNagisuvavalYigosugave oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_IMPH
oVNagisuvavalYigosugave oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_DECL
oVNagisuvavalYigosugave oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_RIS
oVNagisuvavalYigiMwa oVNagisu(V34)+va_#_PRP+vavalYu_va_COMP+lYigiMwa_lYu_3SF
oVNagisuvavalYigiMwalA oVNagisu(V34)+va_#_PRP+vavalYu_va_COMP+lYigiMwalA_lYu_INTR
oVNagisuvavalYigiMwalU oVNagisu(V34)+va_#_PRP+vavalYu_va_COMP+lYigiMwalU_lYu_INCL
oVNagisuvavalYigiMwalo oVNagisu(V34)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_DUB
oVNagisuvavalYigiMwalo oVNagisu(V34)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_INDF
oVNagisuvavalYigiMwalo oVNagisu(V34)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_PRES
oVNagisuvavalYigiMwale oVNagisu(V34)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_IMPH
oVNagisuvavalYigiMwale oVNagisu(V34)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_DECL
oVNagisuvavalYigiMwale oVNagisu(V34)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_RIS
oVNagisuvavalYaMweV oVNagisu(V34)+va_#_PRP+vavalYu_va_SIM+lYaMweV_lYu_3SF
oVNagisuvavalYaMweVyA oVNagisu(V34)+va_#_PRP+vavalYu_va_SIM+lYaMweVyA_lYu_INTR
oVNagisuvavalYaMweVyU oVNagisu(V34)+va_#_PRP+vavalYu_va_SIM+lYaMweVyU_lYu_INCL
oVNagisuvavalYaMweVyo oVNagisu(V34)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_DUB
oVNagisuvavalYaMweVyo oVNagisu(V34)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_INDF
oVNagisuvavalYaMweVyo oVNagisu(V34)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_PRES
oVNagisuvavalYaMweVye oVNagisu(V34)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_IMPH
oVNagisuvavalYaMweVye oVNagisu(V34)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_DECL
oVNagisuvavalYaMweVye oVNagisu(V34)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_RIS
oVNagisuvavalYoVdaneV oVNagisu(V34)+va_#_PRP+vavalYu_va_SOC+lYoVdaneV_lYu_3SF
oVNagisuvavalYoVdaneVyA oVNagisu(V34)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyA_lYu_INTR
oVNagisuvavalYoVdaneVyU oVNagisu(V34)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyU_lYu_INCL
oVNagisuvavalYoVdaneVyo oVNagisu(V34)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_DUB
oVNagisuvavalYoVdaneVyo oVNagisu(V34)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_INDF
oVNagisuvavalYoVdaneVyo oVNagisu(V34)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_PRES
oVNagisuvavalYoVdaneVye oVNagisu(V34)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_IMPH
oVNagisuvavalYoVdaneVye oVNagisu(V34)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_DECL
oVNagisuvavalYoVdaneVye oVNagisu(V34)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_RIS
oVNagisuvavalYoVMxigeV  oVNagisu(V34)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeV_lYu_3SF
oVNagisuvavalYoVMxigeVyA oVNagisu(V34)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyA_lYu_INTR
oVNagisuvavalYoVMxigeVyU oVNagisu(V34)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyU_lYu_INCL
oVNagisuvavalYoVMxigeVyo oVNagisu(V34)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_DUB
oVNagisuvavalYoVMxigeVyo oVNagisu(V34)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_INDF
oVNagisuvavalYoVMxigeVyo oVNagisu(V34)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_PRES
oVNagisuvavalYoVMxigeVye oVNagisu(V34)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_IMPH
oVNagisuvavalYoVMxigeVye oVNagisu(V34)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_DECL
oVNagisuvavalYoVMxigeVye oVNagisu(V34)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_RIS
oVNagisuvavarannu oVNagisu(V34)+va_#_PRP+vavaru_va_ACC+rannu_ru_3P
oVNagisuvavarannA oVNagisu(V34)+va_#_PRP+vavaru_va_ACC+rannA_ru_INTR
oVNagisuvavarannU oVNagisu(V34)+va_#_PRP+vavaru_va_ACC+rannU_ru_INCL
oVNagisuvavaranno oVNagisu(V34)+va_#_PRP+vavaru_va_ACC+ranno_ru_DUB
oVNagisuvavaranno oVNagisu(V34)+va_#_PRP+vavaru_va_ACC+ranno_ru_INDF
oVNagisuvavaranno oVNagisu(V34)+va_#_PRP+vavaru_va_ACC+ranno_ru_PRES
oVNagisuvavaranne oVNagisu(V34)+va_#_PRP+vavaru_va_ACC+ranne_ru_IMPH
oVNagisuvavaranne oVNagisu(V34)+va_#_PRP+vavaru_va_ACC+ranne_ru_DECL
oVNagisuvavaranne oVNagisu(V34)+va_#_PRP+vavaru_va_ACC+ranne_ru_RIS
oVNagisuvavariMxa oVNagisu(V34)+va_#_PRP+vavaru_va_INS+riMxa_ru_3P
oVNagisuvavariMxalA oVNagisu(V34)+va_#_PRP+vavaru_va_INS+riMxalA_ru_INTR
oVNagisuvavariMxalU oVNagisu(V34)+va_#_PRP+vavaru_va_INS+riMxalU_ru_INCL
oVNagisuvavariMxalo oVNagisu(V34)+va_#_PRP+vavaru_va_INS+riMxalo_ru_DUB
oVNagisuvavariMxalo oVNagisu(V34)+va_#_PRP+vavaru_va_INS+riMxalo_ru_INDF
oVNagisuvavariMxalo oVNagisu(V34)+va_#_PRP+vavaru_va_INS+riMxalo_ru_PRES
oVNagisuvavariMxale oVNagisu(V34)+va_#_PRP+vavaru_va_INS+riMxale_ru_IMPH
oVNagisuvavariMxale oVNagisu(V34)+va_#_PRP+vavaru_va_INS+riMxale_ru_DECL
oVNagisuvavariMxale oVNagisu(V34)+va_#_PRP+vavaru_va_INS+riMxale_ru_RIS
oVNagisuvavarigeV oVNagisu(V34)+va_#_PRP+vavaru_va_DAT+rigeV_ru_3P
oVNagisuvavarigeVyA oVNagisu(V34)+va_#_PRP+vavaru_va_DAT+rigeVyA_ru_INTR
oVNagisuvavarigeVyU oVNagisu(V34)+va_#_PRP+vavaru_va_DAT+rigeVyU_ru_INCL
oVNagisuvavarigeVyo oVNagisu(V34)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_DUB
oVNagisuvavarigeVyo oVNagisu(V34)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_INDF
oVNagisuvavarigeVyo oVNagisu(V34)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_PRES
oVNagisuvavarigeVye oVNagisu(V34)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_IMPH
oVNagisuvavarigeVye oVNagisu(V34)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_DECL
oVNagisuvavarigeVye oVNagisu(V34)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_RIS
oVNagisuvavariMxa  oVNagisu(V34)+va_#_PRP+vavaru_va_ABL+riMxa_ru_3P
oVNagisuvavariMxalA oVNagisu(V34)+va_#_PRP+vavaru_va_ABL+riMxalA_ru_INTR
oVNagisuvavariMxalU oVNagisu(V34)+va_#_PRP+vavaru_va_ABL+riMxalU_ru_INCL
oVNagisuvavariMxalo oVNagisu(V34)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_DUB
oVNagisuvavariMxalo oVNagisu(V34)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_INDF
oVNagisuvavariMxalo oVNagisu(V34)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_PRES
oVNagisuvavariMxale oVNagisu(V34)+va_#_PRP+vavaru_va_ABL+riMxale_ru_IMPH
oVNagisuvavariMxale oVNagisu(V34)+va_#_PRP+vavaru_va_ABL+riMxale_ru_DECL
oVNagisuvavariMxale oVNagisu(V34)+va_#_PRP+vavaru_va_ABL+riMxale_ru_RIS
oVNagisuvavara oVNagisu(V34)+va_#_PRP+vavaru_va_GEN+ra_ru_3P
oVNagisuvavaralli oVNagisu(V34)+va_#_PRP+vavaru_va_LOC+ralli_ru_3P
oVNagisuvavaralliyA oVNagisu(V34)+va_#_PRP+vavaru_va_LOC+ralliyA_ru_INTR
oVNagisuvavaralliyU oVNagisu(V34)+va_#_PRP+vavaru_va_LOC+ralliyU_ru_INCL
oVNagisuvavaralliyo oVNagisu(V34)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_DUB
oVNagisuvavaralliyo oVNagisu(V34)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_INDF
oVNagisuvavaralliyo oVNagisu(V34)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_PRES
oVNagisuvavaralliye oVNagisu(V34)+va_#_PRP+vavaru_va_LOC+ralliye_ru_IMPH
oVNagisuvavaralliye oVNagisu(V34)+va_#_PRP+vavaru_va_LOC+ralliye_ru_DECL
oVNagisuvavaralliye oVNagisu(V34)+va_#_PRP+vavaru_va_LOC+ralliye_ru_RIS
oVNagisuvavarigoskara oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigoskara_ru_3P
oVNagisuvavarigoskaravA oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigoskaravA_ru_INTR
oVNagisuvavarigoskaravU oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigoskaravU_ru_INCL
oVNagisuvavarigoskaravo oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_DUB
oVNagisuvavarigoskaravo oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_INDF
oVNagisuvavarigoskaravo oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_PRES
oVNagisuvavarigoskarave oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_IMPH
oVNagisuvavarigoskarave oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_DECL
oVNagisuvavarigoskarave oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_RIS
oVNagisuvavarigoskara oVNagisu(V34)+va_#_PRP+vavaru_va_PUR+rigoskara_ru_3P
oVNagisuvavarigoskaravA oVNagisu(V34)+va_#_PRP+vavaru_va_PUR+rigoskaravA_ru_INTR
oVNagisuvavarigoskaravU oVNagisu(V34)+va_#_PRP+vavaru_va_PUR+rigoskaravU_ru_INCL
oVNagisuvavarigoskaravo oVNagisu(V34)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_DUB
oVNagisuvavarigoskaravo oVNagisu(V34)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_INDF
oVNagisuvavarigoskaravo oVNagisu(V34)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_PRES
oVNagisuvavarigoskarave oVNagisu(V34)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_IMPH
oVNagisuvavarigoskarave oVNagisu(V34)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_DECL
oVNagisuvavarigoskarave oVNagisu(V34)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_RIS
oVNagisuvavarigAgi oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigAgi_ru_3P
oVNagisuvavarigAgiyA oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
oVNagisuvavarigAgiyU oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
oVNagisuvavarigAgiyo oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
oVNagisuvavarigAgiyo oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
oVNagisuvavarigAgiyo oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
oVNagisuvavarigAgiye oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
oVNagisuvavarigAgiye oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
oVNagisuvavarigAgiye oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
oVNagisuvavarigAgi oVNagisu(V34)+va_#_PRP+vavaru_va_PUR+rigAgi_ru_3P
oVNagisuvavarigAgiyA oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
oVNagisuvavarigAgiyU oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
oVNagisuvavarigAgiyo oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
oVNagisuvavarigAgiyo oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
oVNagisuvavarigAgiyo oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
oVNagisuvavarigAgiye oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
oVNagisuvavarigAgiye oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
oVNagisuvavarigAgiye oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
oVNagisuvavarigosuga oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigosuga_ru_3P
oVNagisuvavarigosugavA oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigosugavA_ru_INTR
oVNagisuvavarigosugavU oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigosugavU_ru_INCL
oVNagisuvavarigosugavo oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_DUB
oVNagisuvavarigosugavo oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_INDF
oVNagisuvavarigosugavo oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_PRES
oVNagisuvavarigosugave oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_IMPH
oVNagisuvavarigosugave oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_DECL
oVNagisuvavarigosugave oVNagisu(V34)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_RIS
oVNagisuvavarigosuga oVNagisu(V34)+va_#_PRP+vavaru_va_PUR+rigosuga_ru_3P
oVNagisuvavarigosugavA oVNagisu(V34)+va_#_PRP+vavaru_va_PUR+rigosugavA_ru_INTR
oVNagisuvavarigosugavU oVNagisu(V34)+va_#_PRP+vavaru_va_PUR+rigosugavU_ru_INCL
oVNagisuvavarigosugavo oVNagisu(V34)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_DUB
oVNagisuvavarigosugavo oVNagisu(V34)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_INDF
oVNagisuvavarigosugavo oVNagisu(V34)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_PRES
oVNagisuvavarigosugave oVNagisu(V34)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_IMPH
oVNagisuvavarigosugave oVNagisu(V34)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_DECL
oVNagisuvavarigosugave oVNagisu(V34)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_RIS
oVNagisuvavarigiMwa oVNagisu(V34)+va_#_PRP+vavaru_va_COMP+rigiMwa_ru_3P
oVNagisuvavarigiMwalA oVNagisu(V34)+va_#_PRP+vavaru_va_COMP+rigiMwalA_ru_INTR
oVNagisuvavarigiMwalU oVNagisu(V34)+va_#_PRP+vavaru_va_COMP+rigiMwalU_ru_INCL
oVNagisuvavarigiMwalo oVNagisu(V34)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_DUB
oVNagisuvavarigiMwalo oVNagisu(V34)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_INDF
oVNagisuvavarigiMwalo oVNagisu(V34)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_PRES
oVNagisuvavarigiMwale oVNagisu(V34)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_IMPH
oVNagisuvavarigiMwale oVNagisu(V34)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_DECL
oVNagisuvavarigiMwale oVNagisu(V34)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_RIS
oVNagisuvavaraMweV oVNagisu(V34)+va_#_PRP+vavaru_va_SIM+raMweV_ru_3P
oVNagisuvavaraMweVyA oVNagisu(V34)+va_#_PRP+vavaru_va_SIM+raMweVyA_ru_INTR
oVNagisuvavaraMweVyU oVNagisu(V34)+va_#_PRP+vavaru_va_SIM+raMweVyU_ru_INCL
oVNagisuvavaraMweVyo oVNagisu(V34)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_DUB
oVNagisuvavaraMweVyo oVNagisu(V34)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_INDF
oVNagisuvavaraMweVyo oVNagisu(V34)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_PRES
oVNagisuvavaraMweVye oVNagisu(V34)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_IMPH
oVNagisuvavaraMweVye oVNagisu(V34)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_DECL
oVNagisuvavaraMweVye oVNagisu(V34)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_RIS
oVNagisuvavaroVdaneV oVNagisu(V34)+va_#_PRP+vavaru_va_SOC+roVdaneV_ru_3P
oVNagisuvavaroVdaneVyA oVNagisu(V34)+va_#_PRP+vavaru_va_SOC+roVdaneVyA_ru_INTR
oVNagisuvavaroVdaneVyU oVNagisu(V34)+va_#_PRP+vavaru_va_SOC+roVdaneVyU_ru_INCL
oVNagisuvavaroVdaneVyo oVNagisu(V34)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_DUB
oVNagisuvavaroVdaneVyo oVNagisu(V34)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_INDF
oVNagisuvavaroVdaneVyo oVNagisu(V34)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_PRES
oVNagisuvavaroVdaneVye oVNagisu(V34)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_IMPH
oVNagisuvavaroVdaneVye oVNagisu(V34)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_DECL
oVNagisuvavaroVdaneVye oVNagisu(V34)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_RIS
oVNagisuvavaroVMxigeV  oVNagisu(V34)+va_#_PRP+vavaru_va_SOC+roVMxigeV_ru_3P
oVNagisuvavaroVMxigeVyA oVNagisu(V34)+va_#_PRP+vavaru_va_SOC+roVMxigeVyA_ru_INTR
oVNagisuvavaroVMxigeVyU oVNagisu(V34)+va_#_PRP+vavaru_va_SOC+roVMxigeVyU_ru_INCL
oVNagisuvavaroVMxigeVyo oVNagisu(V34)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_DUB
oVNagisuvavaroVMxigeVyo oVNagisu(V34)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_INDF
oVNagisuvavaroVMxigeVyo oVNagisu(V34)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_PRES
oVNagisuvavaroVMxigeVye oVNagisu(V34)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_IMPH
oVNagisuvavaroVMxigeVye oVNagisu(V34)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_DECL
oVNagisuvavaroVMxigeVye oVNagisu(V34)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_RIS
oVNagisuvuxannA oVNagisu(V34)+vuxu_#_ACC+xannA_xu_INTR
oVNagisuvuxannU oVNagisu(V34)+vuxu_#_ACC+xannU_xu_INCL
oVNagisuvuxanno oVNagisu(V34)+vuxu_#_ACC+xanno_xu_DUB
oVNagisuvuxanno oVNagisu(V34)+vuxu_#_ACC+xanno_xu_INDF
oVNagisuvuxanno oVNagisu(V34)+vuxu_#_ACC+xanno_xu_PRES
oVNagisuvuxanne oVNagisu(V34)+vuxu_#_ACC+xanne_xu_IMPH
oVNagisuvuxanne oVNagisu(V34)+vuxu_#_ACC+xanne_xu_DECL
oVNagisuvuxanne oVNagisu(V34)+vuxu_#_ACC+xanne_xu_RIS
oVNagisuvuxariMxalA oVNagisu(V34)+vuxu_#_INS+xariMxalA_xu_INTR
oVNagisuvuxariMxalU oVNagisu(V34)+vuxu_#_INS+xariMxalU_xu_INCL
oVNagisuvuxariMxalo oVNagisu(V34)+vuxu_#_INS+xariMxalo_xu_DUB
oVNagisuvuxariMxalo oVNagisu(V34)+vuxu_#_INS+xariMxalo_xu_INDF
oVNagisuvuxariMxalo oVNagisu(V34)+vuxu_#_INS+xariMxalo_xu_PRES
oVNagisuvuxariMxale oVNagisu(V34)+vuxu_#_INS+xariMxale_xu_IMPH
oVNagisuvuxariMxale oVNagisu(V34)+vuxu_#_INS+xariMxale_xu_DECL
oVNagisuvuxariMxale oVNagisu(V34)+vuxu_#_INS+xariMxale_xu_RIS
oVNagisuvuxakkeVyA oVNagisu(V34)+vuxu_#_DAT+xakkeVyA_xu_INTR
oVNagisuvuxakkeVyU oVNagisu(V34)+vuxu_#_DAT+xakkeVyU_xu_INCL
oVNagisuvuxakkeVyo oVNagisu(V34)+vuxu_#_DAT+xakkeVyo_xu_DUB
oVNagisuvuxakkeVyo oVNagisu(V34)+vuxu_#_DAT+xakkeVyo_xu_INDF
oVNagisuvuxakkeVyo oVNagisu(V34)+vuxu_#_DAT+xakkeVyo_xu_PRES
oVNagisuvuxakkeVye oVNagisu(V34)+vuxu_#_DAT+xakkeVye_xu_IMPH
oVNagisuvuxakkeVye oVNagisu(V34)+vuxu_#_DAT+xakkeVye_xu_DECL
oVNagisuvuxakkeVye oVNagisu(V34)+vuxu_#_DAT+xakkeVye_xu_RIS
oVNagisuvuxariMxalA oVNagisu(V34)+vuxu_#_ABL+xariMxalA_xu_INTR
oVNagisuvuxariMxalU oVNagisu(V34)+vuxu_#_ABL+xariMxalU_xu_INCL
oVNagisuvuxariMxalo oVNagisu(V34)+vuxu_#_ABL+xariMxalo_xu_DUB
oVNagisuvuxariMxalo oVNagisu(V34)+vuxu_#_ABL+xariMxalo_xu_INDF
oVNagisuvuxariMxalo oVNagisu(V34)+vuxu_#_ABL+xariMxalo_xu_PRES
oVNagisuvuxariMxale oVNagisu(V34)+vuxu_#_ABL+xariMxale_xu_IMPH
oVNagisuvuxariMxale oVNagisu(V34)+vuxu_#_ABL+xariMxale_xu_DECL
oVNagisuvuxariMxale oVNagisu(V34)+vuxu_#_ABL+xariMxale_xu_RIS
