kEgoVMdanu kEgoVlYlYu(V32)+Mda_lYlYu_PAST+anu_a_3SM   
kEgoVlYlYuvavanoVdaneVye kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_DECL
kEgoVlYlYuvavanoVdaneVye kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_RIS
kEgoVlYlYuvavanoVMxigeV kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SOC+noVMxigeV_nu_3SM
kEgoVlYlYuvavanoVMxigeVyA kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SOC+noVMxigeVyA_nu_INTR
kEgoVlYlYuvavanoVMxigeVyU kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SOC+noVMxigeVyU_nu_INCL
kEgoVlYlYuvavanoVMxigeVyo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_DUB
kEgoVlYlYuvavanoVMxigeVyo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_INDF
kEgoVlYlYuvavanoVMxigeVyo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_PRES
kEgoVlYlYuvavanoVMxigeVye kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_IMPH
kEgoVlYlYuvavanoVMxigeVye kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_DECL
kEgoVlYlYuvavanoVMxigeVye kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_RIS
kEgoVlYlYuvavalYannu kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_ACC+lYannu_lYu_3SF
kEgoVlYlYuvavalYannA kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_ACC+lYannA_lYu_INTR
kEgoVlYlYuvavalYannU kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_ACC+lYannU_lYu_INCL
kEgoVlYlYuvavalYanno kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_DUB
kEgoVlYlYuvavalYanno kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_INDF
kEgoVlYlYuvavalYanno kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_PRES
kEgoVlYlYuvavalYanne kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_IMPH
kEgoVlYlYuvavalYanne kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_DECL
kEgoVlYlYuvavalYanne kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_RIS
kEgoVlYlYuvavalYiMxa kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_INS+lYiMxa_lYu_3SF
kEgoVlYlYuvavalYiMxalA kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_INS+lYiMxalA_lYu_INTR
kEgoVlYlYuvavalYiMxalU kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_INS+lYiMxalU_lYu_INCL
kEgoVlYlYuvavalYiMxalo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_DUB
kEgoVlYlYuvavalYiMxalo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_INDF
kEgoVlYlYuvavalYiMxalo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_PRES
kEgoVlYlYuvavalYiMxale kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_IMPH
kEgoVlYlYuvavalYiMxale kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_DECL
kEgoVlYlYuvavalYiMxale kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_RIS
kEgoVlYlYuvavalYigeV kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_DAT+lYigeV_lYu_3SF
kEgoVlYlYuvavalYigeVyA kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_DAT+lYigeVyA_lYu_INTR
kEgoVlYlYuvavalYigeVyU kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_DAT+lYigeVyU_lYu_INCL
kEgoVlYlYuvavalYigeVyo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_DUB
kEgoVlYlYuvavalYigeVyo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_INDF
kEgoVlYlYuvavalYigeVyo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_PRES
kEgoVlYlYuvavalYigeVye kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_IMPH
kEgoVlYlYuvavalYigeVye kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_DECL
kEgoVlYlYuvavalYigeVye kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_RIS
kEgoVlYlYuvavalYiMxa  kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_ABL+lYiMxa_lYu_3SF
kEgoVlYlYuvavalYiMxalA kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_ABL+lYiMxalA_lYu_INTR
kEgoVlYlYuvavalYiMxalU kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_ABL+lYiMxalU_lYu_INCL
kEgoVlYlYuvavalYiMxalo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_DUB
kEgoVlYlYuvavalYiMxalo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_INDF
kEgoVlYlYuvavalYiMxalo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_PRES
kEgoVlYlYuvavalYiMxale kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_IMPH
kEgoVlYlYuvavalYiMxale kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_DECL
kEgoVlYlYuvavalYiMxale kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_RIS
kEgoVlYlYuvavalYa kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_GEN+lYa_lYu_3SF
kEgoVlYlYuvavalYalli kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_LOC+lYalli_lYu_3SF
kEgoVlYlYuvavalYalliyA kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_LOC+lYalliyA_lYu_INTR
kEgoVlYlYuvavalYalliyU kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_LOC+lYalliyU_lYu_INCL
kEgoVlYlYuvavalYalliyo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_DUB
kEgoVlYlYuvavalYalliyo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_INDF
kEgoVlYlYuvavalYalliyo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_PRES
kEgoVlYlYuvavalYalliye kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_IMPH
kEgoVlYlYuvavalYalliye kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_DECL
kEgoVlYlYuvavalYalliye kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_RIS
kEgoVlYlYuvavalYigoskara kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigoskara_lYu_3SF
kEgoVlYlYuvavalYigoskaravA kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigoskaravA_lYu_INTR
kEgoVlYlYuvavalYigoskaravU kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigoskaravU_lYu_INCL
kEgoVlYlYuvavalYigoskaravo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_DUB
kEgoVlYlYuvavalYigoskaravo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_INDF
kEgoVlYlYuvavalYigoskaravo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_PRES
kEgoVlYlYuvavalYigoskarave kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_IMPH
kEgoVlYlYuvavalYigoskarave kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_DECL
kEgoVlYlYuvavalYigoskarave kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_RIS
kEgoVlYlYuvavalYigoskara kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigoskara_lYu_3SF
kEgoVlYlYuvavalYigoskaravA kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigoskaravA_lYu_INTR
kEgoVlYlYuvavalYigoskaravU kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigoskaravU_lYu_INCL
kEgoVlYlYuvavalYigoskaravo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_DUB
kEgoVlYlYuvavalYigoskaravo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_INDF
kEgoVlYlYuvavalYigoskaravo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_PRES
kEgoVlYlYuvavalYigoskarave kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_IMPH
kEgoVlYlYuvavalYigoskarave kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_DECL
kEgoVlYlYuvavalYigoskarave kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_RIS
kEgoVlYlYuvavalYigAgi kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigAgi_lYu_3SF
kEgoVlYlYuvavalYigAgiyA kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigAgiyA_lYu_INTR
kEgoVlYlYuvavalYigAgiyU kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigAgiyU_lYu_INCL
kEgoVlYlYuvavalYigAgiyo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_DUB
kEgoVlYlYuvavalYigAgiyo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_INDF
kEgoVlYlYuvavalYigAgiyo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_PRES
kEgoVlYlYuvavalYigAgiye kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_IMPH
kEgoVlYlYuvavalYigAgiye kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_DECL
kEgoVlYlYuvavalYigAgiye kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_RIS
kEgoVlYlYuvavalYigAgi kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigAgi_lYu_3SF
kEgoVlYlYuvavalYigAgiyA kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigAgiyA_lYu_INTR
kEgoVlYlYuvavalYigAgiyU kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigAgiyU_lYu_INCL
kEgoVlYlYuvavalYigAgiyo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_DUB
kEgoVlYlYuvavalYigAgiyo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_INDF
kEgoVlYlYuvavalYigAgiyo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_PRES
kEgoVlYlYuvavalYigAgiye kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_IMPH
kEgoVlYlYuvavalYigAgiye kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_DECL
kEgoVlYlYuvavalYigAgiye kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_RIS
kEgoVlYlYuvavalYigosuga kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigosuga_lYu_3SF
kEgoVlYlYuvavalYigosugavA kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigosugavA_lYu_INTR
kEgoVlYlYuvavalYigosugavU kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigosugavU_lYu_INCL
kEgoVlYlYuvavalYigosugavo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_DUB
kEgoVlYlYuvavalYigosugavo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_INDF
kEgoVlYlYuvavalYigosugavo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_PRES
kEgoVlYlYuvavalYigosugave kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_IMPH
kEgoVlYlYuvavalYigosugave kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_DECL
kEgoVlYlYuvavalYigosugave kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_RIS
kEgoVlYlYuvavalYigosuga kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigosuga_lYu_3SF
kEgoVlYlYuvavalYigosugavA kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigosugavA_lYu_INTR
kEgoVlYlYuvavalYigosugavU kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigosugavU_lYu_INCL
kEgoVlYlYuvavalYigosugavo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_DUB
kEgoVlYlYuvavalYigosugavo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_INDF
kEgoVlYlYuvavalYigosugavo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_PRES
kEgoVlYlYuvavalYigosugave kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_IMPH
kEgoVlYlYuvavalYigosugave kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_DECL
kEgoVlYlYuvavalYigosugave kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_RIS
kEgoVlYlYuvavalYigiMwa kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_COMP+lYigiMwa_lYu_3SF
kEgoVlYlYuvavalYigiMwalA kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_COMP+lYigiMwalA_lYu_INTR
kEgoVlYlYuvavalYigiMwalU kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_COMP+lYigiMwalU_lYu_INCL
kEgoVlYlYuvavalYigiMwalo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_DUB
kEgoVlYlYuvavalYigiMwalo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_INDF
kEgoVlYlYuvavalYigiMwalo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_PRES
kEgoVlYlYuvavalYigiMwale kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_IMPH
kEgoVlYlYuvavalYigiMwale kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_DECL
kEgoVlYlYuvavalYigiMwale kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_RIS
kEgoVlYlYuvavalYaMweV kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SIM+lYaMweV_lYu_3SF
kEgoVlYlYuvavalYaMweVyA kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SIM+lYaMweVyA_lYu_INTR
kEgoVlYlYuvavalYaMweVyU kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SIM+lYaMweVyU_lYu_INCL
kEgoVlYlYuvavalYaMweVyo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_DUB
kEgoVlYlYuvavalYaMweVyo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_INDF
kEgoVlYlYuvavalYaMweVyo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_PRES
kEgoVlYlYuvavalYaMweVye kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_IMPH
kEgoVlYlYuvavalYaMweVye kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_DECL
kEgoVlYlYuvavalYaMweVye kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_RIS
kEgoVlYlYuvavalYoVdaneV kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SOC+lYoVdaneV_lYu_3SF
kEgoVlYlYuvavalYoVdaneVyA kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyA_lYu_INTR
kEgoVlYlYuvavalYoVdaneVyU kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyU_lYu_INCL
kEgoVlYlYuvavalYoVdaneVyo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_DUB
kEgoVlYlYuvavalYoVdaneVyo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_INDF
kEgoVlYlYuvavalYoVdaneVyo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_PRES
kEgoVlYlYuvavalYoVdaneVye kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_IMPH
kEgoVlYlYuvavalYoVdaneVye kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_DECL
kEgoVlYlYuvavalYoVdaneVye kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_RIS
kEgoVlYlYuvavalYoVMxigeV  kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeV_lYu_3SF
kEgoVlYlYuvavalYoVMxigeVyA kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyA_lYu_INTR
kEgoVlYlYuvavalYoVMxigeVyU kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyU_lYu_INCL
kEgoVlYlYuvavalYoVMxigeVyo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_DUB
kEgoVlYlYuvavalYoVMxigeVyo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_INDF
kEgoVlYlYuvavalYoVMxigeVyo kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_PRES
kEgoVlYlYuvavalYoVMxigeVye kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_IMPH
kEgoVlYlYuvavalYoVMxigeVye kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_DECL
kEgoVlYlYuvavalYoVMxigeVye kEgoVlYlYu(V32)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_RIS
kEgoVlYlYuvavarannu kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_ACC+rannu_ru_3P
kEgoVlYlYuvavarannA kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_ACC+rannA_ru_INTR
kEgoVlYlYuvavarannU kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_ACC+rannU_ru_INCL
kEgoVlYlYuvavaranno kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_ACC+ranno_ru_DUB
kEgoVlYlYuvavaranno kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_ACC+ranno_ru_INDF
kEgoVlYlYuvavaranno kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_ACC+ranno_ru_PRES
kEgoVlYlYuvavaranne kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_ACC+ranne_ru_IMPH
kEgoVlYlYuvavaranne kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_ACC+ranne_ru_DECL
kEgoVlYlYuvavaranne kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_ACC+ranne_ru_RIS
kEgoVlYlYuvavariMxa kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_INS+riMxa_ru_3P
kEgoVlYlYuvavariMxalA kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_INS+riMxalA_ru_INTR
kEgoVlYlYuvavariMxalU kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_INS+riMxalU_ru_INCL
kEgoVlYlYuvavariMxalo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_INS+riMxalo_ru_DUB
kEgoVlYlYuvavariMxalo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_INS+riMxalo_ru_INDF
kEgoVlYlYuvavariMxalo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_INS+riMxalo_ru_PRES
kEgoVlYlYuvavariMxale kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_INS+riMxale_ru_IMPH
kEgoVlYlYuvavariMxale kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_INS+riMxale_ru_DECL
kEgoVlYlYuvavariMxale kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_INS+riMxale_ru_RIS
kEgoVlYlYuvavarigeV kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_DAT+rigeV_ru_3P
kEgoVlYlYuvavarigeVyA kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_DAT+rigeVyA_ru_INTR
kEgoVlYlYuvavarigeVyU kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_DAT+rigeVyU_ru_INCL
kEgoVlYlYuvavarigeVyo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_DUB
kEgoVlYlYuvavarigeVyo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_INDF
kEgoVlYlYuvavarigeVyo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_PRES
kEgoVlYlYuvavarigeVye kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_IMPH
kEgoVlYlYuvavarigeVye kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_DECL
kEgoVlYlYuvavarigeVye kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_DAT+rigeVye_ru_RIS
kEgoVlYlYuvavariMxa  kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_ABL+riMxa_ru_3P
kEgoVlYlYuvavariMxalA kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_ABL+riMxalA_ru_INTR
kEgoVlYlYuvavariMxalU kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_ABL+riMxalU_ru_INCL
kEgoVlYlYuvavariMxalo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_DUB
kEgoVlYlYuvavariMxalo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_INDF
kEgoVlYlYuvavariMxalo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_ABL+riMxalo_ru_PRES
kEgoVlYlYuvavariMxale kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_ABL+riMxale_ru_IMPH
kEgoVlYlYuvavariMxale kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_ABL+riMxale_ru_DECL
kEgoVlYlYuvavariMxale kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_ABL+riMxale_ru_RIS
kEgoVlYlYuvavara kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_GEN+ra_ru_3P
kEgoVlYlYuvavaralli kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_LOC+ralli_ru_3P
kEgoVlYlYuvavaralliyA kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_LOC+ralliyA_ru_INTR
kEgoVlYlYuvavaralliyU kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_LOC+ralliyU_ru_INCL
kEgoVlYlYuvavaralliyo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_DUB
kEgoVlYlYuvavaralliyo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_INDF
kEgoVlYlYuvavaralliyo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_LOC+ralliyo_ru_PRES
kEgoVlYlYuvavaralliye kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_LOC+ralliye_ru_IMPH
kEgoVlYlYuvavaralliye kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_LOC+ralliye_ru_DECL
kEgoVlYlYuvavaralliye kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_LOC+ralliye_ru_RIS
kEgoVlYlYuvavarigoskara kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigoskara_ru_3P
kEgoVlYlYuvavarigoskaravA kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigoskaravA_ru_INTR
kEgoVlYlYuvavarigoskaravU kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigoskaravU_ru_INCL
kEgoVlYlYuvavarigoskaravo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_DUB
kEgoVlYlYuvavarigoskaravo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_INDF
kEgoVlYlYuvavarigoskaravo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigoskaravo_ru_PRES
kEgoVlYlYuvavarigoskarave kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_IMPH
kEgoVlYlYuvavarigoskarave kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_DECL
kEgoVlYlYuvavarigoskarave kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigoskarave_ru_RIS
kEgoVlYlYuvavarigoskara kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_PUR+rigoskara_ru_3P
kEgoVlYlYuvavarigoskaravA kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_PUR+rigoskaravA_ru_INTR
